Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
CADILLAC,Petrol,272,295,16.6,3532,149,182.4,72.48,55.08
CADILLAC,Petrol,272,295,16.6,3532,149,182.4,72.48,55.08
CADILLAC,Petrol,272,295,16.6,3532,149,182.4,72.48,55.08
CADILLAC,Petrol,272,295,16.6,3691,143,182.4,72.48,55.08
CADILLAC,Petrol,272,295,16.6,3691,143,182.4,72.48,55.08
CADILLAC,Petrol,272,295,19,3768,149,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3768,149,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3768,149,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3929,143,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3929,143,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3929,143,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3929,143,195.51,72.2,56.61
CADILLAC,Petrol,272,295,19,3768,149,195.51,72.2,56.61
CADILLAC,Petrol,272,260,16.6,3437,149,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3565,143,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3565,143,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3395,149,182.83,71.06,55.87
CADILLAC,Petrol,272,260,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3437,149,182.83,71.06,55.87
CADILLAC,Petrol,272,260,16.6,3437,149,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3437,149,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3565,143,182.83,71.06,56.18
CADILLAC,Petrol,272,260,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,272,295,16.6,3538,143,182.83,71.06,56.18
CADILLAC,Petrol,272,295,16.6,3538,143,182.83,71.06,56.18
CADILLAC,Petrol,272,295,16.6,3395,149,182.83,71.06,55.87
CADILLAC,Petrol,272,295,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,272,295,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,272,295,16.6,3395,149,182.83,71.06,56.18
CADILLAC,Petrol,264,222,20.9,4367,131,190.98,75.2,65.63
CADILLAC,Petrol,264,222,20.9,4367,131,190.98,75.2,65.63
CADILLAC,Petrol,314,265,20.1,4253,137,190.98,75.2,65.63
CADILLAC,Petrol,272,222,18,4057,140,191.34,72.52,57.28
CADILLAC,Petrol,318,274,18,4299,140,191.34,72.52,57.28
CADILLAC,Petrol,318,274,18,4068,150,191.34,72.52,57.28
CADILLAC,Petrol,272,222,18,4057,140,191.34,72.52,57.28
CADILLAC,Petrol,307,275,18,4493,140,192.05,72.52,57.6
CADILLAC,Petrol,307,275,18,4299,150,192.05,72.52,57.6
CADILLAC,Petrol,272,222,18,4264,140,192.05,72.52,57.6
CADILLAC,Petrol,307,275,18,4068,150,191.34,72.52,57.28
CADILLAC,Petrol,307,275,18,4299,140,191.34,72.52,57.28
CADILLAC,Petrol,556,550,18,4497,179,192.05,72.52,57.6
CADILLAC,Petrol,556,550,18,4475,191,192.05,72.52,57.6
CADILLAC,Petrol,556,550,18,4361,191,191.34,72.52,57.28
CADILLAC,Petrol,556,550,18,4416,175,191.34,72.52,57.28
CADILLAC,Petrol,318,274,18,4057,150,189.29,74.13,55.98
CADILLAC,Petrol,318,274,18,4217,140,189.29,74.13,55.98
CADILLAC,Petrol,272,222,18,4264,140,192.05,72.52,57.6
CADILLAC,Petrol,318,274,18,4299,150,192.05,72.52,57.6
CADILLAC,Petrol,318,274,18,4493,140,192.05,72.52,57.6
CADILLAC,Petrol,403,416,25.9,5917,106,202.8,79.06,74.29
CADILLAC,Petrol,403,415,25.9,5714,106,202.44,79.06,74.29
CADILLAC,Diesel,148,236,15.3,3219,131,184.25,68.98,57.91
CADILLAC,Petrol,340,379,30.9,5622,106,198.82,78.74,74.02
CADILLAC,Petrol,254,250,20.1,4564,125,194.88,72.64,67.76
CADILLAC,Petrol,254,250,20.1,4486,125,194.88,72.64,67.76
CADILLAC,Petrol,254,250,20.1,4564,125,194.88,72.64,67.76
CADILLAC,Petrol,321,314,20.1,4718,140,194.88,72.64,67.76
CADILLAC,Petrol,300,295,18.5,4048,130,207.01,74.41,56.69
CADILLAC,Petrol,275,300,18.5,3977,112,207.01,74.41,56.69
CADILLAC,Petrol,200,199,15.9,3814,125,192.2,70.31,56.42
CADILLAC,Petrol,275,300,18.8,3973,126,196.46,74.8,55.51
CADILLAC,Petrol,301,295,18.8,4094,149,196.46,74.8,56.3
CADILLAC,Petrol,301,298,20.1,3900,149,204.33,72.44,55.12
CADILLAC,Petrol,275,300,20.1,3854,126,204.33,72.44,55.12
CADILLAC,Petrol,301,298,20.1,3812,149,202.36,72.83,55.12
CADILLAC,Petrol,300,295,19,3876,150,200.59,75.51,53.58
CADILLAC,Petrol,275,300,19,3843,112,200.59,75.51,53.58
CADILLAC,Petrol,88,109,13.7,2538,104,172.99,66.3,52.01
CADILLAC,Petrol,170,269,20.9,4180,115,203.94,71.65,54.72
CADILLAC,Petrol,181,319,23.8,4354,115,221.18,76.42,55.31
CADILLAC,Petrol,181,319,23.8,4319,115,221.18,76.42,54.41
CADILLAC,Petrol,181,320,24.8,4142,112,221.18,76.5,54.41
CADILLAC,Petrol,195,320,24.8,4142,115,221.18,76.5,54.41
CADILLAC,Petrol,195,320,24.8,4213,115,221.18,76.5,55.31
CADILLAC,Petrol,181,320,24.8,4213,115,221.18,76.5,55.31
CADILLAC,Petrol,190,359,26.9,4949,122,230.71,79.8,53.82
CADILLAC,Petrol,365,534,26.9,6283,120,221.5,80,53.54
CADILLAC,Petrol,375,525,25.9,4696,128,220.98,79.02,53.11
