Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
CHEVROLET,Petrol,426,419,19,4065,155,190.43,75.47,53.54
CHEVROLET,Petrol,399,410,19,4123,155,190.43,75.47,53.54
CHEVROLET,Petrol,426,419,19,4332,155,190.43,75.47,54.29
CHEVROLET,Petrol,399,410,19,4398,155,190.43,75.47,54.29
CHEVROLET,Petrol,76,68,14.3,1995,103,163.46,63.31,56.54
CHEVROLET,Petrol,165,165,19.3,3516,127,191.54,73.03,57.68
CHEVROLET,Petrol,165,165,19.3,3558,128,191.54,73.03,57.68
CHEVROLET,Petrol,76,68,14.3,2030,101,162.48,64.76,57.8
CHEVROLET,Petrol,94,95,14.3,1995,111,162.48,64.76,57.6
CHEVROLET,Petrol,139,129,16.9,3369,115,183.15,72.28,64.29
CHEVROLET,Petrol,139,129,16.9,3369,115,183.15,72.28,64.29
CHEVROLET,Petrol,139,129,16.9,3369,115,183.15,72.28,64.29
CHEVROLET,Petrol,139,129,16.9,3393,115,183.15,72.28,64.29
CHEVROLET,Diesel,161,265,16.9,3649,121,183.15,72.28,64.29
CHEVROLET,Diesel,161,265,16.9,3657,121,183.15,72.28,64.29
CHEVROLET,Diesel,129,232,16.9,3649,112,183.15,72.28,64.29
CHEVROLET,Diesel,129,232,16.9,3649,112,183.15,72.28,64.29
CHEVROLET,Diesel,129,232,16.9,3649,112,183.15,72.28,64.29
CHEVROLET,Petrol,68,84,12.2,2524,101,159.02,68.31,59.72
CHEVROLET,Petrol,100,95,12.2,2646,109,173.19,68.31,59.72
CHEVROLET,Petrol,100,95,12.2,2612,109,159.02,68.31,59.72
CHEVROLET,Petrol,85,84,12.2,2557,106,173.19,68.31,59.72
CHEVROLET,Petrol,100,95,12.2,2553,110,159.02,68.31,59.72
CHEVROLET,Petrol,85,84,12.2,2502,114,159.02,68.31,59.72
CHEVROLET,Petrol,114,114,12.2,2773,116,173.19,68.31,59.72
CHEVROLET,Petrol,114,114,12.2,2740,116,159.02,68.31,59.72
CHEVROLET,Petrol,114,114,12.2,2727,117,173.19,68.31,59.72
CHEVROLET,Petrol,114,114,12.2,2694,117,159.02,68.31,59.72
CHEVROLET,Petrol,100,95,12.2,2646,109,173.19,68.31,59.72
CHEVROLET,Petrol,68,84,12.2,2557,101,173.19,68.31,59.72
