Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
FORD,Diesel,206,331,18.2,4297,131,189.29,75.91,66.61
FORD,Diesel,177,295,18.2,4217,124,189.29,75.91,66.61
FORD,Diesel,206,331,16.9,4297,131,189.29,75.91,66.38
FORD,Diesel,177,295,16.9,4215,124,189.29,75.91,66.38
FORD,Diesel,177,295,16.9,4215,124,189.29,75.91,66.38
FORD,Diesel,206,331,16.9,4297,131,189.29,75.91,66.38
FORD,Petrol,180,177,15.9,3717,124,178.78,73.07,66.69
FORD,Petrol,148,177,15.9,3481,121,178.11,72.36,66.97
FORD,Petrol,148,177,15.9,3481,121,178.78,73.07,67.05
FORD,Petrol,180,177,15.9,3717,124,178.11,72.36,66.97
FORD,Petrol,180,177,15.9,3717,124,178.11,72.36,66.97
FORD,Petrol,118,177,15.9,3481,112,178.11,72.36,66.97
FORD,Petrol,148,177,15.9,3481,121,178.11,72.36,66.97
FORD,Diesel,177,295,15.9,3783,124,178.78,73.07,66.69
FORD,Diesel,148,272,15.9,3558,121,178.78,73.07,67.05
FORD,Diesel,148,272,15.9,3752,119,178.78,73.07,66.69
FORD,Diesel,148,272,15.9,3783,118,178.78,73.07,66.69
FORD,Diesel,177,295,15.9,3783,124,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3783,118,178.11,72.36,66.97
FORD,Diesel,177,295,15.9,3752,126,178.78,73.07,66.69
FORD,Diesel,177,295,15.9,3752,126,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3752,119,178.11,72.36,66.97
FORD,Diesel,118,199,15.9,3508,108,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3558,121,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3752,119,178.11,72.36,66.97
FORD,Diesel,177,295,15.9,3752,126,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3783,118,178.11,72.36,66.97
FORD,Diesel,177,295,15.9,3783,124,178.11,72.36,66.97
FORD,Diesel,118,199,15.9,3508,108,178.11,72.36,66.97
FORD,Diesel,148,272,15.9,3558,121,178.11,72.36,66.97
FORD,Diesel,118,221,15.9,3538,106,178.39,72.36,67.05
FORD,Diesel,158,283,21.1,4837,109,211.1,73.23,71.46
FORD,Diesel,197,346,21.1,4943,109,211.1,73.23,71.46
FORD,Diesel,158,283,21.1,4799,109,211.1,73.23,71.46
FORD,Diesel,158,283,21.1,4422,109,207.76,73.23,70.87
FORD,Diesel,158,283,21.1,4508,109,211.1,73.23,71.46
FORD,Diesel,197,346,21.1,4905,109,211.1,73.23,71.46
FORD,Diesel,197,346,21.1,4943,109,211.1,73.23,71.46
FORD,Petrol,123,125,14.5,3067,116,172.4,71.97,63.39
FORD,Petrol,148,177,14.5,3073,127,172.4,71.97,63.39
FORD,Petrol,123,125,14.5,3067,116,172.4,71.97,63.39
FORD,Diesel,94,199,14,3093,106,172.4,71.97,63.39
FORD,Diesel,118,199,14,3093,114,172.4,71.97,63.39
FORD,Diesel,94,199,14,3093,106,172.4,71.97,63.39
FORD,Diesel,148,272,14,3349,126,172.4,71.97,63.39
FORD,Diesel,148,272,14,3287,127,172.4,71.97,63.39
FORD,Diesel,118,199,14,3093,114,172.4,71.97,63.39
FORD,Diesel,118,199,14,3093,114,172.4,71.97,63.39
FORD,Diesel,118,199,14,3245,113,172.4,71.97,63.39
FORD,Petrol,157,177,18.5,3627,124,188.82,75.43,65.16
FORD,Petrol,238,254,18.5,3757,140,188.82,75.43,65.16
FORD,Petrol,157,177,18.5,3627,124,188.82,75.43,65.16
FORD,Petrol,238,254,18.5,3757,140,188.82,75.43,65.16
FORD,Petrol,238,254,18.5,3757,140,188.82,75.43,65.16
FORD,Diesel,206,331,18.5,3893,135,188.82,75.43,65.16
FORD,Diesel,118,228,18.5,3803,114,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3803,123,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3803,123,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3821,122,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3821,122,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3823,129,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3933,122,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3988,128,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3805,131,188.82,75.43,65.16
FORD,Diesel,206,331,18.5,3893,135,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3823,129,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3805,131,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3988,128,188.82,75.43,65.16
FORD,Diesel,177,295,18.5,3823,129,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3821,122,188.82,75.43,65.16
FORD,Diesel,148,258,18.5,3821,122,188.82,75.43,65.16
FORD,Petrol,148,177,14.5,3247,126,177.91,71.97,64.65
FORD,Petrol,123,125,14.5,3292,115,177.91,71.97,64.65
FORD,Petrol,123,125,14.5,3292,115,177.91,71.97,64.65
FORD,Petrol,100,125,14.5,3292,107,177.91,71.97,64.65
FORD,Diesel,112,199,15.9,3316,112,177.95,71.97,66.3
FORD,Diesel,148,272,14,3538,124,177.91,71.97,64.65
FORD,Diesel,112,199,15.9,3316,112,177.95,71.97,66.3
FORD,Diesel,112,199,15.9,3316,112,177.95,71.97,66.3
FORD,Diesel,112,199,15.9,3316,112,177.95,71.97,66.3
FORD,Diesel,94,199,14,3309,103,177.91,71.97,64.65
FORD,Diesel,118,199,14,3309,112,177.91,71.97,64.65
FORD,Diesel,118,199,14,3309,112,177.91,71.97,64.65
FORD,Diesel,148,272,14,3477,126,177.91,71.97,64.65
FORD,Diesel,118,199,15.9,3377,111,177.91,71.97,64.65
FORD,Diesel,118,199,15.9,3377,111,177.91,71.97,64.65
FORD,Diesel,118,199,15.9,3309,112,177.91,71.97,64.65
FORD,Diesel,94,199,15.9,3309,103,177.91,71.97,64.65
FORD,Diesel,94,199,15.9,3309,103,177.91,71.97,64.65
FORD,Petrol,100,125,12.7,2778,108,163.66,69.45,67.83
FORD,Petrol,100,125,12.7,2789,108,163.66,69.45,67.83
FORD,Petrol,100,125,12.7,2789,108,163.66,69.45,67.83
FORD,Petrol,100,125,12.7,2789,108,163.66,69.45,67.83
FORD,Diesel,94,158,12.4,2822,106,163.66,69.45,67.83
FORD,Diesel,94,158,12.4,2822,106,163.66,69.45,67.83
FORD,Diesel,74,140,12.4,2822,98,163.66,69.45,67.83
FORD,Diesel,74,140,12.4,2822,98,163.66,69.45,67.83
FORD,Diesel,94,158,12.4,2822,106,163.66,69.45,67.83
