Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
JEEP,Diesel,138,258,12.7,3318,113,167.52,71.06,66.5
JEEP,Diesel,118,236,12.7,3318,111,167.52,71.06,66.5
JEEP,Diesel,118,236,12.7,3318,111,167.52,71.06,66.5
JEEP,Diesel,118,236,12.7,3318,111,167.52,71.06,66.5
JEEP,Diesel,118,236,12.7,3230,116,167.52,71.06,66.81
JEEP,Petrol,267,232,15.9,4489,112,182.13,74.96,67.8
JEEP,Diesel,138,258,15.9,4030,116,182.01,73.19,65.71
JEEP,Diesel,138,258,15.9,4235,117,182.05,73.19,65.75
JEEP,Diesel,138,258,15.9,4235,117,182.05,73.19,65.75
JEEP,Diesel,138,258,15.9,4030,116,182.01,73.19,65.71
JEEP,Diesel,138,258,15.9,4030,116,182.01,73.19,65.71
JEEP,Diesel,182,324,15.9,4359,125,182.05,73.19,65.75
JEEP,Diesel,197,324,15.9,4359,127,182.05,73.19,65.75
JEEP,Petrol,282,255,24.8,5161,128,189.84,76.5,70.12
JEEP,Petrol,347,383,24.8,5417,140,189.84,76.5,69.45
JEEP,Petrol,462,460,24.8,5329,160,190.79,76.93,69.13
JEEP,Petrol,282,255,24.8,4996,128,190.08,76.5,69.33
JEEP,Petrol,462,460,24.8,5329,160,190.79,76.93,69.13
JEEP,Diesel,187,324,24.8,5340,119,189.84,76.5,70.12
JEEP,Diesel,238,405,24.8,5340,126,189.84,76.5,69.45
JEEP,Diesel,238,405,24.8,5340,126,189.84,76.5,70.12
JEEP,Diesel,187,324,24.8,5340,119,189.84,76.5,70.12
JEEP,Diesel,247,420,24.8,5298,126,190.08,76.5,69.33
JEEP,Diesel,247,420,24.8,5298,126,190.08,76.5,69.33
JEEP,Diesel,247,420,24.8,5298,126,190.08,76.5,69.33
JEEP,Diesel,187,324,24.8,5340,119,189.84,76.5,70.12
JEEP,Diesel,175,302,18.5,4530,112,176.89,72.4,68.35
JEEP,Diesel,175,302,18.5,4530,112,176.89,72.4,68.35
JEEP,Petrol,195,232,18.5,3792,108,166.14,73.62,70.87
JEEP,Petrol,195,232,18.5,3759,108,166.14,73.62,70.87
JEEP,Petrol,196,232,18.5,3862,109,166.26,73.74,70.87
JEEP,Petrol,282,255,18.5,4030,112,166.26,73.74,70.87
JEEP,Diesel,175,302,17.4,3990,100,166.14,73.62,70.87
JEEP,Diesel,175,302,17.4,3924,100,166.14,73.62,70.87
JEEP,Diesel,175,295,17.7,4211,112,166.26,73.74,72.44
JEEP,Diesel,175,295,17.7,4145,112,166.26,73.74,72.44
JEEP,Diesel,197,339,17.7,4096,108,166.26,73.74,70.87
JEEP,Diesel,197,339,17.7,4096,108,166.26,73.74,70.87
JEEP,Diesel,197,302,17.7,4145,107,166.26,73.74,70.87
JEEP,Diesel,197,302,17.7,4145,107,166.26,73.74,71.85
JEEP,Diesel,197,339,17.7,4262,108,166.26,73.74,70.87
JEEP,Diesel,197,302,17.7,4288,107,166.26,73.74,70.87
JEEP,Diesel,197,339,17.7,4262,108,166.26,73.74,70.87
JEEP,Diesel,197,302,17.7,4288,107,166.26,73.74,70.87
