Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
HONDA,Petrol,127,147,12.2,2976,126,177.87,70.83,56.46
HONDA,Petrol,127,132,12.2,2996,124,177.87,70.83,56.46
HONDA,Petrol,180,177,12.2,3047,137,177.87,70.83,56.46
HONDA,Petrol,180,162,12.2,3106,124,177.87,70.83,56.46
HONDA,Petrol,101,90,10.6,2573,114,157.28,66.69,61.02
HONDA,Petrol,101,90,10.6,2515,118,157.28,66.69,61.02
HONDA,Petrol,101,90,10.6,2515,118,157.28,66.69,61.02
HONDA,Petrol,101,90,10.6,2586,114,157.28,66.69,61.02
HONDA,Petrol,101,90,10.6,2586,114,157.28,66.69,61.02
HONDA,Petrol,139,128,13.2,3005,131,180.71,69.69,58.27
HONDA,Petrol,139,128,13.2,3069,127,180.71,69.69,58.27
HONDA,Petrol,139,128,13.2,3069,127,180.71,69.69,58.27
HONDA,Petrol,139,128,13.2,3005,131,180.71,69.69,58.27
HONDA,Petrol,139,128,13.2,3005,131,180.71,69.69,58.27
HONDA,Petrol,139,128,13.2,3069,127,180.71,69.69,58.27
HONDA,Diesel,118,221,13.2,3047,121,180.71,69.69,58.27
HONDA,Diesel,118,221,13.2,3047,121,180.71,69.69,58.27
HONDA,Diesel,118,221,13.2,3047,121,180.71,69.69,58.27
HONDA,Diesel,118,221,13.2,3124,121,180.71,69.69,58.27
HONDA,Diesel,118,221,13.2,3124,121,180.71,69.69,58.27
HONDA,Petrol,306,295,13.2,3047,168,172.83,73.94,57.72
HONDA,Petrol,139,128,13.2,3025,131,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,3025,131,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,2967,134,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,2967,134,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,2967,134,172.05,69.69,57.87
HONDA,Petrol,98,93,13.2,2776,116,172.05,69.69,57.87
HONDA,Petrol,98,93,13.2,2776,116,172.05,69.69,57.87
HONDA,Petrol,98,93,13.2,2776,116,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,2866,118,172.05,69.69,57.87
HONDA,Petrol,139,128,13.2,3025,118,172.05,69.69,57.87
HONDA,Diesel,118,221,13.2,3047,129,172.05,69.69,57.87
HONDA,Diesel,118,221,13.2,3047,129,172.05,69.69,57.87
HONDA,Diesel,118,221,13.2,3047,129,172.05,69.69,57.87
HONDA,Diesel,118,221,13.2,3047,129,172.05,69.69,57.87
HONDA,Diesel,118,221,13.2,3142,129,172.05,69.69,57.87
HONDA,Petrol,153,141,15.3,3402,113,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3353,118,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3353,118,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3402,113,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3402,113,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3353,118,181.3,71.65,66.34
HONDA,Diesel,158,258,15.3,3655,122,181.3,71.65,66.34
HONDA,Diesel,158,258,15.3,3655,122,181.3,71.65,66.34
HONDA,Diesel,158,258,15.3,3594,126,181.3,71.65,66.34
HONDA,Diesel,158,258,15.3,3594,126,181.3,71.65,66.34
HONDA,Diesel,118,221,15.3,3406,113,181.3,71.65,66.34
HONDA,Diesel,118,221,15.3,3406,113,181.3,71.65,66.34
HONDA,Petrol,153,141,15.3,3344,118,179.92,71.65,65.16
HONDA,Petrol,153,141,15.3,3344,118,179.92,71.65,65.16
HONDA,Diesel,118,221,15.3,3397,113,179.92,71.65,65.16
HONDA,Diesel,118,221,15.3,3397,113,179.92,71.65,65.16
HONDA,Diesel,118,221,15.3,3397,113,179.92,71.65,65.16
HONDA,Petrol,139,128,13.2,2987,131,178.54,69.69,58.27
HONDA,Petrol,139,128,13.2,3060,127,178.54,69.69,58.27
HONDA,Petrol,139,128,13.2,2987,131,178.54,69.69,58.27
HONDA,Petrol,139,128,13.2,3060,127,178.54,69.69,58.27
HONDA,Diesel,118,221,13.2,3113,121,178.54,69.69,58.27
HONDA,Diesel,118,221,13.2,3113,121,178.54,69.69,58.27
HONDA,Diesel,118,221,13.2,3113,121,178.54,69.69,58.27
HONDA,Diesel,118,221,13.2,3113,121,178.54,69.69,58.27
HONDA,Petrol,98,93,13.2,2769,116,168.7,69.69,57.95
HONDA,Petrol,98,93,13.2,2769,116,168.7,69.69,57.95
HONDA,Petrol,139,128,13.2,2822,134,168.7,69.69,57.95
HONDA,Petrol,139,128,13.2,2822,134,168.7,69.69,57.95
HONDA,Petrol,139,128,13.2,2895,131,168.7,69.69,57.95
HONDA,Petrol,139,128,13.2,2895,131,168.7,69.69,57.95
HONDA,Petrol,98,93,13.2,2789,116,169.29,69.69,57.87
HONDA,Petrol,98,93,13.2,2789,116,169.29,69.69,57.87
HONDA,Petrol,139,128,13.2,2945,134,169.29,69.69,57.87
HONDA,Petrol,139,128,13.2,2945,134,169.29,69.69,57.87
HONDA,Petrol,139,128,13.2,3056,131,169.29,69.69,57.87
HONDA,Petrol,98,93,13.2,2789,116,169.29,69.69,57.87
HONDA,Petrol,139,128,13.2,3056,131,169.29,69.69,57.87
HONDA,Diesel,148,258,13.2,3170,135,168.7,69.69,57.95
HONDA,Diesel,148,258,13.2,3170,135,168.7,69.69,57.95
HONDA,Diesel,148,258,13.2,3170,135,168.7,69.69,57.95
HONDA,Diesel,118,221,13.2,3053,129,168.7,69.69,57.95
HONDA,Diesel,118,221,13.2,3053,129,168.7,69.69,57.95
HONDA,Diesel,118,221,13.2,3053,129,168.7,69.69,57.95
HONDA,Diesel,118,221,13.2,3053,129,169.29,69.69,57.87
HONDA,Diesel,118,221,13.2,3053,129,169.29,69.69,57.87
HONDA,Diesel,118,221,13.2,3053,129,169.29,69.69,57.87
HONDA,Diesel,118,221,13.2,3053,129,169.29,69.69,57.87
HONDA,Diesel,177,280,17.2,3781,135,187.01,72.44,57.87
HONDA,Diesel,177,280,17.2,3781,135,187.01,72.44,57.87
HONDA,Petrol,154,141,17.2,3309,134,186.02,72.44,56.69
HONDA,Petrol,198,169,17.2,3532,141,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3377,132,186.02,72.44,56.69
HONDA,Petrol,198,169,17.2,3532,141,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3377,132,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3309,134,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3309,134,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3309,134,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3380,132,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3380,132,186.02,72.44,56.69
HONDA,Petrol,154,141,17.2,3309,134,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3748,129,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3748,129,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3748,129,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3748,129,186.02,72.44,56.69
HONDA,Diesel,177,280,17.2,3657,137,186.02,72.44,56.69
HONDA,Diesel,177,280,17.2,3657,137,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3598,132,186.02,72.44,56.69
HONDA,Diesel,148,258,17.2,3726,129,186.02,72.44,56.69
HONDA,Petrol,89,84,11.1,2480,110,153.54,66.73,60.04
HONDA,Petrol,89,84,11.1,2480,110,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2533,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2533,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2533,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2553,112,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2482,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2482,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2482,113,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2544,109,153.54,66.73,60.04
HONDA,Petrol,98,93,11.1,2482,113,153.54,66.73,60.04
HONDA,Petrol,112,106,10.6,2529,124,160.63,68.5,54.92
HONDA,Petrol,154,141,18.5,3322,132,186.93,72.44,57.87
HONDA,Petrol,154,141,18.5,3322,132,186.93,72.44,57.87
HONDA,Petrol,154,141,18.5,3389,131,186.93,72.44,57.87
HONDA,Petrol,198,172,18.5,3525,138,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3765,126,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3602,129,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3602,129,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3602,129,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3602,129,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3602,129,186.93,72.44,57.87
HONDA,Diesel,148,258,18.5,3765,126,186.93,72.44,57.87
HONDA,Petrol,154,141,18.5,3283,134,186.06,72.44,56.69
HONDA,Petrol,154,141,18.5,3283,132,186.06,72.44,56.69
HONDA,Petrol,154,141,18.5,3283,134,186.06,72.44,56.69
HONDA,Petrol,198,172,18.5,3512,141,186.06,72.44,56.69
HONDA,Petrol,154,141,18.5,3283,134,186.06,72.44,56.69
HONDA,Petrol,154,141,18.5,3283,134,186.06,72.44,56.69
HONDA,Petrol,198,172,18.5,3512,141,186.06,72.44,56.69
HONDA,Diesel,177,280,18.5,3600,137,186.06,72.44,56.69
HONDA,Diesel,177,280,18.5,3600,137,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3677,129,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3677,129,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3677,129,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3677,129,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3560,132,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3560,132,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3560,132,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3560,132,186.06,72.44,56.69
HONDA,Diesel,148,258,18.5,3560,132,186.06,72.44,56.69
HONDA,Petrol,148,141,15.3,3239,118,177.95,71.65,66.14
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3538,110,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3470,118,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3538,110,180.08,71.65,65.94
HONDA,Petrol,148,141,15.3,3538,110,180.08,71.65,65.94
HONDA,Diesel,138,250,15.3,3499,116,177.95,71.65,66.14
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3940,116,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Diesel,148,258,15.3,3807,118,180.08,71.65,65.94
HONDA,Petrol,138,128,13.2,2637,127,168.5,70.08,57.48
HONDA,Petrol,198,142,13.2,2919,146,168.5,70.08,56.69
HONDA,Diesel,138,250,13.2,2895,127,168.5,70.08,57.48
HONDA,Petrol,198,142,13.2,2868,146,168.31,70.28,56.89
HONDA,Petrol,82,87,13.2,2601,106,167.24,69.49,57.48
HONDA,Petrol,138,128,13.2,2657,127,167.24,69.49,57.48
HONDA,Petrol,138,128,13.2,2798,127,167.56,69.49,57.48
HONDA,Petrol,98,93,13.2,2780,110,167.56,69.49,57.48
HONDA,Petrol,98,93,13.2,2780,110,167.56,69.49,57.48
HONDA,Petrol,138,128,13.2,2928,122,167.56,69.49,57.48
HONDA,Petrol,198,142,13.2,2959,146,168.35,70.28,56.89
HONDA,Petrol,138,128,13.2,2802,127,168.35,70.28,57.48
HONDA,Petrol,98,93,13.2,2756,110,168.35,70.28,57.48
HONDA,Petrol,138,128,13.2,2798,127,167.56,69.49,57.48
HONDA,Petrol,138,128,13.2,2798,127,167.56,69.49,57.48
HONDA,Diesel,138,250,13.2,3003,127,167.24,69.49,57.48
HONDA,Diesel,138,250,13.2,3144,127,167.56,69.49,57.48
HONDA,Diesel,138,250,13.2,3144,127,167.56,69.49,57.48
HONDA,Diesel,138,250,13.2,3060,127,168.35,70.28,57.48
HONDA,Diesel,138,250,13.2,3060,127,168.35,70.28,57.48
HONDA,Diesel,138,250,13.2,3144,127,167.56,69.49,57.48
HONDA,Diesel,138,250,13.2,3144,127,167.56,69.49,57.48
HONDA,Petrol,291,258,19.3,4109,155,195.28,72.44,57.09
HONDA,Hybrid,94,90,13.2,2795,115,178.74,68.9,56.3
HONDA,Petrol,123,113,15.3,3075,113,168.7,71.26,63.39
HONDA,Petrol,148,140,15.3,3212,121,168.7,71.26,63.39
HONDA,Petrol,138,128,15.3,3073,118,168.5,71.26,63.39
HONDA,Diesel,138,250,15.3,3497,118,168.7,71.26,63.39
HONDA,Hybrid,82,118,13.2,2381,110,176.38,67.72,56.69
HONDA,Petrol,153,140,17.2,3263,127,187.01,69.29,57.87
HONDA,Petrol,187,164,17.2,3400,132,187.01,69.29,57.87
HONDA,Petrol,187,164,17.2,3613,132,187.01,69.29,58.86
HONDA,Petrol,153,140,17.2,3413,127,187.01,69.29,58.86
HONDA,Diesel,138,250,17.2,3479,123,187.01,69.29,57.87
HONDA,Diesel,138,250,17.2,3479,123,187.01,69.29,57.87
HONDA,Diesel,138,250,17.2,3675,122,187.01,69.29,58.86
HONDA,Diesel,138,250,17.2,3675,122,187.01,69.29,58.86
HONDA,Petrol,148,141,15.3,2998,110,179.53,70.08,67.32
HONDA,Petrol,148,141,15.3,3254,110,181.69,70.28,67.32
HONDA,Diesel,138,250,15.3,3583,112,181.69,70.28,67.32
HONDA,Petrol,153,140,17.2,3144,135,183.66,69.29,56.89
HONDA,Petrol,187,164,17.2,3247,141,183.66,69.29,56.89
HONDA,Diesel,138,250,17.2,3422,132,183.66,69.29,56.89
HONDA,Petrol,109,112,13.2,2447,115,168.5,66.93,59.06
HONDA,Petrol,89,95,13.2,2414,109,168.5,66.93,59.06
HONDA,Petrol,109,112,13.2,2447,115,168.5,66.93,59.06
HONDA,Petrol,89,95,13.2,2414,109,168.5,66.93,59.06
HONDA,Petrol,158,132,13.2,2698,131,168.5,67.72,59.06
HONDA,Diesel,100,162,13.2,2776,113,168.5,66.93,59.06
HONDA,Diesel,99,162,13.2,2776,113,168.5,66.93,59.06
HONDA,Petrol,197,144,13.2,2579,146,162.99,66.93,55.91
HONDA,Petrol,109,112,13.2,2542,116,162.99,66.93,56.69
HONDA,Petrol,89,95,13.2,2474,110,162.99,66.93,56.69
HONDA,Petrol,197,144,13.2,2579,146,162.99,66.93,55.91
HONDA,Petrol,109,112,13.2,2407,116,162.99,66.93,56.69
HONDA,Petrol,89,95,13.2,2352,110,162.99,66.93,56.69
HONDA,Petrol,197,144,13.2,2579,146,162.99,66.93,55.91
HONDA,Diesel,100,162,13.2,2716,113,162.99,66.93,56.69
HONDA,Diesel,99,162,13.2,2716,113,162.99,66.93,56.69
HONDA,Petrol,77,81,11.1,2352,106,151.38,65.94,60.04
