Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
KIA,Petrol,83,89,9.2,2167,100,141.54,62.8,58.46
KIA,Petrol,66,70,9.2,2101,100,141.54,62.8,58.46
KIA,Petrol,83,89,9.2,2152,108,141.54,62.8,58.46
KIA,Petrol,100,126,9.2,2101,112,141.54,62.8,58.46
KIA,Petrol,130,118,14.3,2811,115,162.99,70.87,63.19
KIA,Petrol,201,195,14.3,3007,124,162.99,70.87,63.7
KIA,Diesel,134,191,14.3,3064,112,162.99,70.87,63.19
KIA,Diesel,134,221,14.3,3142,113,162.99,70.87,63.19
KIA,Diesel,139,250,18.5,3571,126,191.14,73.23,57.87
KIA,Diesel,139,250,18.5,3605,126,191.14,73.23,57.87
KIA,Petrol,83,89,11.4,2485,104,159.45,67.72,57.28
KIA,Petrol,83,89,11.4,2485,104,159.45,67.72,57.28
KIA,Petrol,83,89,11.4,2454,104,159.45,67.72,57.28
KIA,Petrol,83,89,11.4,2454,104,159.45,67.72,57.28
KIA,Petrol,83,89,11.4,2485,104,159.45,67.72,57.28
KIA,Diesel,74,132,11.4,2646,99,159.45,67.72,57.28
KIA,Diesel,74,132,11.4,2646,99,159.45,67.72,57.28
KIA,Diesel,74,132,11.4,2646,99,159.25,67.72,57.28
KIA,Diesel,74,132,11.4,2646,99,159.45,67.72,57.28
KIA,Petrol,100,98,14,2749,114,169.69,70.08,56.3
KIA,Petrol,133,121,14,2784,121,169.69,70.08,56.3
KIA,Petrol,133,121,14,2855,121,169.69,70.08,56.3
KIA,Petrol,98,126,14,2802,115,169.69,70.08,56.3
KIA,Petrol,118,126,14,2802,118,169.69,70.08,56.3
KIA,Petrol,201,195,14,2996,143,169.69,70.08,56.3
KIA,Diesel,134,221,14,3049,124,169.69,70.08,56.3
KIA,Diesel,134,206,14,2989,122,169.69,70.08,56.3
KIA,Diesel,134,206,14,2989,122,169.69,70.08,56.3
KIA,Diesel,109,206,14,2989,118,169.69,70.08,56.3
KIA,Diesel,109,206,14,2989,118,169.69,70.08,56.3
KIA,Diesel,89,177,14,2974,108,169.69,70.08,56.3
KIA,Diesel,134,221,14,3049,124,169.69,70.08,56.3
KIA,Petrol,130,118,16.4,3040,113,176.38,73.03,64.37
KIA,Petrol,175,195,16.4,3194,127,176.38,73.03,64.37
KIA,Petrol,175,195,16.4,3325,126,176.38,73.03,64.37
KIA,Petrol,175,195,16.4,3325,126,176.38,73.03,64.37
KIA,Diesel,134,275,16.4,3560,114,176.38,73.03,64.37
KIA,Diesel,182,295,16.4,3499,125,176.38,73.03,64.37
KIA,Petrol,89,101,13.2,2762,104,160.43,69.49,62.99
KIA,Petrol,89,101,13.2,2762,104,160.43,69.49,62.99
KIA,Petrol,122,115,13.2,2767,114,160.43,69.49,62.99
KIA,Diesel,89,162,13.2,2965,104,160.43,69.49,62.99
KIA,Diesel,113,191,13.2,2989,113,160.43,69.49,62.99
KIA,Diesel,126,191,13.2,2989,115,160.43,69.49,62.99
KIA,Diesel,126,191,13.2,2989,115,160.43,69.49,62.99
KIA,Diesel,126,191,13.2,2989,115,160.43,69.49,62.99
KIA,Petrol,100,98,14,2820,112,177.36,70.08,58.46
KIA,Petrol,133,121,14,2857,119,177.36,70.08,58.46
KIA,Petrol,133,121,14,2932,119,177.36,70.08,58.46
KIA,Petrol,98,126,14,2877,113,177.36,70.08,58.46
KIA,Petrol,118,126,14,2877,116,177.36,70.08,58.46
KIA,Diesel,134,221,14,3122,122,177.36,70.08,58.46
KIA,Diesel,134,206,14,3062,121,177.36,70.08,58.46
KIA,Diesel,134,206,14,3062,121,177.36,70.08,58.46
KIA,Diesel,109,206,14,3062,117,177.36,70.08,58.46
KIA,Diesel,109,206,14,3062,117,177.36,70.08,58.46
KIA,Diesel,89,177,14,3047,107,177.36,70.08,58.46
KIA,Diesel,134,221,14,3122,122,177.36,70.08,58.46
KIA,Petrol,185,177,16.9,3858,121,188.19,74.41,66.54
KIA,Petrol,185,177,16.9,3858,121,188.19,74.41,66.54
KIA,Petrol,185,177,16.9,3825,126,188.19,74.41,66.54
KIA,Petrol,185,177,16.9,3825,126,188.19,74.41,66.54
KIA,Diesel,182,296,16.9,4065,124,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,4015,126,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,3948,126,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,3948,126,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,3887,126,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,3887,126,188.19,74.41,66.54
KIA,Diesel,197,325,16.9,4076,126,188.19,74.41,66.54
KIA,Petrol,161,144,18.5,3406,129,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3505,126,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3505,126,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3538,126,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3505,126,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3505,126,191.14,73.23,57.68
KIA,Diesel,139,250,18.5,3538,126,191.14,73.23,57.68
KIA,Petrol,133,121,14,2802,121,169.69,70.08,57.87
KIA,Petrol,133,121,14,2870,121,169.69,70.08,57.87
KIA,Petrol,98,126,14,2820,115,169.69,70.08,57.87
KIA,Petrol,118,126,14,2820,118,169.69,70.08,57.87
KIA,Petrol,201,195,14,3014,143,169.69,70.08,57.87
KIA,Diesel,134,221,14,3067,124,169.69,70.08,57.87
KIA,Diesel,134,206,14,3007,122,169.69,70.08,57.87
KIA,Diesel,134,206,14,3007,122,169.69,70.08,57.87
KIA,Diesel,109,206,14,3007,118,169.69,70.08,57.87
KIA,Diesel,109,206,14,3007,118,169.69,70.08,57.87
KIA,Diesel,89,177,14,2992,108,169.69,70.08,57.87
KIA,Diesel,134,221,14,3067,124,169.69,70.08,57.87
KIA,Petrol,133,120,15.3,3042,111,174.8,73.03,64.17
KIA,Petrol,133,120,15.3,3042,111,174.8,73.03,64.17
KIA,Petrol,133,120,15.3,3042,111,174.8,73.03,64.17
KIA,Petrol,133,120,15.3,3042,111,174.8,73.03,64.17
KIA,Petrol,133,120,15.3,3042,111,174.8,73.03,64.17
KIA,Diesel,114,191,15.3,3285,108,174.8,73.03,64.17
KIA,Diesel,114,191,15.3,3285,108,174.8,73.03,64.17
KIA,Diesel,181,282,15.3,3527,121,174.8,73.03,64.17
KIA,Diesel,114,191,15.3,3285,108,174.8,73.03,64.17
KIA,Diesel,134,275,15.3,3695,113,174.8,73.03,64.17
