Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
MITSUBISHI,Petrol,115,113,16.6,2943,114,171.46,69.69,64.57
MITSUBISHI,Diesel,148,265,15.9,3560,118,171.46,71.26,64.57
MITSUBISHI,Diesel,112,199,15.9,3351,113,171.46,71.26,64.57
MITSUBISHI,Diesel,112,199,15.9,3153,113,171.46,69.69,64.57
MITSUBISHI,Petrol,148,143,16.6,3153,119,184.84,71.26,66.14
MITSUBISHI,Diesel,148,280,16.6,3560,124,184.84,71.26,66.14
MITSUBISHI,Diesel,148,280,15.9,3693,124,184.84,71.26,66.14
MITSUBISHI,Diesel,148,265,15.9,3715,118,184.84,71.26,66.14
MITSUBISHI,Petrol,79,78,9.2,2028,112,149.41,65.55,59.25
MITSUBISHI,Diesel,148,280,16.6,3538,124,183.27,70.87,66.14
MITSUBISHI,Diesel,148,280,15.9,3682,124,183.27,71.26,66.14
MITSUBISHI,Diesel,148,280,15.9,3726,118,183.27,71.26,66.14
MITSUBISHI,Diesel,148,280,15.9,3726,118,183.27,71.26,66.14
MITSUBISHI,Petrol,74,73,12.4,2238,103,152.76,66.73,59.84
MITSUBISHI,Petrol,74,73,12.4,2238,103,152.76,66.73,59.84
MITSUBISHI,Petrol,94,92,12.4,2249,112,152.76,66.73,59.84
MITSUBISHI,Petrol,148,154,12.4,2502,131,152.76,66.73,59.84
MITSUBISHI,Petrol,74,73,12.4,2304,103,151.18,66.73,61.02
MITSUBISHI,Petrol,74,73,12.4,2304,103,151.18,66.73,61.02
MITSUBISHI,Petrol,94,92,12.4,2315,112,151.18,66.73,61.02
MITSUBISHI,Petrol,108,105,15.6,3153,122,180.51,69.29,59.65
MITSUBISHI,Petrol,108,105,15.6,3153,122,180.51,69.29,59.65
MITSUBISHI,Petrol,141,131,15.6,3219,122,180.51,69.29,59.65
MITSUBISHI,Petrol,291,269,14.5,3693,150,177.36,71.26,58.27
MITSUBISHI,Diesel,138,228,15.6,3362,129,179.92,69.29,58.66
MITSUBISHI,Diesel,138,228,15.6,3362,129,179.92,69.29,58.66
MITSUBISHI,Diesel,138,228,15.6,3395,127,180.51,69.29,59.65
MITSUBISHI,Diesel,138,228,15.6,3450,127,180.51,69.29,59.65
MITSUBISHI,Diesel,138,228,15.6,3450,127,180.51,69.29,59.65
MITSUBISHI,Petrol,115,113,16.6,3009,114,169.09,69.69,63.58
MITSUBISHI,Diesel,148,221,16.6,3384,124,169.09,69.69,63.58
MITSUBISHI,Diesel,148,221,16.6,3384,124,169.09,69.69,63.58
MITSUBISHI,Diesel,148,221,15.9,3527,123,169.09,69.69,63.58
MITSUBISHI,Diesel,148,221,15.9,3527,123,169.09,69.69,63.58
MITSUBISHI,Diesel,114,199,16.6,3384,117,169.09,69.69,63.58
MITSUBISHI,Diesel,114,199,16.6,3384,117,169.09,69.69,63.58
MITSUBISHI,Diesel,114,199,16.6,3384,117,169.09,69.69,63.58
MITSUBISHI,Petrol,145,146,16.6,3406,114,183.66,70.87,67.72
MITSUBISHI,Diesel,138,228,15.9,3792,116,183.66,70.87,67.72
MITSUBISHI,Diesel,154,280,15.9,3990,124,183.66,70.87,67.72
MITSUBISHI,Diesel,154,280,15.9,4034,123,183.66,70.87,67.72
MITSUBISHI,Diesel,154,280,15.9,4034,123,183.66,70.87,67.72
