Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
NISSAN,Petrol,72,70,10.8,2319,100,157.44,68.62,57.28
NISSAN,Petrol,324,267,19,3538,155,167.32,72.64,52.17
NISSAN,Petrol,324,267,19,3594,155,167.32,72.64,52.17
NISSAN,Petrol,324,267,19,3463,155,167.32,72.64,51.77
NISSAN,Petrol,324,267,19,3463,155,167.32,72.64,51.77
NISSAN,Petrol,324,267,19,3490,155,167.32,72.64,51.77
NISSAN,Petrol,339,273,19,3549,155,170.47,73.62,51.77
NISSAN,Diesel,187,331,21.1,4493,114,208.66,72.83,71.26
NISSAN,Diesel,187,331,21.1,4482,112,208.66,72.83,71.26
NISSAN,Diesel,161,297,21.1,4478,107,205.71,70.47,70.08
NISSAN,Diesel,161,297,21.1,4460,107,209.84,72.83,71.26
NISSAN,Petrol,114,140,12.2,2822,118,172.72,69.61,59.84
NISSAN,Petrol,114,140,12.2,2822,118,172.72,69.61,59.84
NISSAN,Petrol,187,177,12.2,3064,135,172.72,69.61,59.84
NISSAN,Petrol,161,177,15.9,3318,124,182.8,71.65,66.73
NISSAN,Petrol,161,177,15.9,3318,124,182.8,71.65,66.73
NISSAN,Petrol,161,177,15.9,3318,124,182.8,71.65,66.73
NISSAN,Petrol,161,177,15.9,3318,124,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3649,116,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3472,117,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3649,116,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3649,116,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3472,117,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3472,117,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3472,117,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3560,112,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3560,112,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3560,112,182.8,71.65,66.73
NISSAN,Diesel,175,280,15.9,3836,122,182.8,71.65,66.73
NISSAN,Diesel,175,280,15.9,3682,124,182.8,71.65,66.73
NISSAN,Diesel,129,236,15.9,3726,127,182.8,71.65,66.73
NISSAN,Petrol,93,103,12.2,2729,104,162.8,69.49,61.61
NISSAN,Petrol,187,177,13.2,3320,124,162.8,69.49,61.61
NISSAN,Petrol,187,177,12.2,3031,134,162.8,69.49,61.61
NISSAN,Petrol,115,116,12.2,2822,106,162.8,69.49,61.61
NISSAN,Petrol,114,140,12.2,2890,111,162.8,69.49,61.61
NISSAN,Petrol,187,177,13.2,3320,124,162.8,69.49,61.61
NISSAN,Petrol,187,177,12.2,3031,134,162.8,69.49,61.61
NISSAN,Petrol,115,116,12.2,2822,106,162.8,69.49,61.61
NISSAN,Petrol,114,140,12.2,2890,111,162.8,69.49,61.61
NISSAN,Petrol,115,116,12.2,2822,106,162.8,69.49,61.61
NISSAN,Petrol,114,140,12.2,2890,111,162.8,69.49,61.61
NISSAN,Petrol,114,140,12.2,2890,111,162.8,69.49,61.61
NISSAN,Petrol,115,116,12.2,2822,106,162.8,69.49,61.61
NISSAN,Petrol,114,140,12.2,2890,111,162.8,69.49,61.61
NISSAN,Petrol,187,177,13.2,3320,124,162.8,69.49,61.61
NISSAN,Petrol,187,177,12.2,3031,134,162.8,69.49,61.61
NISSAN,Petrol,210,184,13.2,3353,124,162.8,69.49,61.61
NISSAN,Petrol,215,206,12.2,3064,137,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Diesel,109,191,12.2,3042,109,162.8,69.49,61.61
NISSAN,Petrol,97,108,10.8,2381,109,150.59,65.55,59.84
NISSAN,Petrol,79,81,10.8,2205,106,150.59,65.55,59.84
NISSAN,Petrol,79,81,10.8,2249,100,150.59,65.55,59.84
NISSAN,Petrol,97,108,10.8,2326,114,150.59,65.55,60.43
NISSAN,Petrol,79,81,10.8,2205,106,150.59,65.55,59.45
NISSAN,Petrol,79,81,10.8,2249,100,150.59,65.55,59.45
NISSAN,Petrol,97,108,10.8,2326,112,150.59,65.55,60.04
NISSAN,Petrol,97,108,10.8,2381,109,150.59,65.55,60.04
NISSAN,Petrol,79,81,10.8,2449,104,161.42,66.73,60.24
NISSAN,Petrol,79,81,10.8,2449,104,161.42,66.73,60.24
NISSAN,Petrol,79,81,10.8,2449,104,161.42,66.73,60.24
NISSAN,Petrol,79,81,10.8,2449,104,161.42,66.73,60.24
NISSAN,Petrol,97,108,10.8,2672,108,161.42,66.73,60.24
NISSAN,Petrol,97,108,10.8,2630,112,161.42,66.73,60.24
NISSAN,Petrol,97,108,10.8,2630,112,161.42,66.73,60.24
NISSAN,Petrol,97,108,10.8,2672,108,161.42,66.73,60.24
NISSAN,Diesel,89,147,10.8,2654,111,161.42,66.73,60.24
NISSAN,Diesel,89,147,10.8,2654,111,161.42,66.73,60.24
NISSAN,Diesel,89,147,10.8,2654,111,161.42,66.73,60.24
NISSAN,Diesel,89,147,10.8,2654,111,161.42,66.73,60.24
NISSAN,Diesel,89,147,10.8,2654,111,161.42,66.73,60.24
NISSAN,Petrol,324,267,19,3538,155,167.32,72.64,52.17
NISSAN,Petrol,324,267,19,3594,155,167.32,72.64,52.17
NISSAN,Petrol,114,140,14.5,3071,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3071,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3071,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,114,121,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,121,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,121,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,115,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,114,121,14.5,3142,108,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,115,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3142,115,172.32,71.1,62.6
NISSAN,Petrol,161,177,14.5,3175,124,172.32,71.1,62.6
NISSAN,Petrol,114,140,14.5,3071,115,172.32,71.1,62.6
NISSAN,Diesel,129,236,17.2,3512,118,172.32,71.1,62.8
NISSAN,Diesel,109,191,14.5,3175,113,172.32,71.1,62.6
NISSAN,Diesel,109,191,14.5,3175,113,172.32,71.1,62.6
NISSAN,Diesel,109,191,14.5,3175,113,172.32,71.1,62.6
NISSAN,Diesel,109,191,14.5,3175,113,172.32,71.1,62.6
NISSAN,Diesel,129,236,14.5,3294,118,172.32,71.1,62.6
NISSAN,Diesel,129,236,14.5,3294,118,172.32,71.1,62.6
NISSAN,Diesel,129,236,14.5,3294,118,172.32,71.1,62.6
NISSAN,Diesel,129,236,17.2,3512,118,172.32,71.1,62.8
NISSAN,Diesel,129,236,14.5,3386,114,172.32,71.1,62.6
NISSAN,Diesel,129,236,14.5,3386,114,172.32,71.1,62.6
NISSAN,Diesel,129,236,14.5,3386,114,172.32,71.1,62.6
