Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
SUBARU,Petrol,238,258,15.9,3726,137,180.91,70.67,68.31
SUBARU,Petrol,148,146,15.9,3483,119,180.91,70.67,68.31
SUBARU,Petrol,148,146,15.9,3483,119,180.91,70.67,68.31
SUBARU,Petrol,148,146,15.9,3488,119,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3772,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3741,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3741,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3726,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3653,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3622,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3622,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3587,118,180.91,70.67,68.31
SUBARU,Petrol,173,173,15.9,3653,123,189.57,72.44,63.19
SUBARU,Petrol,173,173,15.9,3653,123,189.57,72.44,63.19
SUBARU,Petrol,173,173,15.9,3653,123,189.57,72.44,63.19
SUBARU,Diesel,148,258,15.9,3737,124,189.57,72.44,63.19
SUBARU,Diesel,148,258,15.9,3737,124,189.57,72.44,63.19
SUBARU,Diesel,148,258,15.9,3860,119,189.57,72.44,63.19
SUBARU,Petrol,168,184,15.9,3585,131,184.65,70.08,58.66
SUBARU,Petrol,148,146,15.9,3477,119,180.91,70.67,68.31
SUBARU,Petrol,148,146,15.9,3477,119,180.91,70.67,68.31
SUBARU,Petrol,148,146,15.9,3477,119,180.91,70.67,68.31
SUBARU,Petrol,238,258,15.9,3721,137,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3596,119,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3596,119,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3596,119,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3560,119,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3741,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3741,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3726,117,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3653,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3622,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3622,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3587,118,180.91,70.67,68.31
SUBARU,Diesel,145,258,15.9,3772,117,180.91,70.67,68.31
SUBARU,Petrol,197,151,13.2,2897,140,166.93,69.88,50.59
SUBARU,Petrol,197,151,13.2,2948,131,166.93,69.88,50.59
SUBARU,Petrol,112,110,15.9,3186,111,175.2,70.08,61.81
SUBARU,Petrol,112,110,15.9,3186,111,175.2,70.08,61.81
SUBARU,Petrol,148,144,15.9,3252,116,175.2,70.08,61.81
SUBARU,Petrol,148,144,15.9,3252,116,175.2,70.08,61.81
SUBARU,Petrol,112,110,15.9,3186,111,175.2,70.08,61.81
SUBARU,Petrol,148,144,15.9,3274,116,175.2,70.08,61.81
SUBARU,Petrol,112,110,15.9,3186,111,175.2,70.08,61.81
SUBARU,Diesel,145,258,15.9,3351,123,175.2,70.08,61.81
