Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
BENTLEY,Petrol,506,752,25.4,6085,184,219.49,75.83,59.88
BENTLEY,Petrol,506,752,25.4,6019,184,229.33,75.83,60.67
BENTLEY,Petrol,530,811,25.4,5919,190,219.49,75.83,59.88
BENTLEY,Petrol,600,663,22.5,5340,187,202.4,78.66,68.58
BENTLEY,Petrol,600,663,22.5,5340,187,202.4,78.66,68.58
BENTLEY,Diesel,429,663,22.5,5269,168,202.36,78.66,68.58
BENTLEY,Diesel,429,663,22.5,5595,168,202.36,78.66,68.58
BENTLEY,Petrol,582,531,23.8,5280,198,189.21,76.5,55.28
BENTLEY,Petrol,500,486,23.8,5225,188,189.21,76.54,55.28
BENTLEY,Petrol,522,501,23.8,5225,192,189.21,76.54,55.28
BENTLEY,Petrol,700,750,23.8,5027,209,189.21,76.54,54.88
BENTLEY,Petrol,567,516,23.8,5280,196,189.21,76.5,55.28
BENTLEY,Petrol,500,486,23.8,5611,187,189.21,76.54,55.24
BENTLEY,Petrol,522,501,23.8,5611,191,189.21,76.54,55.24
BENTLEY,Petrol,626,604,23.8,5611,203,189.21,76.54,54.84
BENTLEY,Petrol,700,750,23.8,5412,205,189.21,76.54,54.84
BENTLEY,Petrol,617,590,23.8,5675,199,208.46,77.8,58.58
BENTLEY,Petrol,500,486,23.8,5512,183,208.62,75.75,58.58
BENTLEY,Petrol,617,590,23.8,5622,199,208.46,77.8,58.58
BENTLEY,Petrol,500,486,23.8,5225,188,189.21,76.5,55.28
BENTLEY,Petrol,522,501,23.8,5225,192,189.21,76.54,54.88
BENTLEY,Petrol,571,516,23.8,5004,170,189.21,76.54,54.88
BENTLEY,Petrol,500,486,23.8,5611,187,189.21,76.5,55.24
BENTLEY,Petrol,522,501,23.8,5611,191,189.21,76.5,55.28
BENTLEY,Petrol,506,752,25.4,5699,184,219.49,75.83,59.88
BENTLEY,Petrol,506,752,25.4,5699,184,219.49,75.83,59.88
BENTLEY,Petrol,530,811,25.4,6085,190,219.49,75.83,59.88
BENTLEY,Petrol,506,752,25.4,6085,184,219.49,75.83,59.88
BENTLEY,Petrol,500,737,25.4,6107,179,212.99,74.8,58.74
BENTLEY,Petrol,552,479,23.8,5644,195,189.13,75.87,55.04
BENTLEY,Petrol,603,553,23.8,5644,200,189.13,75.87,54.65
BENTLEY,Petrol,552,479,23.8,5456,194,208.94,75.43,58.23
BENTLEY,Petrol or Ethanol,567,516,23.8,5280,198,189.21,76.54,55.28
BENTLEY,Petrol,552,479,23.8,5423,198,189.13,77.36,54.72
BENTLEY,Petrol,552,479,23.8,5346,198,189.13,77.36,54.72
BENTLEY,Petrol,602,553,23.8,5346,203,189.13,77.36,54.33
BENTLEY,Petrol,349,420,24.8,5282,149,212.2,75.98,59.84
BENTLEY,Petrol,399,615,26.4,5556,155,212.2,75.98,59.65
BENTLEY,Petrol,399,615,26.4,5853,155,222.05,75.98,59.84
BENTLEY,Petrol,395,615,26.4,5699,155,212.2,76.06,59.65
BENTLEY,Petrol,444,645,26.4,5699,168,212.6,76.06,59.65
BENTLEY,Petrol,451,645,25.4,5864,168,212.2,76.06,59.65
