Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
BMW,Petrol,181,213,15.9,3516,147,182.68,71.85,54.69
BMW,Petrol,322,331,15.9,3880,155,182.68,71.85,55.28
BMW,Petrol,322,331,15.9,3726,155,182.68,71.85,54.69
BMW,Petrol,249,258,15.9,3726,155,182.68,71.85,55.28
BMW,Petrol,249,258,15.9,3560,155,182.68,71.85,54.69
BMW,Petrol,249,258,15.9,3516,155,182.68,71.85,54.69
BMW,Petrol,181,199,15.9,3726,144,182.68,71.85,55.28
BMW,Petrol,181,199,15.9,3693,145,182.68,71.85,55.28
BMW,Petrol,181,199,15.9,3340,147,182.68,71.85,54.69
BMW,Diesel,254,413,15.1,3869,155,182.68,71.85,55.28
BMW,Diesel,254,413,15.1,3726,155,182.68,71.85,54.69
BMW,Diesel,187,295,15.1,3726,143,182.68,71.85,55.28
BMW,Diesel,187,295,15.1,3682,146,182.68,71.85,55.28
BMW,Diesel,187,295,15.1,3560,144,182.68,71.85,54.69
BMW,Diesel,187,295,15.1,3516,149,182.68,71.85,54.69
BMW,Diesel,148,236,15.1,3538,132,182.68,71.85,54.69
BMW,Diesel,148,236,15.1,3494,132,182.68,71.85,54.69
BMW,Diesel,309,464,15.1,3913,155,182.68,71.85,55.28
BMW,Petrol,181,213,15.9,3913,143,182.68,71.85,54.49
BMW,Petrol,322,331,15.9,4244,155,182.68,71.85,55.08
BMW,Petrol,322,331,15.9,4068,155,182.68,71.85,54.49
BMW,Petrol,249,258,15.9,4145,155,182.68,71.85,55.08
BMW,Petrol,249,258,15.9,3990,155,182.68,71.85,54.49
BMW,Petrol,249,258,15.9,3935,155,182.68,71.85,54.49
BMW,Petrol,181,199,15.9,3946,143,182.68,71.85,54.49
BMW,Diesel,187,295,15.1,3946,142,182.68,71.85,54.49
BMW,Diesel,254,413,15.1,4068,155,182.68,71.85,54.49
BMW,Diesel,309,464,15.1,4244,155,182.68,71.85,55.08
BMW,Diesel,187,295,15.1,3913,146,182.68,71.85,54.49
BMW,Petrol,181,213,15.9,3417,147,182.68,71.85,54.21
BMW,Petrol,322,331,15.9,3748,155,182.68,71.85,54.8
BMW,Petrol,322,331,15.9,3715,155,182.68,71.85,54.8
BMW,Petrol,322,331,15.9,3594,155,182.68,71.85,54.21
BMW,Petrol,322,331,15.9,3560,155,182.68,71.85,54.21
BMW,Petrol,249,258,15.9,3638,155,182.68,71.85,54.8
BMW,Petrol,249,258,15.9,3494,155,182.68,71.85,54.21
BMW,Petrol,454,442,15.9,3649,174,183.94,73.62,54.8
BMW,Petrol,181,199,15.9,3461,147,182.68,71.85,54.21
BMW,Petrol,181,199,15.9,3605,145,182.68,71.85,54.8
BMW,Petrol,181,199,15.9,3627,144,182.68,71.85,54.8
BMW,Petrol,249,258,15.9,3450,155,182.68,71.85,54.21
BMW,Diesel,187,295,15.1,3417,149,182.68,71.85,54.21
BMW,Diesel,187,295,15.1,3560,147,182.68,71.85,54.8
BMW,Diesel,187,295,15.1,3605,143,182.68,71.85,54.8
BMW,Diesel,254,413,15.1,3560,155,182.68,71.85,54.21
BMW,Diesel,254,413,15.1,3726,155,182.68,71.85,54.8
BMW,Diesel,309,464,15.1,3748,155,182.68,71.85,54.8
BMW,Diesel,187,295,15.1,3472,144,182.68,71.85,54.21
BMW,Petrol,249,258,18,3781,155,194.61,73.54,58.98
BMW,Petrol,335,331,18,4057,155,194.61,73.54,58.98
BMW,Diesel,261,457,17.4,4134,155,194.61,73.54,58.98
BMW,Diesel,261,457,17.4,4023,155,194.61,73.54,58.98
BMW,Diesel,187,295,17.4,3825,140,194.61,73.54,58.98
BMW,Diesel,187,295,17.4,3814,143,194.61,73.54,58.98
BMW,Petrol,249,258,15.9,3737,155,189.92,71.97,59.37
BMW,Petrol,181,199,15.9,3693,142,189.92,71.97,59.37
BMW,Petrol,181,199,15.9,3858,139,189.92,71.97,59.37
BMW,Petrol,322,331,15.9,3825,155,189.92,71.97,59.37
BMW,Petrol,249,258,15.9,3880,155,189.92,71.97,59.37
BMW,Petrol,322,331,15.9,3968,155,189.92,71.97,59.37
BMW,Petrol,181,213,15.9,3649,143,189.92,71.97,59.37
BMW,Petrol,181,213,15.9,3825,141,189.92,71.97,59.37
BMW,Diesel,148,236,15.1,3682,131,189.92,71.97,59.37
BMW,Diesel,148,236,15.1,3627,131,189.92,71.97,59.37
BMW,Diesel,187,295,15.1,3682,140,189.92,71.97,59.37
BMW,Diesel,187,295,15.1,3792,143,189.92,71.97,59.37
BMW,Diesel,187,295,15.1,3825,140,189.92,71.97,59.37
BMW,Diesel,254,413,15.1,3825,155,189.92,71.97,59.37
BMW,Diesel,254,413,15.1,3979,155,189.92,71.97,59.37
BMW,Diesel,309,464,15.1,4012,155,189.92,71.97,59.37
BMW,Diesel,221,331,15.1,3759,149,189.92,71.97,59.37
BMW,Diesel,187,295,15.1,3649,143,189.92,71.97,59.37
