Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
FERRARI,Petrol,681,514,24,3946,208,193.78,77.95,54.45
FERRARI,Petrol,661,560,20.6,3252,0,179.84,76.85,47.76
FERRARI,Petrol,769,519,24.3,3516,211,183.31,77.2,50.12
FERRARI,Petrol,651,503,24,3946,208,193.19,76.89,54.29
FERRARI,Petrol,661,457,27.7,3759,202,185.04,77.24,51.18
FERRARI,Petrol,562,398,22.7,3274,202,178.23,76.26,47.76
FERRARI,Petrol,454,357,20.6,3825,193,179.65,74.88,51.5
FERRARI,Petrol,612,448,27.7,3549,205,183.66,77.24,52.6
FERRARI,Petrol,612,448,27.7,3549,205,183.66,77.24,52.6
FERRARI,Petrol,661,457,27.7,3538,208,185.43,77.24,52.2
FERRARI,Petrol,508,434,27.7,3814,202,179.13,76.38,50.39
FERRARI,Petrol,508,434,27.7,3814,202,179.13,76.38,50.39
FERRARI,Petrol,483,342,25.1,3197,196,177.64,75.71,47.8
FERRARI,Petrol,483,342,25.1,3197,196,177.64,75.71,47.8
FERRARI,Petrol,483,342,25.1,3351,193,177.64,75.71,48.58
FERRARI,Petrol,483,342,25.1,3351,193,177.64,75.71,48.58
FERRARI,Petrol,503,346,25.1,3175,196,177.64,75.71,47.87
FERRARI,Petrol,533,433,29.1,4057,196,192.99,77.05,52.91
FERRARI,Petrol,533,433,29.1,4057,196,192.99,77.05,52.91
FERRARI,Petrol,508,434,27.7,3814,202,179.13,76.38,50.39
FERRARI,Petrol,508,434,27.7,3814,202,179.13,76.38,50.39
FERRARI,Petrol,651,484,29.1,3009,218,185.12,80.12,45.16
FERRARI,Petrol,395,274,21.7,3219,180,176.38,75.59,47.64
FERRARI,Petrol,395,274,21.7,3219,180,176.38,75.59,47.64
FERRARI,Petrol,479,418,30.1,3726,186,179.13,76.18,49.53
FERRARI,Petrol,395,274,21.7,3086,183,176.38,75.59,47.64
FERRARI,Petrol,395,274,21.7,3086,183,176.38,75.59,47.64
FERRARI,Petrol,419,275,25.1,2822,186,176.26,75.67,47.2
FERRARI,Petrol,479,418,30.1,3726,199,179.13,76.38,50.39
FERRARI,Petrol,375,267,23.2,2976,183,167.32,76.38,46.06
FERRARI,Petrol,513,347,27.7,2712,202,176.38,77.95,44.09
FERRARI,Petrol,436,405,29.1,3726,193,187.4,75.59,51.18
FERRARI,Petrol,471,425,31.7,2425,201,174.41,78.31,44.49
FERRARI,Petrol,266,224,19.5,2806,163,167.52,68.11,44.41
FERRARI,Petrol,266,224,19.5,2784,163,167.52,68.11,44.41
FERRARI,Petrol,340,332,31.7,3990,155,189.37,70.79,51.73
FERRARI,Petrol,340,332,31.7,3979,158,189.37,70.79,51.73
FERRARI,Petrol,395,365,31.7,2557,190,168.9,75.2,44.09
FERRARI,Petrol,153,125,19.5,2716,134,166.54,67.72,44.09
FERRARI,Petrol,217,177,19.5,2716,150,166.54,67.72,44.09
FERRARI,Petrol,217,177,19.5,2740,150,166.54,67.72,44.09
FERRARI,Petrol,211,179,22.2,3188,142,180.31,70.47,49.21
FERRARI,Petrol,237,191,23,3153,149,180.31,70.47,49.21
FERRARI,Petrol,270,224,22.7,3086,155,178.54,70.67,49.8
FERRARI,Petrol,270,224,22.7,3109,155,178.54,70.67,49.8
FERRARI,Petrol,355,331,29.1,3340,172,173.23,72.05,44.09
FERRARI,Petrol,335,332,31.7,3305,174,173.23,72.05,44.09
FERRARI,Petrol,335,311,31.7,4154,152,189.02,70.79,52.01
FERRARI,Petrol,335,311,31.7,4180,149,189.02,70.79,52.01
FERRARI,Petrol,311,303,31.7,3999,155,189.37,70.79,51.73
FERRARI,Petrol,311,303,31.7,4008,146,189.37,70.79,51.73
FERRARI,Petrol,252,208,37,2403,155,165.98,67.72,44.02
FERRARI,Petrol,227,202,19.5,2789,152,166.54,67.72,44.09
FERRARI,Petrol,237,191,19.5,2835,158,166.54,67.72,44.09
FERRARI,Petrol,214,179,18.5,2835,149,166.54,67.72,44.09
FERRARI,Petrol,237,191,19.5,2835,156,166.5,67.72,44.02
FERRARI,Petrol,316,267,23.8,3199,151,177.01,65.98,50.51
FERRARI,Petrol,300,287,23.8,2859,146,175,65.51,50.98
FERRARI,Petrol,300,287,23.8,3159,153,177.36,64.02,51.73
FERRARI,Petrol,276,216,24.3,2421,153,170.28,67.91,49.02
FERRARI,Petrol,280,191,23.2,2110,150,170,62.99,50
FERRARI,Petrol,296,216,35.1,2094,158,173.23,65.91,47.01
FERRARI,Petrol,280,227,42,2205,142,165.39,59.21,52.52
