Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
FIAT,Petrol,76,84,11.9,2932,96,155.79,67.56,68.31
FIAT,Diesel,79,147,11.9,2976,100,155.79,67.56,68.31
FIAT,Diesel,94,147,11.9,2976,104,155.79,67.56,68.31
FIAT,Diesel,79,147,11.9,2976,100,156.34,67.56,71.26
FIAT,Diesel,94,147,11.9,2976,104,156.34,67.56,71.26
FIAT,Petrol,94,93,13.2,2965,115,171.97,70.55,58.86
FIAT,Diesel,118,236,13.2,3241,124,171.97,70.55,58.86
FIAT,Diesel,118,236,13.2,3186,124,171.97,70.55,58.86
FIAT,Diesel,94,147,13.2,3175,112,171.97,70.55,58.86
FIAT,Diesel,118,236,13.2,3186,124,171.97,70.55,58.86
FIAT,Petrol,68,75,9.8,2238,102,143.82,64.69,61.06
FIAT,Petrol,85,106,9.8,2315,110,143.82,64.69,61.06
FIAT,Petrol,85,106,9.2,2480,103,145.12,65.83,63.19
FIAT,Petrol,85,106,9.8,2315,110,143.82,64.69,61.06
FIAT,Diesel,94,147,9.8,2469,113,143.82,64.69,61.06
FIAT,Diesel,94,147,9.2,2646,104,145.12,65.83,63.19
FIAT,Petrol,94,93,13.2,2987,115,179.96,70.55,59.61
FIAT,Diesel,118,236,13.2,3241,124,179.96,70.55,59.61
FIAT,Diesel,118,236,13.2,3307,124,179.96,70.55,59.61
FIAT,Diesel,94,147,13.2,3197,112,179.96,70.55,59.61
FIAT,Diesel,118,236,13.2,3241,124,179.96,70.55,59.61
FIAT,Petrol,138,177,11.9,2524,133,159.61,68.5,48.54
FIAT,Petrol,89,106,9.2,2568,104,145.87,65.43,65.24
FIAT,Diesel,94,147,9.2,2712,104,145.87,65.43,65.24
FIAT,Petrol,109,112,11.9,2987,119,178.43,70.55,58.94
FIAT,Petrol,94,93,11.9,2866,115,178.43,70.55,58.94
FIAT,Petrol,94,93,11.9,2866,115,178.43,70.55,58.94
FIAT,Diesel,94,147,11.9,2987,112,178.43,70.55,58.94
FIAT,Diesel,118,236,11.9,3131,124,178.43,70.55,58.94
FIAT,Diesel,94,147,11.9,2987,112,178.43,70.55,58.94
FIAT,Diesel,94,147,11.9,2987,112,178.43,70.55,58.94
FIAT,Diesel,118,236,11.9,3131,124,178.43,70.55,58.94
FIAT,Diesel,118,236,11.9,3131,124,178.43,70.55,58.94
FIAT,Diesel,89,213,15.9,3384,98,173.46,72.13,72.64
FIAT,Diesel,89,213,15.9,3384,98,173.46,72.13,72.64
FIAT,Diesel,104,213,15.9,3384,102,173.46,72.13,72.64
FIAT,Diesel,133,236,15.9,3472,111,173.46,72.13,72.64
FIAT,Diesel,89,147,15.9,3362,97,173.46,72.13,72.64
FIAT,Petrol,68,75,9.2,2072,99,140.59,64.06,58.58
FIAT,Petrol,68,75,9.2,2072,99,140.59,64.06,58.58
FIAT,Petrol,84,106,9.2,2216,108,140.59,64.06,58.58
FIAT,Petrol,104,106,9.2,2238,117,140.59,64.06,58.58
FIAT,Petrol,68,75,9.2,2150,99,140.59,64.06,58.58
FIAT,Diesel,94,147,9.2,2249,112,140.59,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,140.59,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,140.59,64.06,58.58
FIAT,Petrol,84,106,9.2,2304,108,140.59,64.06,58.58
FIAT,Petrol,104,106,9.2,2326,117,140.59,64.06,58.58
FIAT,Petrol,68,75,9.2,2238,99,140.59,64.06,58.58
FIAT,Petrol,138,169,12.7,3075,118,167.24,70.71,62.99
FIAT,Petrol,138,169,12.7,3075,118,167.24,70.71,62.99
FIAT,Petrol,168,184,12.7,3318,124,168.23,70.71,63.78
FIAT,Petrol,138,169,12.7,3075,118,167.24,70.71,62.99
FIAT,Petrol,138,169,12.7,3075,118,168.23,70.71,63.31
FIAT,Petrol,138,169,12.7,3075,118,167.24,70.71,62.99
FIAT,Petrol,138,169,12.7,3075,118,168.23,70.71,63.31
FIAT,Petrol,109,112,12.7,2976,112,167.24,70.71,62.99
FIAT,Petrol,109,112,12.7,2976,112,167.24,70.71,62.99
FIAT,Petrol,109,112,12.7,2976,112,167.24,70.71,62.99
FIAT,Diesel,138,258,12.7,3461,118,167.24,70.71,62.99
FIAT,Diesel,94,147,12.7,3075,107,167.24,70.71,62.99
FIAT,Diesel,138,258,12.7,3318,118,168.23,70.71,63.78
FIAT,Diesel,138,258,12.7,3318,118,168.23,70.71,63.78
FIAT,Diesel,138,258,12.7,3461,118,168.23,70.71,63.78
FIAT,Diesel,138,258,12.7,3461,118,168.23,70.71,63.78
FIAT,Diesel,118,236,12.7,3075,116,167.24,70.71,62.99
FIAT,Diesel,118,236,12.7,3075,116,168.23,70.71,63.31
FIAT,Diesel,118,236,12.7,3075,116,168.23,70.71,63.31
FIAT,Diesel,118,236,12.7,3075,116,167.24,70.71,62.99
FIAT,Diesel,79,140,9.2,2712,99,145.87,65.43,65.24
FIAT,Diesel,83,147,13.2,3064,104,171.34,70.24,65.63
FIAT,Diesel,118,236,13.2,3307,119,171.34,70.24,65.63
FIAT,Diesel,118,236,13.2,3241,119,171.34,70.24,65.63
FIAT,Diesel,104,236,13.2,3241,112,171.34,70.24,65.63
FIAT,Diesel,83,147,13.2,3064,103,171.34,70.24,65.63
FIAT,Diesel,83,147,13.2,3131,103,171.34,70.24,65.63
FIAT,Diesel,104,236,13.2,3241,112,171.34,70.24,65.63
FIAT,Diesel,104,236,13.2,3307,112,171.34,70.24,65.63
FIAT,Petrol,94,93,13.2,2910,103,168.11,70.87,66.1
FIAT,Petrol,104,106,13.2,2943,108,168.11,70.87,66.1
FIAT,Petrol,94,93,13.2,2932,103,168.11,70.87,66.1
FIAT,Diesel,83,147,13.2,3064,99,168.11,70.87,66.1
FIAT,Diesel,83,147,13.2,3075,98,168.11,70.87,66.1
FIAT,Diesel,104,236,13.2,3175,109,168.11,70.87,66.1
FIAT,Diesel,83,147,13.2,3042,99,168.11,70.87,66.1
FIAT,Diesel,104,236,13.2,3197,109,168.11,70.87,66.1
FIAT,Petrol,68,75,9.8,2238,102,143.82,64.69,61.06
FIAT,Petrol,85,106,9.8,2315,110,143.82,64.69,61.06
FIAT,Petrol,85,106,9.8,2315,110,143.82,64.69,61.06
FIAT,Petrol,68,75,9.8,2238,102,143.82,64.69,61.06
FIAT,Petrol,68,75,9.8,2238,102,143.82,64.69,61.06
FIAT,Petrol,94,93,13.2,2745,106,163.27,70.24,65.55
FIAT,Petrol,104,106,13.2,2778,112,163.27,70.24,65.55
FIAT,Petrol,94,93,13.2,2745,106,163.27,70.24,65.55
FIAT,Petrol,104,106,13.2,2778,112,163.27,70.24,65.55
FIAT,Petrol,94,93,13.2,2745,106,163.27,70.24,65.55
FIAT,Petrol,94,93,13.2,2910,111,163.27,70.24,65.55
FIAT,Diesel,83,147,13.2,2899,103,163.27,70.24,65.55
FIAT,Diesel,83,147,13.2,2899,103,163.27,70.24,65.55
FIAT,Diesel,83,147,13.2,2899,103,163.27,70.24,65.55
FIAT,Diesel,118,236,13.2,3186,114,163.27,70.24,65.55
FIAT,Diesel,104,236,13.2,3175,109,163.27,70.24,65.55
FIAT,Diesel,83,147,13.2,3020,103,163.27,70.24,65.55
FIAT,Diesel,104,236,13.2,3175,112,163.27,70.24,65.55
FIAT,Petrol,68,75,9.2,2061,101,139.29,62.13,60.63
FIAT,Petrol,68,75,9.2,2061,101,139.29,62.13,60.63
FIAT,Petrol,68,75,9.2,2293,92,140.71,63.19,64.25
FIAT,Diesel,74,106,9.2,2535,94,140.71,63.19,64.25
FIAT,Diesel,138,258,20.6,4297,112,192.44,73.94,66.57
FIAT,Diesel,138,258,20.6,4297,112,192.44,73.94,68.7
FIAT,Diesel,168,258,20.6,4297,121,192.44,73.94,68.7
FIAT,Diesel,168,258,21.1,4583,114,192.44,73.94,68.7
FIAT,Diesel,138,258,20.6,4297,112,192.44,73.94,66.57
FIAT,Diesel,168,258,21.1,4583,114,192.44,73.94,68.7
FIAT,Diesel,168,258,20.6,4297,121,192.44,73.94,68.7
FIAT,Diesel,168,258,20.6,4297,121,192.44,73.94,68.7
FIAT,Diesel,138,258,20.6,4297,112,192.44,73.94,68.7
FIAT,Diesel,138,258,20.6,4297,112,192.44,73.94,68.7
FIAT,Diesel,168,258,20.6,4297,121,192.44,73.94,68.7
FIAT,Diesel,168,258,20.6,4277,122,193.86,73.94,67.13
FIAT,Diesel,168,258,20.6,4605,114,193.86,73.94,67.13
FIAT,Diesel,168,258,21.1,4583,114,192.44,73.94,68.7
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,84,106,9.2,2304,108,139.61,64.06,58.58
FIAT,Petrol,84,106,9.2,2326,108,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,99,96,9.2,2304,113,139.61,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.61,64.06,58.58
FIAT,Petrol,84,106,9.2,2304,108,139.76,64.06,58.58
FIAT,Petrol,104,106,9.2,2326,117,139.76,64.06,58.58
FIAT,Petrol,104,106,9.2,2326,117,139.61,64.06,58.58
FIAT,Petrol,84,106,9.2,2304,108,139.76,64.06,58.58
FIAT,Petrol,104,106,9.2,2326,117,139.76,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.76,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.76,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.76,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.76,64.06,58.58
FIAT,Petrol,104,106,9.2,2326,117,139.76,64.06,58.58
FIAT,Petrol,68,75,9.2,2161,99,139.76,64.06,58.58
FIAT,Diesel,74,106,9.2,2414,103,139.61,64.06,58.58
FIAT,Diesel,94,147,9.2,2304,112,139.61,64.06,58.58
FIAT,Diesel,94,147,9.2,2304,112,139.61,64.06,58.58
FIAT,Diesel,74,106,9.2,2414,103,139.61,64.06,58.58
FIAT,Diesel,94,147,9.2,2304,112,139.61,64.06,58.58
FIAT,Diesel,74,106,9.2,2414,103,139.61,64.06,58.58
FIAT,Diesel,74,106,9.2,2414,103,139.61,64.06,58.58
FIAT,Diesel,94,147,9.2,2414,112,139.76,64.06,58.58
FIAT,Diesel,94,147,9.2,2414,112,139.76,64.06,58.58
FIAT,Diesel,94,147,9.2,2414,112,139.76,64.06,58.58
FIAT,Petrol,64,65,12.7,1786,94,145.39,60.94,56.89
FIAT,Petrol,72,68,12.7,2004,93,148.43,65.2,60.94
FIAT,Petrol,84,89,12.7,2048,103,148.43,65.2,61.22
FIAT,Petrol,84,89,12.7,2039,106,148.43,64.41,58.66
FIAT,Petrol,84,89,12.7,2081,106,148.43,65.87,58.54
FIAT,Petrol,84,89,12.7,2072,103,148.43,65.2,61.22
FIAT,Petrol,84,89,12.7,2015,106,148.43,64.41,58.66
FIAT,Petrol,64,65,12.7,1808,94,145.39,60.94,58.62
FIAT,Petrol,64,65,12.7,1852,94,145.39,60.94,58.62
FIAT,Petrol,64,65,12.7,1830,94,145.39,60.94,56.89
FIAT,Petrol,72,68,12.7,1949,94,148.43,64.41,58.27
FIAT,Petrol,72,68,12.7,1973,94,148.43,64.41,58.27
FIAT,Petrol,72,68,12.7,2028,93,148.43,65.2,60.94
FIAT,Petrol,84,89,12.7,2105,106,148.43,65.87,58.54
FIAT,Petrol,72,87,11.9,2734,98,155.87,67.56,67.76
FIAT,Diesel,74,140,11.9,2778,98,155.87,67.56,67.76
FIAT,Diesel,74,140,11.9,2778,98,155.87,67.56,67.76
FIAT,Diesel,94,147,11.9,2811,106,155.87,67.56,67.76
FIAT,Diesel,74,140,11.9,2778,96,155.87,67.56,67.76
FIAT,Petrol,118,151,11.9,2811,121,179.53,68.11,58.82
FIAT,Petrol,77,84,11.9,2723,103,179.53,68.11,58.82
FIAT,Petrol,77,84,11.9,2723,103,179.53,68.11,58.82
FIAT,Petrol,118,151,11.9,2811,121,179.53,68.11,58.82
FIAT,Petrol,76,81,11.9,2723,100,179.53,68.11,58.82
FIAT,Petrol,76,81,11.9,2723,100,179.53,68.11,58.82
FIAT,Diesel,89,147,11.9,2778,106,179.53,68.11,58.82
FIAT,Diesel,89,147,11.9,2778,106,179.53,68.11,58.82
FIAT,Diesel,89,147,11.9,2778,106,179.53,68.11,58.82
FIAT,Diesel,89,147,11.9,2778,106,179.53,68.11,58.82
FIAT,Diesel,89,147,11.9,2778,106,179.53,68.11,58.82
FIAT,Diesel,104,213,11.9,3009,114,179.53,68.11,58.82
FIAT,Diesel,104,213,11.9,3009,114,179.53,68.11,58.82
FIAT,Diesel,104,213,11.9,3009,114,179.53,68.11,58.82
FIAT,Petrol,89,94,15.3,2822,111,170.71,70.55,58.98
FIAT,Petrol,118,151,15.3,2943,122,170.71,70.55,58.98
FIAT,Petrol,118,151,15.3,2943,122,170.71,70.55,58.98
FIAT,Petrol,118,151,15.3,2943,122,170.71,70.55,58.98
FIAT,Petrol,118,151,15.3,2943,122,170.71,70.55,58.98
FIAT,Petrol,118,151,15.3,2943,122,170.71,70.55,58.98
FIAT,Petrol,89,94,15.3,2822,111,170.71,70.55,58.98
FIAT,Petrol,138,169,15.3,2943,127,170.71,70.55,58.98
FIAT,Petrol,138,169,15.3,2943,127,170.71,70.55,58.98
FIAT,Petrol,89,94,15.3,2822,111,170.71,70.55,58.98
FIAT,Petrol,89,94,15.3,2822,111,170.71,70.55,58.98
FIAT,Diesel,104,213,15.3,3075,116,170.71,70.55,58.98
