Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
LAMBORGHINI,Petrol,602,413,21.1,3419,202,175.55,75.75,45.87
LAMBORGHINI,Petrol,602,413,21.1,3419,202,175.55,75.75,45.87
LAMBORGHINI,Petrol,690,508,23.8,3472,218,188.19,79.92,44.72
LAMBORGHINI,Petrol,690,508,23.8,3957,218,188.19,79.92,44.72
LAMBORGHINI,Petrol,711,508,23.8,3847,218,188.19,79.92,44.72
LAMBORGHINI,Petrol,711,508,23.8,3957,218,188.19,79.92,44.72
LAMBORGHINI,Petrol,741,508,23.8,3362,218,190.35,79.92,44.72
LAMBORGHINI,Petrol,741,508,23.8,3847,218,190.35,79.92,44.72
LAMBORGHINI,Petrol,730,508,22.5,3836,218,188.86,79.92,44.72
LAMBORGHINI,Petrol,661,486,26.4,3726,190,185.04,81.02,44.65
LAMBORGHINI,Petrol,544,398,23.8,3342,199,171.06,74.8,45.87
LAMBORGHINI,Petrol,544,398,23.8,3342,199,171.06,74.8,45.87
LAMBORGHINI,Petrol,513,376,23.8,3153,196,169.29,74.8,45.87
LAMBORGHINI,Petrol,512,376,23.8,3153,196,169.29,74.8,45.87
LAMBORGHINI,Petrol,512,376,23.8,3461,195,169.29,74.8,45.67
LAMBORGHINI,Petrol,523,376,23.8,2932,196,169.29,74.8,45.67
LAMBORGHINI,Petrol,552,398,23.8,3602,202,171.06,74.8,45.87
LAMBORGHINI,Petrol,552,398,21.1,3702,201,171.06,74.8,46.61
LAMBORGHINI,Petrol,552,398,21.1,3702,201,171.06,74.8,46.61
LAMBORGHINI,Petrol,552,398,23.8,3602,202,171.06,74.8,45.87
LAMBORGHINI,Petrol,552,398,23.8,3602,202,171.06,74.8,45.87
LAMBORGHINI,Petrol,552,398,21.1,3702,201,171.06,74.8,46.61
LAMBORGHINI,Petrol,552,398,21.1,3702,201,171.06,74.8,46.61
LAMBORGHINI,Petrol,572,479,26.4,3638,205,180.31,80.51,44.69
LAMBORGHINI,Petrol,572,479,26.4,3671,199,180.31,80.51,41.93
LAMBORGHINI,Petrol,631,486,26.4,3671,205,181.5,81.1,44.88
LAMBORGHINI,Petrol,523,446,26.4,3474,208,175.59,80.31,43.31
LAMBORGHINI,Petrol,523,446,26.4,3583,208,175.59,80.31,43.31
LAMBORGHINI,Petrol,518,427,26.4,3197,211,177.56,80.31,43.31
LAMBORGHINI,Petrol,523,446,26.4,3583,208,175.98,80.31,44.09
LAMBORGHINI,Petrol,523,446,26.4,3373,199,175.98,80.31,44.09
LAMBORGHINI,Petrol,523,446,26.4,3583,208,175.98,80.31,44.09
LAMBORGHINI,Petrol,523,446,26.4,3373,199,175.98,80.31,44.09
LAMBORGHINI,Petrol,543,457,26.4,3583,205,175.98,80.31,43.31
LAMBORGHINI,Petrol,327,314,74,5732,117,192.91,78.74,72.83
LAMBORGHINI,Petrol,414,433,84.5,5732,128,192.91,78.74,72.83
LAMBORGHINI,Petrol,252,231,21.1,3329,154,170.47,74.02,44.88
LAMBORGHINI,Petrol,440,330,36.7,2491,190,161.42,72.83,40.94
LAMBORGHINI,Petrol,370,266,31.7,2646,162,162.99,74.41,42.13
LAMBORGHINI,Petrol,370,266,31.7,3020,164,162.99,74.41,42.13
LAMBORGHINI,Petrol,370,302,31.7,3263,180,162.99,78.74,42.13
LAMBORGHINI,Petrol,449,368,29.1,3285,185,165.35,78.74,42.13
LAMBORGHINI,Petrol,178,144,21.1,2866,140,174.8,68.5,45.67
LAMBORGHINI,Petrol,220,165,18.5,2425,143,167.32,69.29,43.7
LAMBORGHINI,Petrol,182,129,21.1,2756,127,168.5,69.29,43.7
LAMBORGHINI,Petrol,261,202,21.1,2866,158,168.5,69.29,43.7
LAMBORGHINI,Petrol,261,202,21.1,2866,158,170.08,74.02,44.09
LAMBORGHINI,Petrol,326,275,24.6,3263,150,184.02,71.69,46.89
LAMBORGHINI,Petrol,350,289,24.6,3748,155,186.61,73.23,46.65
LAMBORGHINI,Petrol,345,289,24.6,3605,155,186.61,73.23,46.65
LAMBORGHINI,Petrol,350,270,23.8,2851,172,171.65,69.29,42.01
LAMBORGHINI,Petrol,370,286,23.8,2862,175,171.61,69.29,42.01
LAMBORGHINI,Petrol,385,294,20.3,2851,180,171.61,69.29,42.01
