Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
MASERATI,Petrol,326,368,21.1,4156,163,195.71,76.57,57.52
MASERATI,Petrol,403,405,21.1,4156,177,195.71,76.57,57.52
MASERATI,Petrol,403,405,21.1,4288,177,195.71,76.57,57.52
MASERATI,Petrol,405,405,21.1,4288,177,195.71,76.57,57.52
MASERATI,Petrol,405,405,21.1,4156,177,195.71,76.57,57.52
MASERATI,Petrol,326,368,21.1,4156,163,195.71,76.57,57.52
MASERATI,Diesel,271,442,18.5,4211,155,195.71,76.57,57.52
MASERATI,Diesel,247,442,18.5,4299,149,195.71,76.57,57.52
MASERATI,Diesel,271,442,18.5,4299,155,195.71,76.57,57.52
MASERATI,Petrol,523,523,21.1,4354,191,207.17,76.69,58.31
MASERATI,Petrol,403,405,21.1,4266,177,207.17,76.69,58.31
MASERATI,Petrol,403,405,21.1,4420,177,207.17,76.69,58.31
MASERATI,Petrol,403,405,21.1,4266,177,207.17,76.69,58.31
MASERATI,Petrol,523,523,21.1,4354,191,207.17,76.69,58.31
MASERATI,Diesel,271,442,18.5,4321,155,207.17,76.69,58.31
MASERATI,Petrol,399,339,22.7,4310,177,192.17,72.72,53.27
MASERATI,Petrol,433,361,22.7,4310,183,192.17,75.39,53.27
MASERATI,Petrol,433,361,22.7,4310,183,192.17,75.39,53.27
MASERATI,Petrol,443,376,23.8,3902,187,194.21,75.39,52.87
MASERATI,Petrol,454,383,23.8,3968,188,194.21,74.92,52.87
MASERATI,Petrol,433,361,19.8,4530,176,192.17,72.72,53.27
MASERATI,Petrol,433,361,19.8,4530,176,192.17,72.72,53.27
MASERATI,Petrol,443,376,19.8,4530,177,192.17,75.39,53.27
MASERATI,Petrol,396,333,23.2,3869,180,178.07,71.73,50.98
MASERATI,Petrol,396,333,23.2,3979,177,169.41,71.73,51.38
MASERATI,Petrol,396,339,23.8,4553,168,200.67,74.61,56.61
MASERATI,Petrol,425,361,23.8,4553,174,200.67,74.61,56.61
MASERATI,Petrol,433,361,23.8,4553,177,200.67,74.61,56.02
MASERATI,Petrol,395,332,23.8,4101,171,198.9,74.61,56.61
MASERATI,Petrol,395,332,23.8,4101,171,198.9,74.61,56.61
MASERATI,Petrol,395,332,23.8,4101,171,198.9,74.61,56.61
MASERATI,Petrol,433,361,23.8,4553,177,200.67,74.61,56.02
MASERATI,Petrol,433,361,23.8,4553,177,200.67,74.61,56.02
MASERATI,Petrol,425,361,23.8,4553,174,200.67,74.61,56.61
MASERATI,Petrol,396,339,23.8,4553,168,200.67,74.61,56.61
MASERATI,Petrol,399,339,23.8,4553,168,200.67,74.61,56.61
MASERATI,Petrol,433,376,23.8,4553,177,200.67,74.61,56.61
MASERATI,Petrol,444,376,23.8,4553,178,200.67,74.61,56.02
MASERATI,Petrol,444,376,23.8,4553,178,200.67,74.61,56.02
MASERATI,Petrol,385,332,23.2,3483,177,178.07,71.73,51.38
MASERATI,Petrol,385,332,23.2,3461,177,178.07,71.73,51.38
MASERATI,Petrol,396,333,23.2,3483,180,178.07,71.73,54.92
MASERATI,Petrol,385,333,23.8,3682,177,178.07,71.69,51.42
MASERATI,Petrol,395,332,23.2,3704,180,178.07,71.73,50.98
MASERATI,Petrol,385,332,23.2,3594,176,169.41,71.73,51.38
MASERATI,Petrol,385,332,23.2,3571,176,169.41,71.73,51.38
MASERATI,Petrol,385,332,23.2,3594,176,169.29,71.65,51.18
MASERATI,Petrol,396,333,23.2,3571,177,169.41,71.73,51.38
MASERATI,Petrol,365,362,23.8,3505,174,177.56,71.65,51.18
MASERATI,Petrol,365,362,23.8,3505,174,177.56,71.65,51.18
MASERATI,Petrol,276,292,26.4,3402,162,179.13,71.26,54.33
MASERATI,Petrol,330,331,26.4,3631,168,179.13,71.26,54.33
MASERATI,Petrol,276,292,26.4,3402,162,179.13,71.26,54.33
MASERATI,Petrol,330,331,26.4,3631,168,179.13,71.26,54.33
MASERATI,Petrol,280,304,21.1,3009,162,166.26,69.88,51.57
MASERATI,Petrol,302,275,21.1,3009,162,166.26,69.88,51.57
MASERATI,Petrol,326,278,21.1,2800,168,165.94,70.08,50.08
MASERATI,Petrol,242,218,21.1,3020,143,173.23,68.11,53.94
MASERATI,Petrol,322,318,21.1,3124,168,161.5,72.83,51.18
MASERATI,Petrol,242,218,21.1,2734,143,164.96,67.48,51.38
MASERATI,Petrol,252,260,26.4,4189,137,193.31,70.47,53.23
MASERATI,Petrol,276,289,26.4,4189,143,193.31,70.47,53.23
MASERATI,Petrol,178,186,16.1,2394,134,163.5,67.48,51.38
MASERATI,Petrol,202,186,16.1,2394,137,163.5,67.48,51.38
MASERATI,Petrol,193,222,24,2560,137,165.87,67.48,51.38
