Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
MINI,Petrol,134,162,13.5,3175,126,169.25,71.73,61.3
MINI,Petrol,134,162,13.5,3230,124,169.25,71.73,61.3
MINI,Petrol,134,162,13.5,3373,122,169.25,71.73,61.3
MINI,Petrol,134,162,13.5,3406,122,169.25,71.73,61.3
MINI,Petrol,189,206,13.5,3318,140,169.25,71.73,61.3
MINI,Petrol,189,206,13.5,3384,140,169.25,71.73,61.3
MINI,Petrol,189,206,13.5,3494,138,169.25,71.73,61.3
MINI,Petrol,189,206,13.5,3538,138,169.25,71.73,61.3
MINI,Petrol,228,258,13.5,3560,145,169.25,71.73,61.3
MINI,Petrol,228,258,13.5,3594,145,169.25,71.73,61.3
MINI,Diesel,148,243,13.5,3318,129,169.25,71.73,61.3
MINI,Diesel,148,243,13.5,3439,127,169.25,71.73,61.3
MINI,Diesel,148,243,13.5,3472,127,169.25,71.73,61.3
MINI,Diesel,187,295,13.5,3395,137,169.25,71.73,61.3
MINI,Diesel,187,295,13.5,3549,135,169.25,71.73,61.3
MINI,Diesel,148,243,13.5,3263,129,169.25,71.73,61.3
MINI,Petrol,134,169,10.6,2822,129,150.43,67.99,55.71
MINI,Petrol,134,169,10.6,2877,128,150.43,67.99,55.71
MINI,Petrol,189,221,11.6,2976,143,151.57,67.99,55.71
MINI,Petrol,189,221,11.6,3020,142,151.57,67.99,55.71
MINI,Petrol,101,132,10.6,2822,118,150.43,67.99,55.71
MINI,Petrol,228,236,11.6,3075,149,152.52,67.99,55.67
MINI,Petrol,228,236,11.6,3053,150,152.52,67.99,55.67
MINI,Diesel,114,199,11.6,2954,121,150.43,67.99,55.71
MINI,Diesel,114,199,11.6,2910,121,150.43,67.99,55.71
MINI,Diesel,168,265,11.6,3042,135,151.57,67.99,55.71
MINI,Petrol,134,169,12.7,3031,127,167.44,70.87,56.73
MINI,Petrol,101,132,12.7,3075,115,167.44,70.87,56.73
MINI,Petrol,101,132,12.7,3031,115,167.44,70.87,56.73
MINI,Petrol,189,221,12.7,3230,142,167.44,70.87,56.73
MINI,Petrol,189,221,12.7,3164,142,167.44,70.87,56.73
MINI,Petrol,134,169,12.7,3075,127,167.44,70.87,56.73
MINI,Petrol,189,206,12.7,3384,140,167.44,70.87,56.73
MINI,Petrol,189,206,12.7,3362,140,167.44,70.87,56.73
MINI,Diesel,148,243,12.7,3075,132,167.44,70.87,56.73
MINI,Diesel,187,295,12.7,3263,140,167.44,70.87,56.73
MINI,Diesel,187,295,12.7,3219,140,167.44,70.87,56.73
MINI,Diesel,114,199,12.7,3131,119,167.44,70.87,56.73
MINI,Diesel,114,199,12.7,3075,119,167.44,70.87,56.73
MINI,Diesel,148,243,12.7,3164,132,167.44,70.87,56.73
MINI,Diesel,187,295,12.7,3395,138,167.44,70.87,56.73
MINI,Petrol,97,112,12.4,2954,109,161.3,70.43,61.46
MINI,Petrol,215,221,12.4,3263,142,162.72,70.43,60.98
MINI,Petrol,187,191,12.4,3285,132,161.77,70.43,61.46
MINI,Petrol,187,191,12.4,3109,133,161.77,70.43,61.46
MINI,Petrol,187,191,12.4,3230,134,161.77,70.43,61.46
MINI,Petrol,187,191,12.4,3053,135,161.77,70.43,61.46
MINI,Petrol,215,221,12.4,3318,140,162.72,70.43,60.98
MINI,Petrol,97,112,12.4,3020,106,161.3,70.43,61.46
MINI,Petrol,120,118,12.4,3241,114,161.42,70.43,61.46
MINI,Petrol,120,118,12.4,3142,116,161.42,70.43,61.46
MINI,Petrol,120,118,12.4,3020,114,161.3,70.43,61.46
MINI,Petrol,120,118,12.4,2954,119,161.3,70.43,61.46
MINI,Diesel,109,199,12.4,3053,116,161.3,70.43,61.46
MINI,Diesel,141,224,12.4,3318,121,161.77,70.43,61.46
MINI,Diesel,141,224,12.4,3142,122,161.77,70.43,61.46
MINI,Diesel,141,224,12.4,3263,122,161.77,70.43,61.46
MINI,Diesel,141,224,12.4,3075,124,161.77,70.43,61.46
MINI,Diesel,89,158,12.4,3053,106,161.3,70.43,61.46
MINI,Diesel,109,199,12.4,3109,112,161.3,70.43,61.46
MINI,Diesel,109,199,12.4,3230,112,161.42,70.43,61.46
MINI,Diesel,109,199,12.4,3285,109,161.42,70.43,61.46
MINI,Petrol,134,169,10.6,2690,129,156.77,67.99,56.1
MINI,Petrol,134,169,10.6,2756,129,156.77,67.99,56.1
MINI,Petrol,189,221,11.6,2855,144,157.68,67.99,56.1
MINI,Petrol,189,221,11.6,2899,143,157.68,67.99,56.1
MINI,Petrol,101,132,10.6,2756,119,156.77,67.99,56.1
MINI,Petrol,101,132,10.6,2701,119,156.77,67.99,56.1
MINI,Diesel,168,265,11.6,2921,139,157.68,67.99,56.1
MINI,Diesel,168,265,11.6,2877,140,157.68,67.99,56.1
MINI,Diesel,114,199,11.6,2822,126,156.77,67.99,56.1
MINI,Diesel,114,199,11.6,2789,126,156.77,67.99,56.1
MINI,Diesel,94,162,11.6,2756,116,156.77,67.99,56.1
MINI,Petrol,134,169,10.6,2624,131,150.43,67.99,55.67
MINI,Petrol,189,221,11.6,2723,146,151.57,67.99,55.67
MINI,Petrol,189,221,11.6,2756,145,151.57,67.99,55.67
MINI,Petrol,101,132,10.6,2635,121,150.43,67.99,55.67
MINI,Petrol,74,110,10.6,2557,109,150.43,67.99,55.67
MINI,Petrol,228,236,11.6,2855,153,152.52,67.99,55.67
MINI,Petrol,228,236,11.6,2822,153,152.52,67.99,55.67
MINI,Diesel,114,199,11.6,2701,127,150.43,67.99,55.67
MINI,Diesel,114,199,11.6,2668,127,150.43,67.99,55.67
MINI,Diesel,94,162,11.6,2624,118,150.43,67.99,55.67
MINI,Diesel,168,265,11.6,2756,141,151.57,67.99,55.67
MINI,Diesel,168,265,11.6,2789,140,151.57,67.99,55.67
MINI,Petrol,120,118,10.6,2635,124,146.77,66.26,54.49
MINI,Petrol,120,118,10.6,2723,119,146.77,66.26,54.49
MINI,Petrol,181,191,13.2,2778,141,147.01,66.26,54.72
MINI,Petrol,181,191,13.2,2822,138,147.01,66.26,54.72
MINI,Petrol,208,206,13.2,2778,147,147.95,66.26,54.76
MINI,Diesel,141,224,10.6,2811,132,147.01,66.26,54.72
MINI,Diesel,141,224,10.6,2844,127,147.01,66.26,54.72
MINI,Petrol,120,118,10.6,2568,127,146.77,66.26,54.25
MINI,Petrol,120,118,10.6,2668,123,146.77,66.26,54.25
MINI,Petrol,181,191,13.2,2734,143,147.01,66.26,54.49
MINI,Petrol,181,191,13.2,2789,139,147.01,66.26,54.49
MINI,Petrol,208,206,13.2,2734,149,147.01,66.26,54.49
MINI,Diesel,141,224,10.6,2756,134,147.01,66.26,54.49
MINI,Diesel,141,224,10.6,2800,128,147.01,66.26,54.49
MINI,Petrol,120,118,12.4,2932,119,161.77,70.31,59.76
MINI,Petrol,120,118,12.4,2998,114,161.77,70.31,59.76
MINI,Petrol,181,191,12.4,3042,135,162.01,70.31,59.92
MINI,Petrol,181,191,12.4,3097,132,162.01,70.31,59.92
MINI,Petrol,181,191,12.4,3186,132,162.01,70.31,59.92
MINI,Petrol,181,191,12.4,3241,129,162.01,70.31,59.92
MINI,Petrol,215,221,12.4,3252,140,162.36,70.31,60.12
MINI,Petrol,215,221,12.4,3296,139,162.36,70.31,60.12
MINI,Petrol,187,191,12.4,3263,134,161.97,70.31,59.76
MINI,Petrol,187,191,12.4,3097,134,161.97,70.31,59.76
MINI,Petrol,187,191,12.4,3042,137,161.97,70.31,59.76
MINI,Petrol,120,118,12.4,2932,120,161.77,70.31,59.76
MINI,Petrol,120,118,12.4,3197,114,161.77,70.31,59.76
MINI,Petrol,120,118,12.4,3097,115,161.77,70.31,59.76
MINI,Petrol,215,221,12.4,3252,142,162.36,70.31,59.76
MINI,Petrol,187,191,12.4,3208,135,161.97,70.31,59.76
MINI,Petrol,215,221,12.4,3296,140,162.36,70.31,59.76
MINI,Diesel,109,199,12.4,3031,116,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3075,113,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3186,113,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3241,110,161.77,70.31,59.76
MINI,Diesel,141,224,12.4,3064,124,162.01,70.31,59.92
MINI,Diesel,141,224,12.4,3285,121,162.01,70.31,59.92
MINI,Diesel,141,224,12.4,3230,122,162.01,70.31,59.92
MINI,Diesel,141,224,12.4,3109,122,162.01,70.31,59.92
MINI,Diesel,141,224,12.4,3296,122,161.97,70.31,59.76
MINI,Diesel,141,224,12.4,3241,124,161.97,70.31,59.76
MINI,Diesel,141,224,12.4,3131,124,161.97,70.31,59.76
MINI,Diesel,141,224,12.4,3075,126,161.97,70.31,59.76
MINI,Diesel,109,199,12.4,3053,117,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3097,114,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3208,114,161.77,70.31,59.76
MINI,Diesel,109,199,12.4,3263,111,161.77,70.31,59.76
MINI,Petrol,97,112,12.4,2954,108,161.3,70.43,61.46
MINI,Petrol,120,118,12.4,3120,114,161.3,70.43,61.46
MINI,Petrol,97,112,12.4,3020,104,161.3,70.43,61.46
MINI,Petrol,120,118,12.4,3020,113,161.3,70.43,61.46
MINI,Petrol,181,177,12.4,3263,127,161.81,70.43,61.46
MINI,Petrol,181,177,12.4,3109,131,161.81,70.43,61.46
MINI,Petrol,181,177,12.4,3208,131,161.81,70.43,61.46
MINI,Petrol,181,177,12.4,3053,134,161.81,70.43,61.46
MINI,Petrol,120,118,12.4,3219,113,161.3,70.43,61.46
MINI,Petrol,120,118,12.4,2954,118,161.3,70.43,61.46
MINI,Diesel,110,199,12.4,3053,115,161.3,70.43,61.46
MINI,Diesel,110,199,12.4,3208,112,161.3,70.43,61.46
MINI,Diesel,141,224,12.4,3296,120,161.81,70.43,61.46
MINI,Diesel,109,199,12.4,3109,112,161.3,70.43,61.46
MINI,Diesel,109,199,12.4,3263,109,161.3,70.43,61.46
MINI,Diesel,89,158,12.4,3053,106,161.3,70.43,61.46
MINI,Diesel,141,224,12.4,3241,121,161.81,70.43,61.46
MINI,Diesel,141,224,12.4,3075,123,161.81,70.43,61.46
MINI,Diesel,141,224,12.4,3131,121,161.81,70.43,61.46
MINI,Petrol,97,112,10.6,2811,108,145.63,66.26,55.67
MINI,Petrol,208,191,13.2,2877,146,146.22,66.26,55.67
MINI,Petrol,181,177,13.2,2932,137,146.22,66.26,55.67
MINI,Petrol,181,177,13.2,2877,140,146.22,66.26,55.67
MINI,Petrol,120,118,10.6,2822,119,145.63,66.26,55.67
MINI,Petrol,120,118,10.6,2734,123,145.63,66.26,55.67
MINI,Petrol,97,112,10.6,2723,112,145.63,66.26,55.67
MINI,Petrol,97,112,10.6,2723,112,145.63,66.26,55.67
MINI,Petrol,208,191,13.2,2877,146,146.22,66.26,55.67
MINI,Petrol,181,177,13.2,2932,137,146.22,66.26,55.67
MINI,Petrol,181,177,13.2,2877,140,146.22,66.26,55.67
MINI,Petrol,120,118,10.6,2822,119,145.63,66.26,55.67
MINI,Petrol,120,118,10.6,2734,123,145.63,66.26,55.67
MINI,Petrol,97,112,10.6,2811,108,145.63,66.26,55.67
MINI,Diesel,110,199,10.6,2811,121,146.57,66.26,55.67
MINI,Diesel,141,224,10.6,2921,131,146.81,66.26,55.67
MINI,Diesel,141,224,10.6,2954,126,146.81,66.26,55.67
MINI,Petrol,97,112,10.6,2745,111,155,66.26,56.14
MINI,Petrol,208,191,13.2,2822,148,155.83,66.26,56.38
MINI,Petrol,181,177,10.6,2877,138,155.83,66.26,56.38
MINI,Petrol,181,177,10.6,2822,141,155.83,66.26,56.38
MINI,Petrol,120,118,10.6,2756,121,155,66.26,56.06
MINI,Petrol,120,118,10.6,2690,125,155,66.26,56.06
MINI,Petrol,97,112,10.6,2679,115,155,66.26,56.14
MINI,Petrol,97,112,10.6,2679,115,155,66.26,56.14
MINI,Petrol,208,191,13.2,2822,148,155.83,66.26,56.38
MINI,Petrol,181,177,10.6,2877,138,155.83,66.26,56.38
MINI,Petrol,181,177,10.6,2822,141,155.83,66.26,56.38
MINI,Petrol,120,118,10.6,2756,121,155,66.26,56.06
MINI,Petrol,120,118,10.6,2690,125,155,66.26,56.06
MINI,Petrol,97,112,10.6,2745,111,155,66.26,56.14
