Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
OPEL,Petrol,81,87,11.9,2588,106,165.83,71.85,63.19
OPEL,Petrol,109,151,11.9,2745,117,165.83,71.85,63.19
OPEL,Petrol,109,151,11.9,2842,116,165.83,71.85,63.19
OPEL,Petrol,129,169,11.9,2809,128,165.83,71.85,63.19
OPEL,Diesel,98,187,11.9,2842,112,165.83,71.85,63.19
OPEL,Diesel,98,187,11.9,2842,112,165.83,71.85,63.19
OPEL,Diesel,118,221,11.9,2908,116,165.83,71.85,63.19
OPEL,Petrol,138,184,16.4,3175,131,192.8,73.35,57.28
OPEL,Petrol,138,184,16.4,3210,132,192.8,73.35,57.28
OPEL,Petrol,164,184,16.4,3175,138,192.8,73.35,57.28
OPEL,Petrol,164,184,16.4,3245,135,192.8,73.35,57.28
OPEL,Petrol,256,295,16.4,3635,155,192.8,73.35,57.28
OPEL,Diesel,109,221,16.4,3314,127,192.8,73.35,57.28
OPEL,Diesel,134,236,16.4,3314,131,192.8,73.35,57.28
OPEL,Diesel,134,236,16.4,3355,126,192.8,73.35,57.28
OPEL,Diesel,168,295,16.4,3488,140,192.8,73.35,57.28
OPEL,Petrol,138,184,16.4,3278,129,196.3,73.35,59.06
OPEL,Petrol,138,184,16.4,3278,131,196.3,73.35,59.06
OPEL,Petrol,164,184,16.4,3278,135,196.3,73.35,59.06
OPEL,Petrol,164,184,16.4,3355,133,196.3,73.35,59.06
OPEL,Petrol,256,295,16.4,3710,152,196.3,73.35,59.06
OPEL,Diesel,168,295,16.4,3600,139,196.3,73.35,59.06
OPEL,Petrol,104,125,12.7,2840,121,185.12,73.66,59.45
OPEL,Petrol,148,169,12.7,2915,134,185.12,73.66,59.45
OPEL,Petrol,123,169,12.7,2915,127,185.12,73.66,59.45
OPEL,Petrol,123,169,12.7,2915,127,185.12,73.66,59.45
OPEL,Petrol,104,125,12.7,2840,121,185.12,73.66,59.45
OPEL,Petrol,104,125,12.7,2840,121,185.12,73.66,59.45
OPEL,Petrol,148,169,12.7,2976,131,185.12,73.66,59.45
OPEL,Petrol,197,221,12.7,3071,146,185.12,73.66,59.45
OPEL,Petrol,123,169,12.7,2915,127,185.12,73.66,59.45
OPEL,Petrol,197,221,12.7,3071,146,185.12,73.66,59.45
OPEL,Petrol,148,169,12.7,2915,134,185.12,73.66,59.45
OPEL,Diesel,158,258,12.7,3164,137,185.12,73.66,59.45
OPEL,Diesel,134,236,12.7,3093,127,185.12,73.66,59.45
OPEL,Diesel,109,221,12.7,3093,121,185.12,73.66,59.45
OPEL,Diesel,109,221,12.7,3093,121,185.12,73.66,59.45
OPEL,Diesel,109,221,12.7,3093,121,185.12,73.66,59.45
OPEL,Diesel,134,236,12.7,3093,127,185.12,73.66,59.45
OPEL,Diesel,134,236,12.7,3142,124,185.12,73.66,59.45
OPEL,Diesel,158,258,12.7,3164,137,185.12,73.66,59.45
OPEL,Petrol,197,206,15.3,3668,137,183.7,75.91,65.35
OPEL,Petrol,118,147,15.3,3649,119,183.7,75.91,65.35
OPEL,Petrol,138,162,15.3,3589,126,183.7,75.91,65.35
OPEL,Petrol,138,162,15.3,3589,122,183.7,75.91,65.35
OPEL,Petrol,138,162,15.3,3649,126,183.7,75.91,65.35
OPEL,Petrol,118,147,15.3,3589,119,183.7,75.91,65.35
OPEL,Petrol,168,191,15.3,3750,129,183.7,75.91,65.35
OPEL,Petrol,138,162,15.3,3649,122,183.7,75.91,65.35
OPEL,Petrol,197,206,15.3,3728,137,183.7,75.91,65.35
OPEL,Diesel,133,236,15.3,3807,120,183.7,75.91,65.35
OPEL,Diesel,118,236,15.3,3807,116,183.7,75.91,65.35
OPEL,Diesel,118,236,15.3,3748,116,183.7,75.91,65.35
