Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
PORSCHE,Petrol,295,280,14.3,3175,171,172.4,70.91,50.43
PORSCHE,Petrol,344,309,16.9,3153,177,172.4,70.91,50.39
PORSCHE,Petrol,344,309,16.9,3219,177,172.4,70.91,50.39
PORSCHE,Petrol,435,405,19.8,4530,180,204.69,76.26,56.22
PORSCHE,Petrol,326,331,19.8,4431,163,204.69,76.26,56.22
PORSCHE,Petrol,542,567,23.8,4795,190,204.69,76.26,56.38
PORSCHE,Petrol,344,309,16.9,3219,177,172.4,70.91,50.98
PORSCHE,Petrol,295,280,14.3,3109,171,172.4,70.91,50.98
PORSCHE,Petrol,295,280,14.3,3175,171,172.4,70.91,50.98
PORSCHE,Petrol,344,309,16.9,3153,177,172.4,70.91,50.98
PORSCHE,Petrol,435,405,19.8,4288,180,198.78,76.26,56.02
PORSCHE,Petrol,542,567,23.8,4564,190,198.78,76.26,56.18
PORSCHE,Petrol,326,331,19.8,4167,164,198.78,76.26,56.02
PORSCHE,Petrol,326,331,19.8,4244,163,198.78,76.26,56.02
PORSCHE,Diesel,415,626,19.8,4685,177,198.78,76.26,56.02
PORSCHE,Hybrid / Petrol,600,398,18.5,3602,214,182.87,76.38,45.94
PORSCHE,Hybrid / Petrol,600,398,18.5,3693,214,182.87,76.38,45.94
PORSCHE,Petrol,365,331,18,3583,180,177.13,72.91,50.79
PORSCHE,Petrol,365,331,18,3627,178,177.13,72.91,50.79
PORSCHE,Petrol,414,368,18,3649,187,177.13,72.91,50.91
PORSCHE,Petrol,414,368,16.9,3538,189,177.13,71.18,50.83
PORSCHE,Petrol,365,331,16.9,430,180,177.13,71.18,50.75
PORSCHE,Petrol,414,368,16.9,3494,190,177.13,71.18,50.83
PORSCHE,Petrol,365,331,16.9,3472,181,177.13,71.18,50.75
PORSCHE,Petrol,533,523,18,3836,199,177.44,74.02,50.94
PORSCHE,Petrol,573,553,18,3847,205,177.44,74.02,50.94
PORSCHE,Petrol,414,368,18,3605,188,177.13,72.91,50.91
PORSCHE,Petrol,444,405,16.9,3560,191,178.27,72.91,50.83
PORSCHE,Petrol,444,405,17.7,3660,190,178.27,72.91,50.91
PORSCHE,Petrol,444,405,17.7,3616,191,178.27,72.91,50.91
PORSCHE,Petrol,444,405,16.9,3516,193,178.27,72.91,50.83
PORSCHE,Petrol,365,331,18,3472,180,177.13,72.91,50.98
PORSCHE,Petrol,414,368,18,3494,188,177.13,72.91,51.1
PORSCHE,Petrol,414,368,18,3450,190,177.13,72.91,51.1
PORSCHE,Petrol,573,553,18,3693,205,177.44,74.02,51.06
PORSCHE,Petrol,365,331,18,3428,181,177.13,72.91,50.98
PORSCHE,Petrol,414,368,16.9,3384,190,177.13,71.18,51.02
PORSCHE,Petrol,365,331,16.9,3362,182,177.13,71.18,50.94
PORSCHE,Petrol,414,368,16.9,3340,191,177.13,71.18,51.02
PORSCHE,Petrol,365,331,16.9,3318,183,177.13,71.18,50.94
PORSCHE,Petrol,533,523,18,3682,199,177.44,74.02,51.06
PORSCHE,Petrol,444,405,16.9,3362,194,178.27,72.91,50.55
PORSCHE,Petrol,493,339,16.9,3280,199,179.61,72.91,50.04
PORSCHE,Petrol,444,405,17.7,3461,193,178.27,72.91,50.55
PORSCHE,Petrol,444,405,16.9,3406,193,178.27,72.91,50.55
PORSCHE,Petrol,444,405,17.7,3505,191,178.27,72.91,50.55
PORSCHE,Petrol,493,339,16.9,3318,198,179.61,72.91,50.04
PORSCHE,Petrol,365,331,18,3627,180,177.13,72.91,50.71
PORSCHE,Petrol,365,331,18,3671,178,177.13,72.91,50.71
PORSCHE,Petrol,414,368,18,3649,188,177.13,72.91,50.91
PORSCHE,Petrol,414,368,18,3693,187,177.13,72.91,50.91
PORSCHE,Petrol,444,405,17.7,3704,190,178.27,72.91,50.83
PORSCHE,Petrol,444,405,17.7,3660,191,178.27,72.91,50.83
PORSCHE,Petrol,344,287,18,3560,175,176.81,72.91,51.1
PORSCHE,Petrol,344,287,18,3605,174,176.81,72.91,51.1
PORSCHE,Petrol,395,324,18,3594,184,176.81,72.91,50.83
PORSCHE,Petrol,395,324,18,3638,183,176.81,72.91,50.83
PORSCHE,Petrol,424,324,18,3605,188,177.52,72.91,50.83
PORSCHE,Petrol,424,324,18,3649,187,177.52,72.91,50.83
PORSCHE,Petrol,271,213,16.9,3053,165,172.44,70.91,50.94
PORSCHE,Petrol,321,272,16.9,3075,176,172.44,70.91,50.98
PORSCHE,Petrol,335,280,16.9,3131,177,173.39,70.91,50.55
PORSCHE,Petrol,335,280,16.9,3197,176,173.39,70.91,50.55
PORSCHE,Petrol,271,213,16.9,3097,165,172.44,70.91,50.94
PORSCHE,Petrol,271,213,16.9,3164,164,172.44,70.91,50.94
PORSCHE,Petrol,321,272,16.9,3120,176,172.44,70.91,50.98
PORSCHE,Petrol,321,272,16.9,3186,175,172.44,70.91,50.98
PORSCHE,Petrol,335,339,17.2,4277,158,184.29,75.71,63.94
PORSCHE,Petrol,395,405,19.8,4409,165,185,75.71,63.94
PORSCHE,Petrol,355,368,18,4343,159,184.72,75.83,63.35
PORSCHE,Petrol,249,272,17.2,4068,142,184.92,75.71,63.94
PORSCHE,Diesel,254,427,15.9,4310,143,184.29,75.71,63.94
PORSCHE,Diesel,254,427,15.9,3649,143,184.29,75.71,63.94
PORSCHE,Petrol,344,287,16.9,3362,178,176.81,71.18,51.14
PORSCHE,Petrol,395,324,16.9,3395,187,176.81,71.18,50.87
PORSCHE,Petrol,395,324,18,3549,184,176.81,72.91,50.94
PORSCHE,Petrol,344,287,18,3560,174,176.81,72.91,51.18
PORSCHE,Petrol,344,287,18,3516,175,176.81,72.91,51.18
PORSCHE,Petrol,395,324,16.9,3483,186,176.81,71.18,50.87
PORSCHE,Petrol,395,324,16.9,3439,187,176.81,71.18,50.87
PORSCHE,Petrol,344,287,16.9,3230,177,176.81,71.18,51.14
