Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
RENAULT,Diesel,158,280,13.7,3347,132,191.34,73.62,57.48
RENAULT,Diesel,158,280,13.7,3560,132,191.54,73.54,57.68
RENAULT,Petrol,94,110,11.9,2551,112,167.99,68.19,58.07
RENAULT,Petrol,72,78,11.9,2515,104,167.99,68.19,58.07
RENAULT,Petrol,129,151,13.7,3153,118,173.46,73.46,65.08
RENAULT,Diesel,94,177,13.7,3153,109,173.46,73.46,65.08
RENAULT,Diesel,109,191,13.7,3153,114,173.46,73.46,65.08
RENAULT,Diesel,109,191,13.7,3309,114,173.46,73.46,65.08
RENAULT,Diesel,129,236,13.7,3395,118,173.46,73.46,65.08
RENAULT,Petrol,100,129,12.4,2846,111,182.13,71.42,57.36
RENAULT,Petrol,202,206,13.2,3318,143,182.13,71.42,57.36
RENAULT,Petrol,130,151,12.4,3084,122,182.13,71.42,57.36
RENAULT,Petrol,130,151,12.4,3084,122,182.13,71.42,57.36
RENAULT,Petrol,130,151,12.4,2851,122,182.13,71.42,57.36
RENAULT,Petrol,130,151,12.4,2851,122,182.13,71.42,57.36
RENAULT,Diesel,109,191,12.4,3086,116,182.13,71.42,57.36
RENAULT,Diesel,89,162,12.4,2921,108,182.13,71.42,57.36
RENAULT,Diesel,129,236,12.4,3239,123,182.13,71.42,57.36
RENAULT,Diesel,129,236,12.4,3239,123,182.13,71.42,57.36
RENAULT,Diesel,109,191,12.4,3086,116,182.13,71.42,57.36
RENAULT,Diesel,161,280,12.4,3508,133,182.13,71.42,57.36
RENAULT,Petrol,116,151,11.9,2403,124,159.92,68.15,57.01
RENAULT,Petrol,72,78,11.9,2335,104,159.92,68.15,57.01
RENAULT,Petrol,94,110,11.9,2385,112,159.92,68.15,57.01
RENAULT,Petrol,116,151,11.9,2403,124,159.92,68.15,57.01
RENAULT,Diesel,74,147,11.9,2403,104,159.92,68.15,57.01
RENAULT,Diesel,89,162,11.9,2403,112,159.92,68.15,57.01
RENAULT,Petrol,129,151,14,3274,117,182.44,73.46,65.16
RENAULT,Diesel,109,191,14,3377,114,182.44,73.46,65.16
RENAULT,Diesel,109,191,14,3395,114,182.44,73.46,65.16
RENAULT,Diesel,129,236,14,3530,118,182.44,73.46,65.16
