Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
SAAB,Petrol,261,222,21.1,4431,131,190.08,75,67.36
SAAB,Petrol,261,222,21.1,4431,131,190.08,75,67.36
SAAB,Petrol,296,295,21.1,4597,143,190.08,75,67.36
SAAB,Diesel,158,265,15.3,3660,137,183.86,69.37,58.98
SAAB,Diesel,129,236,15.3,3660,127,183.86,69.37,58.98
SAAB,Diesel,158,265,15.3,3715,134,183.86,69.37,58.98
SAAB,Petrol or Ethanol,217,258,18.5,3803,149,197.17,73.54,57.72
SAAB,Petrol or Ethanol,217,258,18.5,4101,143,197.17,73.54,57.32
SAAB,Petrol or Ethanol,217,258,18.5,3858,146,197.17,73.54,57.72
SAAB,Petrol or Ethanol,217,258,18.5,4045,143,197.17,73.54,57.32
SAAB,Petrol or Ethanol,217,258,18.5,3803,149,197.17,73.54,57.72
SAAB,Petrol or Ethanol,217,258,18.5,3858,146,197.17,73.54,57.72
SAAB,Petrol,217,258,18.5,4045,143,197.17,73.54,57.32
SAAB,Petrol,296,329,21.9,4189,118,189.37,75.59,68.5
SAAB,Petrol,286,275,21.9,4189,118,189.37,75.59,68.5
SAAB,Petrol,247,258,15.3,3406,152,183.07,69.29,58.66
SAAB,Petrol,207,221,15.3,3219,146,183.07,69.29,58.66
SAAB,Petrol,148,177,15.3,3164,131,183.07,69.29,58.66
SAAB,Petrol,120,123,15.3,3031,124,183.07,69.29,58.66
SAAB,Petrol,173,195,15.3,3175,140,183.07,69.29,58.66
SAAB,Petrol,173,195,15.3,3175,140,183.07,69.29,58.66
SAAB,Diesel,148,236,15.3,3329,131,183.07,69.29,58.66
SAAB,Diesel,118,206,15.3,3296,124,183.07,69.29,58.66
SAAB,Petrol,148,177,19.8,3241,134,190.39,70.55,57.01
SAAB,Petrol,182,206,19.8,3241,143,190.39,70.55,57.01
SAAB,Petrol,217,228,19.8,3252,146,190.39,70.55,57.01
SAAB,Petrol,256,258,19.8,3296,155,190.39,70.55,56.61
SAAB,Diesel,148,236,19.8,3307,127,190.39,70.55,57.01
SAAB,Petrol,173,195,16.6,3417,137,182.68,69.29,56.3
SAAB,Petrol,206,221,15.6,3472,143,182.48,69.37,56.46
SAAB,Petrol,148,177,15.6,3417,127,182.48,69.37,56.46
SAAB,Petrol,247,258,15.6,3638,152,182.48,69.37,56.46
SAAB,Petrol,173,195,15.6,3417,137,182.48,69.37,56.46
SAAB,Diesel,158,265,15.3,3858,127,182.95,69.37,56.57
SAAB,Diesel,158,265,15.3,3803,131,182.95,69.37,56.57
SAAB,Diesel,158,265,15.3,3803,131,182.95,69.37,56.57
SAAB,Diesel,158,265,15.3,3858,127,182.95,69.37,56.57
SAAB,Petrol,148,177,15.3,3075,131,182.48,69.37,57.72
SAAB,Petrol,173,195,15.3,3075,137,182.48,69.37,57.72
SAAB,Petrol,120,123,15.3,2954,124,182.48,69.37,57.72
SAAB,Petrol,206,221,15.3,3164,146,182.48,69.37,57.72
SAAB,Petrol,247,258,15.3,3318,155,182.48,69.37,57.72
SAAB,Diesel,123,206,15.3,3219,124,182.48,69.37,57.72
SAAB,Diesel,118,206,15.3,3230,124,182.48,69.37,57.72
SAAB,Diesel,148,236,15.3,3241,131,182.48,69.37,57.72
SAAB,Petrol,148,177,19.8,3274,127,189.29,70.55,58.94
SAAB,Petrol,168,206,19.8,3384,134,189.29,70.55,58.94
SAAB,Petrol,168,206,19.8,3329,134,189.29,70.55,58.94
SAAB,Petrol,227,258,19.8,3494,149,189.29,70.55,58.94
SAAB,Petrol,148,177,19.8,3329,127,189.29,70.55,58.94
SAAB,Petrol,227,258,19.8,3494,149,189.29,70.55,58.94
SAAB,Petrol,197,228,19.8,3638,143,189.29,70.55,58.94
SAAB,Petrol,197,228,19.8,3638,143,189.29,70.55,58.94
SAAB,Petrol,148,177,19.8,3329,131,189.29,70.55,58.94
SAAB,Petrol,148,177,19.8,3274,131,189.29,70.55,58.94
SAAB,Petrol,168,206,19.8,3384,137,189.29,70.55,58.94
SAAB,Petrol,168,206,19.8,3329,137,189.29,70.55,58.94
SAAB,Petrol,182,206,19.8,3781,137,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3781,127,190.08,70.55,59.09
SAAB,Petrol,182,206,19.8,3781,137,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3781,127,190.08,70.55,59.09
SAAB,Petrol,182,206,19.8,3781,137,190.08,70.55,59.09
SAAB,Petrol,247,258,18.5,3781,152,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3781,127,190.08,70.55,59.09
SAAB,Petrol,247,258,18.5,3704,152,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3704,131,190.08,70.55,59.09
SAAB,Petrol,182,206,19.8,3704,140,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3704,131,190.08,70.55,59.09
SAAB,Petrol,182,206,19.8,3704,140,190.08,70.55,59.09
SAAB,Petrol,197,228,18.5,3847,143,190.08,70.55,59.09
SAAB,Petrol,148,177,19.8,3704,131,190.08,70.55,59.09
SAAB,Petrol,197,228,18.5,3847,143,190.08,70.55,59.09
SAAB,Petrol,182,206,19.8,3704,140,190.08,70.55,59.09
SAAB,Diesel,175,258,19.8,3880,131,190.08,70.55,59.09
SAAB,Diesel,175,258,19.8,3880,131,190.08,70.55,59.09
SAAB,Diesel,175,258,19.8,3880,131,190.08,70.55,59.09
SAAB,Diesel,175,258,19.8,3880,131,190.08,70.55,59.09
SAAB,Diesel,175,258,19.8,3880,131,190.08,70.55,59.09
SAAB,Petrol,128,130,18,2811,124,182.28,67.32,56.3
SAAB,Petrol,152,161,16.9,2844,131,182.28,67.32,56.3
SAAB,Petrol,148,154,18,2888,131,182.28,67.32,56.3
SAAB,Petrol,182,193,18,2932,143,182.28,67.32,56.3
SAAB,Petrol,197,208,18,2932,146,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2866,146,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2866,146,182.28,67.32,56.3
SAAB,Petrol,222,252,16.9,3075,155,182.68,67.32,56.3
SAAB,Petrol,182,193,16.9,2855,143,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2943,146,182.28,67.32,56.3
SAAB,Petrol,148,177,16.9,2855,134,182.28,67.32,56.3
SAAB,Diesel,113,191,18,2965,124,182.28,67.32,56.3
SAAB,Petrol,128,130,18,2855,124,182.28,67.32,56.3
SAAB,Petrol,152,161,16.9,2888,131,182.28,67.32,56.3
SAAB,Petrol,148,154,18,2932,131,182.28,67.32,56.3
SAAB,Petrol,197,208,18,2976,146,182.28,67.32,56.3
SAAB,Petrol,182,193,18,2976,143,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2910,146,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2910,146,182.28,67.32,56.3
SAAB,Petrol,222,258,16.9,3120,155,182.68,67.32,56.3
SAAB,Petrol,182,193,16.9,2899,143,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,2987,146,182.28,67.32,56.3
SAAB,Petrol,148,177,16.9,2899,134,182.28,67.32,56.3
SAAB,Diesel,113,191,18,3009,124,182.28,67.32,56.3
SAAB,Petrol,128,130,18,2954,124,182.28,67.32,56.3
SAAB,Petrol,152,161,16.9,2998,131,182.28,67.32,56.3
SAAB,Petrol,148,154,18,2976,131,182.28,67.32,56.3
SAAB,Petrol,182,193,18,3020,143,182.28,67.32,56.3
SAAB,Petrol,197,208,18,3020,146,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,3009,146,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,3009,146,182.28,67.32,56.3
SAAB,Petrol,222,252,16.9,2943,152,182.68,67.32,56.3
SAAB,Petrol,182,193,16.9,3031,143,182.28,67.32,56.3
SAAB,Petrol,148,177,16.9,3031,131,182.28,67.32,56.3
SAAB,Petrol,202,206,16.9,3109,143,182.28,67.32,56.3
SAAB,Petrol,148,177,19.8,3296,134,188.98,70.47,57.09
SAAB,Petrol,168,206,19.8,3362,140,188.98,70.47,57.09
SAAB,Petrol,227,258,19.8,3362,149,188.98,70.47,57.09
SAAB,Petrol,197,228,19.8,3450,146,188.98,70.47,57.09
SAAB,Petrol,182,206,19.8,3296,140,188.98,70.47,57.09
SAAB,Petrol,227,258,19.8,3296,155,188.98,70.47,57.09
SAAB,Petrol,148,177,18.5,3241,134,190.16,70.47,58.27
SAAB,Petrol,182,206,18.5,3241,143,190.16,70.47,58.27
SAAB,Petrol,247,258,18.5,3296,155,190.16,70.47,58.27
SAAB,Petrol,197,228,18.5,3505,146,190.16,70.47,58.27
SAAB,Petrol,217,228,18.5,3252,146,190.16,70.47,58.27
SAAB,Diesel,174,258,19.8,3428,134,190.16,70.47,58.27
SAAB,Diesel,118,206,19.8,3340,124,190.16,70.47,58.27
SAAB,Petrol,168,167,18,3131,140,182.68,67.32,56.69
SAAB,Petrol,182,193,18,3042,143,182.68,67.32,56.69
SAAB,Petrol,148,154,18,3042,131,182.68,67.32,56.69
SAAB,Petrol,128,130,18,3031,124,182.68,67.32,56.69
SAAB,Petrol,148,154,18,2844,131,182.68,67.32,56.69
SAAB,Petrol,168,167,18,2932,140,182.68,67.32,56.69
SAAB,Petrol,182,193,18,3075,143,182.68,67.32,56.69
SAAB,Petrol,128,130,18,2822,124,182.68,67.32,56.69
SAAB,Petrol,168,167,18,2932,140,182.68,67.32,56.69
SAAB,Petrol,148,154,18,2877,131,182.68,67.32,56.69
SAAB,Petrol,128,130,18,2855,124,182.68,67.32,56.69
SAAB,Petrol,182,193,18,3109,143,182.68,67.32,56.69
SAAB,Petrol,128,130,17.4,3009,124,187.4,70.08,55.91
SAAB,Petrol,148,156,17.4,3009,127,187.4,70.08,55.91
SAAB,Petrol,197,243,17.4,3109,143,187.4,70.08,55.91
SAAB,Petrol,197,243,17.4,3109,143,187.4,70.08,55.91
SAAB,Petrol,145,151,17.4,3009,131,187.4,70.08,55.91
SAAB,Petrol,168,191,17.4,3031,137,187.4,70.08,55.91
SAAB,Petrol,197,238,17.4,3142,146,187.4,70.08,55.91
SAAB,Petrol,221,252,17.4,3164,149,187.4,70.08,55.91
SAAB,Petrol,208,199,17.4,3263,143,187.4,70.08,55.91
SAAB,Petrol,148,158,17.4,3009,131,187.4,70.08,55.91
SAAB,Petrol,128,127,16.4,2910,118,188.19,69.29,55.91
SAAB,Petrol,163,195,16.4,2976,131,188.19,69.29,55.91
SAAB,Petrol,148,156,17.4,2965,127,188.19,69.29,55.91
SAAB,Petrol,197,243,17.4,3064,143,188.19,71.26,55.12
SAAB,Petrol,128,130,17.4,2965,124,188.19,69.29,55.91
SAAB,Petrol,168,191,17.4,2987,137,188.19,69.29,55.91
SAAB,Petrol,145,151,17.4,2965,131,188.19,69.29,55.91
SAAB,Petrol,128,130,17.4,2965,124,188.58,70.08,55.91
SAAB,Petrol,145,151,17.4,2965,131,188.58,70.08,55.91
SAAB,Petrol,168,191,17.4,2987,137,188.58,70.08,55.91
SAAB,Petrol,197,238,17.4,3053,146,188.58,70.08,55.91
SAAB,Petrol,208,199,17.4,3208,143,188.58,70.08,55.91
SAAB,Petrol,148,158,17.4,2965,131,188.58,70.08,55.91
SAAB,Petrol,173,201,16.6,2899,131,184.25,66.93,55.12
SAAB,Petrol,158,188,16.6,2932,127,184.25,66.93,55.12
SAAB,Petrol,138,132,16.6,2879,115,184.65,66.54,55.91
SAAB,Petrol,126,127,16.6,2822,109,184.65,66.54,55.91
SAAB,Petrol,144,151,18,2822,118,184.25,66.93,55.12
SAAB,Petrol,144,151,18,2822,118,184.25,66.93,55.12
SAAB,Petrol,126,127,16.6,2822,112,184.65,66.54,55.91
SAAB,Petrol,173,200,18,2866,137,181.89,69.45,56.3
SAAB,Petrol,128,127,18,2877,118,183.86,69.29,55.91
SAAB,Petrol,128,127,16.4,2877,118,183.86,69.29,55.91
SAAB,Petrol,173,194,16.4,3020,137,181.89,71.26,55.12
SAAB,Petrol,148,156,16.4,2899,127,183.86,69.29,55.91
SAAB,Petrol,197,243,16.4,2987,143,183.86,71.26,55.12
SAAB,Petrol,197,243,16.4,2987,143,183.86,69.29,55.91
SAAB,Petrol,99,119,18,2458,103,180.31,66.54,56.69
SAAB,Petrol,99,119,15.3,2646,103,186.61,66.54,56.1
SAAB,Petrol,116,123,15.3,2646,109,186.61,66.54,56.1
SAAB,Petrol,143,173,15.3,2734,121,186.61,66.54,56.1
SAAB,Petrol,173,200,15.3,2767,127,186.61,66.54,56.1
SAAB,Petrol,173,200,15.3,2767,131,186.61,66.54,56.1
SAAB,Petrol,173,201,16.6,2767,131,186.61,66.54,55.91
SAAB,Petrol,158,188,16.6,2910,127,184.65,66.93,55.12
SAAB,Petrol,126,127,16.6,2612,109,184.25,66.54,55.91
SAAB,Petrol,138,132,16.6,2657,115,184.65,66.54,55.91
SAAB,Petrol,144,151,16.6,2734,118,184.65,66.54,55.91
SAAB,Petrol,126,127,16.6,2635,112,184.65,66.54,55.91
SAAB,Petrol,182,201,16.6,2910,137,184.65,66.93,55.12
SAAB,Petrol,109,120,15.3,2491,106,174.02,66.54,56.69
SAAB,Petrol,38,59,10,1770,79,164.17,62.01,57.52
SAAB,Petrol,64,84,10,2050,90,169.29,62.6,57.87
SAAB,Petrol,58,62,9.5,1102,125,137.4,55.98,325.2
SAAB,Petrol,60,68,15.9,1565,106,148.43,58.66,45.67
SAAB,Petrol,65,84,15.9,1698,100,149.02,57.01,45.71
SAAB,Petrol,75,93,15.9,1786,100,153.54,59.06,46.89
SAAB,Petrol,25,51,9.2,1687,62,154.33,63.78,56.3
