Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
SMART,Petrol,70,67,7.4,2072,94,106.1,65.47,61.22
SMART,Petrol,70,67,7.4,2150,94,106.1,65.47,61.22
SMART,Petrol,89,99,7.4,2116,96,106.1,65.47,61.22
SMART,Petrol,70,67,8.7,1885,90,106.1,61.38,61.61
SMART,Petrol,70,67,7.4,2150,94,137.6,65.55,61.18
SMART,Petrol,70,67,7.4,2150,94,137.6,65.55,61.18
SMART,Petrol,89,99,7.4,2260,103,137.6,65.55,61.18
SMART,Petrol,60,67,7.4,2138,94,137.6,65.55,61.18
SMART,Petrol,70,67,7.4,1940,94,106.1,65.47,61.22
SMART,Petrol,89,99,7.4,1984,96,106.1,65.47,61.22
SMART,Petrol,70,67,7.4,2061,94,106.1,65.47,61.22
SMART,Petrol,89,99,9.2,2072,96,106.1,65.47,61.22
SMART,Petrol,60,67,7.4,1951,94,106.1,65.47,61.22
SMART,Petrol,101,108,8.7,1973,96,106.1,61.38,61.22
SMART,Petrol,83,88,8.7,1929,90,106.1,61.38,61.61
SMART,Petrol,70,67,8.7,1885,90,106.1,61.38,61.61
SMART,Petrol,70,67,8.7,1885,90,106.1,61.38,61.61
SMART,Petrol,83,88,8.7,1929,90,106.1,61.38,61.61
SMART,Petrol,101,108,8.7,1973,96,106.1,61.38,61.22
SMART,Petrol,70,67,8.7,1885,90,106.1,61.38,61.61
SMART,Diesel,53,95,8.7,1929,84,106.1,61.38,61.34
SMART,Diesel,53,95,8.7,1929,84,106.1,61.38,61.34
SMART,Diesel,53,95,8.7,1929,84,106.1,61.38,61.34
SMART,Petrol,70,67,8.7,1742,90,106.3,61.42,60.63
SMART,Petrol,44,81,8.7,1764,84,106.3,61.42,60.63
SMART,Petrol,83,88,8.7,1764,90,106.3,61.42,60.63
SMART,Petrol,44,81,8.7,1698,84,106.3,61.42,60.63
SMART,Petrol,83,88,8.7,1698,90,106.3,61.42,60.63
SMART,Petrol,70,67,8.7,1653,90,106.3,61.42,60.63
SMART,Petrol,60,65,8.7,1653,90,106.3,61.42,60.63
SMART,Petrol,60,70,8.7,1797,84,98.43,60.51,60.98
SMART,Petrol,74,81,8.7,1797,93,98.43,60.51,60.98
SMART,Diesel,40,73,5.8,1797,84,98.43,60.51,60.98
SMART,Petrol,108,106,12.4,2094,118,147.64,66.14,57.09
SMART,Petrol,94,92,12.4,2083,112,147.64,66.14,57.09
SMART,Petrol,74,73,12.4,2072,103,147.64,66.14,57.09
SMART,Petrol,175,169,12.4,2403,137,147.64,66.14,57.09
SMART,Petrol,63,67,12.4,2072,98,147.64,66.14,57.09
SMART,Diesel,94,154,12.4,2337,112,147.64,66.14,57.09
SMART,Diesel,67,118,12.4,2337,99,147.64,66.14,57.09
SMART,Petrol,49,59,8.7,1775,84,98.43,59.65,60.98
SMART,Petrol,60,70,8.7,1775,84,98.43,59.65,60.98
SMART,Petrol,74,81,8.7,1775,93,98.43,59.65,60.98
SMART,Diesel,40,73,5.8,1775,84,98.43,59.65,60.98
SMART,Petrol,81,81,9.2,1742,109,135.04,63.78,46.85
SMART,Petrol,61,70,9.2,1742,99,135.04,63.78,46.85
SMART,Petrol,99,95,9.2,1834,118,135.04,63.78,46.85
SMART,Petrol,81,81,9.2,1786,112,135.04,63.78,46.85
SMART,Petrol,99,95,9.2,1878,121,135.04,63.78,46.85
SMART,Petrol,69,79,8.7,1631,84,103.15,63.78,59.45
SMART,Petrol,54,59,5.8,1609,84,98.43,60.63,60.24
SMART,Petrol,61,59,5.8,1609,84,98.43,60.63,60.24
SMART,Petrol,74,81,8.7,1631,93,98.43,60.63,61.02
SMART,Petrol,60,70,5.8,1609,84,98.43,60.63,61.02
SMART,Diesel,40,73,5.8,1609,84,98.43,60.63,61.02
SMART,Petrol,44,51,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,54,59,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,61,59,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,69,73,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,44,51,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,54,59,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,61,59,5.8,1587,84,98.43,59.84,60.24
SMART,Petrol,49,59,5.8,1587,84,98.43,59.84,61.02
SMART,Petrol,60,70,5.8,1587,84,98.43,59.84,61.02
SMART,Petrol,74,81,8.7,1609,93,98.43,59.84,61.02
SMART,Diesel,40,73,5.8,1609,84,98.43,59.84,60.24
SMART,Diesel,40,73,5.8,1609,84,98.43,59.84,61.02
