Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
VOLKSWAGEN,Petrol,177,206,14.5,3389,135,179.8,70.83,59.65
VOLKSWAGEN,Diesel,148,250,14.5,3397,129,179.8,70.83,59.65
VOLKSWAGEN,Diesel,181,280,14.5,3474,136,179.8,70.83,59.65
VOLKSWAGEN,Diesel,201,368,21.1,4691,116,209.49,76.93,72.2
VOLKSWAGEN,Diesel,221,405,21.1,4581,120,209.49,76.93,72.2
VOLKSWAGEN,Petrol,109,147,13.2,2903,122,180.55,70.83,59.65
VOLKSWAGEN,Petrol,148,184,13.2,3051,135,180.55,70.83,59.65
VOLKSWAGEN,Petrol,148,184,13.2,2998,135,180.55,70.83,59.65
VOLKSWAGEN,Petrol,123,147,13.2,2901,127,180.55,70.83,59.65
VOLKSWAGEN,Petrol,109,147,13.2,2855,122,180.55,70.83,59.65
VOLKSWAGEN,Diesel,148,250,13.2,3214,134,180.55,70.83,59.65
VOLKSWAGEN,Diesel,114,184,13.2,3034,124,180.55,70.83,59.65
VOLKSWAGEN,Diesel,148,250,13.2,3170,135,180.55,70.83,59.65
VOLKSWAGEN,Diesel,181,280,13.2,3232,144,179.8,70.83,59.65
VOLKSWAGEN,Diesel,181,280,13.2,3289,143,179.8,70.83,59.65
VOLKSWAGEN,Diesel,114,184,13.2,3075,124,180.55,70.83,59.65
VOLKSWAGEN,Petrol,276,258,17.4,3783,155,191.42,73.66,57.09
VOLKSWAGEN,Diesel,236,368,17.4,4030,152,191.42,73.66,57.09
VOLKSWAGEN,Petrol,148,184,13.2,2903,134,167.64,70.47,58.74
VOLKSWAGEN,Petrol,148,184,13.2,2853,134,167.64,70.47,58.74
VOLKSWAGEN,Petrol,296,280,14.5,3254,155,168.35,70.47,56.54
VOLKSWAGEN,Petrol,109,147,13.2,2681,122,167.64,70.47,58.74
VOLKSWAGEN,Petrol,109,147,13.2,2681,122,167.64,70.47,58.74
VOLKSWAGEN,Petrol,227,258,13.2,3056,154,167.64,70.47,58.74
VOLKSWAGEN,Petrol,123,147,13.2,2800,127,167.64,70.47,58.74
VOLKSWAGEN,Petrol,123,147,13.2,2747,127,167.64,70.47,58.74
VOLKSWAGEN,Diesel,148,250,13.2,3012,134,167.64,70.47,58.74
VOLKSWAGEN,Diesel,114,184,13.2,2868,123,167.64,70.47,58.74
VOLKSWAGEN,Diesel,181,280,13.2,3075,144,168.03,70.47,58.35
VOLKSWAGEN,Diesel,181,280,13.2,3122,143,168.03,70.47,58.35
VOLKSWAGEN,Diesel,114,184,13.2,2912,123,167.64,70.47,58.74
VOLKSWAGEN,Diesel,148,250,13.2,3067,133,167.64,70.47,58.74
VOLKSWAGEN,Petrol,217,258,14.5,3411,140,168.74,71.73,58.66
VOLKSWAGEN,Petrol,148,184,14.5,3316,123,168.74,71.73,58.66
VOLKSWAGEN,Petrol,148,184,14.5,3276,123,168.74,71.73,58.66
VOLKSWAGEN,Diesel,148,250,14.5,3463,123,168.74,71.73,58.66
VOLKSWAGEN,Diesel,148,250,14.5,3516,122,168.74,71.73,58.66
VOLKSWAGEN,Petrol,148,184,14.5,3157,125,168.82,71.85,57.99
VOLKSWAGEN,Petrol,217,258,14.5,3316,143,168.82,71.85,57.99
VOLKSWAGEN,Petrol,104,129,14.5,3075,111,168.82,71.85,57.99
VOLKSWAGEN,Petrol,104,129,14.5,3075,111,168.82,71.85,57.99
VOLKSWAGEN,Petrol,148,184,14.5,3157,125,168.82,71.85,57.99
VOLKSWAGEN,Petrol,217,258,14.5,3369,142,168.82,71.85,57.99
VOLKSWAGEN,Petrol,148,184,14.5,3201,125,168.82,71.85,57.99
VOLKSWAGEN,Petrol,148,184,14.5,3201,125,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3318,124,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3364,123,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3364,123,168.82,71.85,57.99
VOLKSWAGEN,Diesel,109,184,14.5,3272,112,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3318,124,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3364,123,168.82,71.85,57.99
VOLKSWAGEN,Diesel,109,184,14.5,3272,112,168.82,71.85,57.99
VOLKSWAGEN,Diesel,148,250,14.5,3318,124,168.82,71.85,57.99
VOLKSWAGEN,Petrol,148,184,14.5,2967,126,168.82,71.85,58.58
VOLKSWAGEN,Petrol,148,184,14.5,2967,126,168.82,71.85,58.58
VOLKSWAGEN,Petrol,148,184,14.5,3005,126,168.82,71.85,58.58
VOLKSWAGEN,Petrol,217,258,14.5,3199,144,168.82,71.85,58.58
VOLKSWAGEN,Petrol,217,258,14.5,3144,145,168.82,71.85,58.58
VOLKSWAGEN,Petrol,148,184,14.5,3005,126,168.82,71.85,58.58
VOLKSWAGEN,Petrol,104,129,14.5,2897,112,168.82,71.85,58.58
VOLKSWAGEN,Diesel,148,250,14.5,3186,124,168.82,71.85,58.58
VOLKSWAGEN,Diesel,148,250,14.5,3133,126,168.82,71.85,58.58
VOLKSWAGEN,Diesel,148,250,14.5,3133,126,168.82,71.85,58.58
VOLKSWAGEN,Diesel,148,250,14.5,3186,124,168.82,71.85,58.58
VOLKSWAGEN,Diesel,109,184,14.5,3075,113,168.82,71.85,58.58
VOLKSWAGEN,Petrol,74,70,9.2,2072,107,141.73,64.61,59.21
VOLKSWAGEN,Petrol,59,70,9.2,2041,101,141.73,64.61,59.21
VOLKSWAGEN,Petrol,59,70,2.6,2277,103,141.73,64.61,59.21
VOLKSWAGEN,Petrol,89,118,9.2,2209,115,141.73,64.61,59.21
VOLKSWAGEN,Petrol,59,70,9.2,2059,101,141.73,64.61,59.21
VOLKSWAGEN,Petrol,74,70,9.2,2064,107,141.73,64.61,59.21
VOLKSWAGEN,Petrol,59,70,9.2,2072,101,141.73,64.61,59.21
VOLKSWAGEN,Petrol,74,70,9.2,2064,108,141.73,64.61,59.21
VOLKSWAGEN,Petrol,217,258,14.5,3283,140,168.74,71.73,59.13
VOLKSWAGEN,Petrol,217,258,14.5,3228,142,168.74,71.73,59.13
VOLKSWAGEN,Petrol,148,184,14.5,3075,124,168.74,71.73,59.13
VOLKSWAGEN,Petrol,148,184,14.5,3042,124,168.74,71.73,59.13
VOLKSWAGEN,Diesel,148,250,14.5,3316,123,168.74,71.73,59.13
VOLKSWAGEN,Diesel,148,250,14.5,3263,124,168.74,71.73,59.13
VOLKSWAGEN,Petrol,177,236,15.9,3627,129,176.61,72.4,64.69
VOLKSWAGEN,Diesel,148,250,15.3,3457,127,176.61,72.4,64.25
VOLKSWAGEN,Diesel,148,250,15.9,3688,124,176.61,72.4,64.69
VOLKSWAGEN,Petrol,123,162,14.5,3190,115,191.97,70.63,72.09
VOLKSWAGEN,Diesel,101,184,14.5,3349,107,191.97,70.63,72.09
VOLKSWAGEN,Diesel,101,184,14.5,3426,106,191.97,70.63,72.09
VOLKSWAGEN,Diesel,120,221,14.5,3594,111,191.97,70.63,73.31
VOLKSWAGEN,Diesel,148,250,14.5,3389,121,191.97,70.63,72.09
VOLKSWAGEN,Diesel,148,250,14.5,3435,119,191.97,70.63,72.09
VOLKSWAGEN,Diesel,148,250,14.5,3635,117,191.97,70.63,73.31
VOLKSWAGEN,Petrol,177,206,14.5,3395,135,184.21,70.83,59.65
VOLKSWAGEN,Diesel,109,184,14.5,3404,116,184.21,70.83,59.65
VOLKSWAGEN,Diesel,148,250,14.5,3428,129,184.21,70.83,59.65
VOLKSWAGEN,Diesel,181,280,14.5,3492,136,184.21,70.83,59.65
VOLKSWAGEN,Diesel,148,250,18.5,3953,123,191.1,74.96,67.72
VOLKSWAGEN,Diesel,148,250,18.5,3907,124,191.1,74.96,67.72
VOLKSWAGEN,Diesel,114,206,18.5,3907,114,191.1,74.96,67.72
VOLKSWAGEN,Petrol,123,162,14.5,3058,115,173.43,70.63,71.73
VOLKSWAGEN,Diesel,148,250,14.5,3303,119,173.43,70.63,71.73
VOLKSWAGEN,Diesel,148,250,14.5,3256,121,173.43,70.63,71.73
VOLKSWAGEN,Diesel,101,184,14.5,3289,106,173.43,70.63,71.73
VOLKSWAGEN,Diesel,101,184,14.5,3212,107,173.43,70.63,71.73
VOLKSWAGEN,Diesel,148,250,14.5,3505,117,173.43,70.63,72.68
VOLKSWAGEN,Petrol,89,118,11.9,2568,110,156.97,66.85,58.58
VOLKSWAGEN,Petrol,89,118,11.9,2568,110,156.97,66.85,58.58
VOLKSWAGEN,Diesel,89,169,11.9,2674,110,156.97,66.85,58.58
VOLKSWAGEN,Diesel,89,169,11.9,2674,110,156.97,66.85,58.58
VOLKSWAGEN,Petrol,217,258,17.4,3697,144,188.07,72.13,60.24
VOLKSWAGEN,Diesel,148,250,17.4,3682,127,188.07,72.13,60.24
VOLKSWAGEN,Diesel,187,295,17.4,3759,137,188.07,72.13,60.24
VOLKSWAGEN,Diesel,236,368,17.4,3915,145,188.07,72.13,60.24
VOLKSWAGEN,Diesel,101,184,18.5,4711,98,193.07,74.96,77.56
VOLKSWAGEN,Diesel,201,331,18.5,5430,124,193.07,74.96,77.56
VOLKSWAGEN,Diesel,201,331,18.5,5181,126,193.07,74.96,77.56
VOLKSWAGEN,Diesel,148,250,18.5,5119,113,193.07,74.96,77.56
VOLKSWAGEN,Diesel,148,250,18.5,4777,113,193.07,74.96,77.56
VOLKSWAGEN,Diesel,101,184,18.5,3962,98,193.07,74.96,77.56
VOLKSWAGEN,Diesel,148,250,18.5,4777,113,193.07,74.96,77.56
VOLKSWAGEN,Diesel,201,331,18.5,4414,126,208.82,74.96,78.35
VOLKSWAGEN,Diesel,201,331,18.5,4363,126,208.82,74.96,78.35
VOLKSWAGEN,Diesel,148,250,18.5,4548,111,208.82,74.96,78.35
VOLKSWAGEN,Diesel,148,250,18.5,4308,112,208.82,74.96,78.35
VOLKSWAGEN,Diesel,148,250,18.5,4255,113,208.82,74.96,78.35
VOLKSWAGEN,Diesel,201,331,18.5,4641,124,208.82,74.96,78.35
VOLKSWAGEN,Petrol,148,184,13.2,3106,132,170.79,71.14,62.13
VOLKSWAGEN,Petrol,123,147,13.2,3049,124,170.79,71.14,62.13
VOLKSWAGEN,Petrol,123,147,13.2,3003,124,170.79,71.14,62.13
VOLKSWAGEN,Petrol,85,118,13.2,2926,110,170.79,71.14,62.13
VOLKSWAGEN,Petrol,148,184,13.2,3067,132,170.79,71.14,62.13
VOLKSWAGEN,Petrol,109,129,13.2,2919,119,170.79,71.14,62.13
VOLKSWAGEN,Petrol,114,147,13.2,2908,123,170.79,71.14,61.54
VOLKSWAGEN,Petrol,123,147,13.2,3003,124,170.79,71.14,62.13
VOLKSWAGEN,Petrol,109,129,13.2,2919,119,170.79,71.14,62.13
