Model,Fuel type ,Drive wheels - Traction - Drivetrain ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
AUDI,Petrol,AWD,249,272,15.3,3935,155,183.98,72.68,54.45
AUDI,Petrol,AWD,349,368,15.3,4222,155,184.72,72.68,54.41
AUDI,Diesel,AWD,187,295,15.3,4057,145,183.98,72.68,54.45
AUDI,Diesel,AWD,215,295,15.3,4178,150,183.98,72.68,54.45
AUDI,Petrol,AWD,349,368,18.5,4288,155,183.9,74.53,64.37
AUDI,Petrol,AWD,249,272,18.5,3957,147,183.58,74.53,65.31
AUDI,Diesel,AWD,161,295,17.2,4068,131,183.58,74.53,65.31
AUDI,Diesel,AWD,187,295,17.2,4068,135,183.58,74.53,65.31
AUDI,Petrol,AWD,187,236,14.5,3594,150,174.13,70.59,55.47
AUDI,Petrol,AWD,306,280,14.5,3770,155,174.57,70.59,54.65
AUDI,Diesel,AWD,148,250,14.5,3560,137,174.13,70.59,55.47
AUDI,Petrol,AWD,533,398,21.9,3957,198,174.25,76.38,49.02
AUDI,Petrol,AWD,187,236,14.5,3230,150,175.51,70.71,55.75
AUDI,Petrol,AWD,306,280,14.5,3406,155,175.83,70.71,54.8
AUDI,Petrol,AWD,395,354,14.5,3505,155,176.34,70.94,55
AUDI,Diesel,AWD,148,250,14.5,3241,137,175.51,70.71,55.75
AUDI,Petrol,AWD,249,272,15.3,3549,155,186.34,72.56,54.57
AUDI,Petrol,AWD,349,368,15.3,3825,155,187.09,72.56,54.49
AUDI,Diesel,AWD,187,295,15.3,3693,146,186.34,72.56,54.57
AUDI,Diesel,AWD,215,295,15.3,3781,152,186.34,72.56,54.57
AUDI,Diesel,AWD,268,442,15.3,3869,146,186.34,72.56,54.57
AUDI,Petrol,AWD,249,272,15.3,3472,155,183.98,72.68,53.98
AUDI,Diesel,AWD,215,295,15.3,3704,155,183.98,72.68,53.98
AUDI,Diesel,AWD,268,442,15.3,3792,155,183.98,72.68,53.98
AUDI,Diesel,AWD,148,250,14.5,3417,131,165,70.63,59.37
AUDI,Diesel,AWD,187,295,14.5,3428,135,165,70.63,59.37
AUDI,Petrol,AWD,187,236,14.5,3153,147,166.97,69.96,56.06
AUDI,Diesel,AWD,148,250,14.5,3164,133,166.97,69.96,56.06
AUDI,Diesel,AWD,181,280,14.5,3241,143,166.97,69.96,56.06
