Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
CHRYSLER,Diesel,161,265,20.1,4630,115,202.48,76.93,68.9
CHRYSLER,Diesel,161,265,20.1,4630,115,202.48,76.93,68.9
CHRYSLER,Diesel,161,265,20.1,4630,115,202.48,76.93,68.9
CHRYSLER,Diesel,138,228,16.9,3605,126,190.94,72.56,58.94
CHRYSLER,Diesel,138,228,16.9,3605,126,190.94,72.56,58.94
CHRYSLER,Diesel,138,228,16.9,4079,121,194.09,72.56,58.35
CHRYSLER,Petrol,246,250,18,4105,136,197.44,74.06,58.31
CHRYSLER,Petrol,335,387,18.8,4310,155,197.44,74.06,58.31
CHRYSLER,Petrol,190,189,18,4083,130,197.44,74.06,58.31
CHRYSLER,Diesel,215,376,18.8,4310,141,197.44,74.06,58.31
CHRYSLER,Diesel,215,376,19,4288,141,197.44,74.02,58.07
CHRYSLER,Petrol,215,228,15.9,3139,150,159.8,69.53,51.02
CHRYSLER,Petrol,215,228,15.9,3139,150,159.8,69.53,51.02
CHRYSLER,Petrol,215,228,15.9,3175,150,159.8,69.53,51.02
CHRYSLER,Petrol,329,309,15.9,3327,158,159.8,69.53,51.02
CHRYSLER,Petrol,190,189,18,3990,130,196.81,74.06,58.39
CHRYSLER,Petrol,246,250,18,4015,136,196.81,74.06,58.39
CHRYSLER,Petrol,335,387,18.8,4222,155,196.81,74.06,58.39
CHRYSLER,Petrol,425,419,19,4328,168,196.81,74.06,57.91
CHRYSLER,Diesel,215,376,18.8,4251,143,196.81,74.06,58.39
CHRYSLER,Diesel,215,376,19,4211,143,197.44,74.02,58.07
CHRYSLER,Diesel,215,376,19,4211,143,197.44,74.02,58.07
CHRYSLER,Diesel,215,376,19,4211,143,197.44,74.02,58.07
CHRYSLER,Petrol,215,228,15.9,3060,150,159.8,69.53,51.38
CHRYSLER,Petrol,215,228,15.9,3084,150,159.8,69.53,51.38
CHRYSLER,Petrol,329,309,15.9,3239,158,159.8,69.53,51.38
CHRYSLER,Petrol,215,228,15.9,3060,150,159.8,69.53,51.38
CHRYSLER,Petrol,131,130,12.4,2789,124,172.83,67.52,55.94
CHRYSLER,Petrol,131,130,12.4,2921,121,172.83,67.52,55.94
CHRYSLER,Petrol,131,130,12.4,2789,124,172.83,67.52,55.94
CHRYSLER,Petrol,114,115,12.4,2701,115,172.83,67.52,55.94
CHRYSLER,Petrol,114,115,12.4,2701,115,172.83,67.52,55.94
CHRYSLER,Petrol,114,115,12.4,2701,115,172.83,67.52,55.94
CHRYSLER,Petrol,150,134,12.4,2921,132,172.83,67.52,55.94
CHRYSLER,Petrol,131,130,12.4,2789,124,172.83,67.52,55.94
CHRYSLER,Petrol,201,189,16.9,3627,131,196.85,75.59,55.75
CHRYSLER,Petrol,249,250,16.9,3660,143,196.85,75.59,55.75
