Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
DODGE,Diesel,138,228,20.6,4101,118,192.44,73.94,66.57
DODGE,Diesel,138,228,20.6,4178,118,192.44,73.94,66.57
DODGE,Diesel,138,228,20.6,4178,118,192.44,73.94,66.57
DODGE,Diesel,138,228,20.6,4200,113,192.44,73.94,66.57
DODGE,Diesel,138,228,20.6,4200,113,192.44,73.94,66.57
DODGE,Petrol,154,140,16.9,3263,124,190.94,72.56,58.94
DODGE,Diesel,138,228,16.9,3439,124,190.94,72.56,58.94
DODGE,Diesel,138,228,16.9,3439,124,190.94,72.56,58.94
DODGE,Diesel,138,228,16.9,3439,124,190.94,72.56,58.94
DODGE,Diesel,138,228,16.9,3439,124,190.94,72.56,58.94
DODGE,Petrol,600,559,18.5,3450,202,175.59,75.2,47.6
DODGE,Petrol,256,265,19.5,4299,126,180.47,73.07,69.8
DODGE,Diesel,175,302,18.5,4255,112,180.47,73.07,69.8
DODGE,Diesel,175,339,18.5,4442,113,180.47,73.07,69.8
DODGE,Diesel,175,302,18.5,4255,112,180.47,73.07,69.8
DODGE,Diesel,175,339,18.5,4442,113,180.47,73.07,69.8
DODGE,Diesel,175,339,18.5,4442,113,180.47,73.07,69.8
DODGE,Diesel,175,302,18.5,4255,112,180.47,73.07,69.8
DODGE,Diesel,175,302,18.5,4255,112,180.47,73.07,69.8
DODGE,Diesel,175,339,18.5,4442,113,180.47,73.07,69.8
DODGE,Petrol,148,123,13.5,2855,106,173.82,70.87,60.43
DODGE,Petrol,154,140,13.5,2943,116,173.82,70.87,60.43
DODGE,Diesel,138,228,13.5,3086,122,173.82,70.87,60.43
DODGE,Petrol,499,525,18.5,3450,190,175.55,75.24,47.64
DODGE,Petrol,400,449,21.9,3206,160,172.01,75.59,46.18
DODGE,Petrol,450,489,19,3375,177,176.69,75.71,47.01
