Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
ROVER,Diesel,111,177,14.5,2877,115,171.65,66.93,54.72
ROVER,Diesel,111,177,14.5,2877,115,171.65,66.93,54.72
ROVER,Petrol,102,90,13.2,2238,108,156.69,66.54,59.06
ROVER,Petrol,102,90,13.2,2238,108,156.69,66.54,59.06
ROVER,Petrol,113,118,13.2,2326,111,156.69,66.54,59.06
ROVER,Petrol,113,118,13.2,2326,111,156.69,66.54,59.06
ROVER,Petrol,107,101,13.2,2249,115,156.69,66.54,59.06
ROVER,Petrol,107,101,13.2,2249,115,156.69,66.54,59.06
ROVER,Diesel,100,177,13.2,2469,111,156.69,66.54,59.06
ROVER,Diesel,100,177,13.2,2469,111,156.69,66.54,59.06
ROVER,Petrol,102,90,13.2,2249,115,157.09,66.54,55.91
ROVER,Petrol,102,90,13.2,2249,115,157.09,66.54,55.91
ROVER,Petrol,143,128,13.2,2403,127,157.09,66.54,55.91
ROVER,Petrol,143,128,13.2,2403,127,157.09,66.54,55.91
ROVER,Petrol,113,118,13.2,2337,115,157.09,66.54,55.91
ROVER,Petrol,113,118,13.2,2337,115,157.09,66.54,55.91
ROVER,Petrol,107,101,13.2,2271,118,157.09,66.54,55.91
ROVER,Petrol,107,101,13.2,2271,118,157.09,66.54,55.91
ROVER,Diesel,99,177,13.2,2491,115,157.09,66.54,55.91
ROVER,Diesel,99,177,13.2,2491,115,157.09,66.54,55.91
ROVER,Diesel,111,177,13.2,2491,115,157.09,66.54,55.91
ROVER,Diesel,111,177,13.2,2491,115,157.09,66.54,55.91
ROVER,Petrol,175,177,17.2,3186,134,187.01,70.08,56.3
ROVER,Petrol,175,177,17.2,3186,134,187.01,70.08,56.3
ROVER,Petrol,148,136,17.2,3186,131,187.01,70.08,56.3
ROVER,Petrol,148,136,17.2,3186,131,187.01,70.08,56.3
ROVER,Petrol,118,118,17.2,3031,121,187.01,70.08,56.3
ROVER,Petrol,118,118,17.2,3031,121,187.01,70.08,56.3
ROVER,Petrol,148,158,17.2,3053,131,187.01,70.08,56.3
ROVER,Petrol,148,158,17.2,3053,131,187.01,70.08,56.3
ROVER,Petrol,256,302,17.2,3649,151,187.01,70.08,54.72
ROVER,Petrol,256,302,17.2,3649,151,187.01,70.08,54.72
ROVER,Diesel,114,191,17.2,3274,120,187.01,70.08,56.3
ROVER,Diesel,114,191,17.2,3274,120,187.01,70.08,56.3
ROVER,Diesel,129,221,17.2,3274,120,187.01,70.08,56.3
ROVER,Diesel,129,221,17.2,3274,120,187.01,70.08,56.3
ROVER,Petrol,110,106,14.5,2381,118,176.77,66.93,54.72
ROVER,Petrol,110,106,14.5,2381,118,176.77,66.93,54.72
ROVER,Petrol,134,136,14.5,2624,124,176.77,66.93,54.72
ROVER,Petrol,134,136,14.5,2624,124,176.77,66.93,54.72
ROVER,Petrol,102,93,14.5,2370,115,176.77,66.93,54.72
ROVER,Petrol,102,93,14.5,2370,115,176.77,66.93,54.72
ROVER,Petrol,107,101,14.5,2601,118,171.65,66.93,54.72
ROVER,Petrol,107,101,14.5,2601,118,171.65,66.93,54.72
ROVER,Petrol,102,90,14.5,2601,115,171.65,66.93,54.72
ROVER,Petrol,102,90,14.5,2601,115,171.65,66.93,54.72
ROVER,Petrol,148,136,14.5,2954,126,171.65,66.93,54.72
ROVER,Petrol,148,136,14.5,2954,126,171.65,66.93,54.72
ROVER,Petrol,115,118,14.5,2712,120,171.65,66.93,54.72
ROVER,Petrol,115,118,14.5,2712,120,171.65,66.93,54.72
ROVER,Diesel,85,125,14.5,2601,104,176.77,66.93,54.72
ROVER,Diesel,85,125,14.5,2601,104,176.77,66.93,54.72
ROVER,Diesel,104,154,14.5,2601,115,176.77,66.93,54.72
ROVER,Diesel,104,154,14.5,2601,115,176.77,66.93,54.72
ROVER,Petrol,142,128,13.2,2231,127,156.3,66.54,55.91
ROVER,Petrol,142,128,13.2,2231,127,156.3,66.54,55.91
ROVER,Petrol,102,93,13.2,2123,115,156.3,66.54,55.91
ROVER,Petrol,102,93,13.2,2123,115,156.3,66.54,55.91
ROVER,Petrol,74,86,13.2,2123,103,156.3,66.54,55.91
ROVER,Petrol,74,86,13.2,2123,103,156.3,66.54,55.91
ROVER,Petrol,143,128,13.2,2359,127,156.3,66.54,55.12
ROVER,Petrol,143,128,13.2,2359,127,156.3,66.54,55.12
ROVER,Petrol,110,106,13.2,2205,118,156.3,66.54,55.91
ROVER,Petrol,110,106,13.2,2205,118,156.3,66.54,55.91
ROVER,Diesel,85,125,13.2,2388,106,156.3,66.54,55.91
ROVER,Diesel,85,125,13.2,2388,106,156.3,66.54,55.91
ROVER,Diesel,104,154,13.2,2388,115,156.3,66.54,55.91
ROVER,Diesel,104,154,13.2,2388,115,156.3,66.54,55.91
ROVER,Petrol,59,66,9.2,1907,96,140.16,61.42,54.33
ROVER,Petrol,59,66,9.2,1907,96,140.16,61.42,54.33
ROVER,Petrol,110,101,14.5,2403,118,172.05,66.14,55.12
ROVER,Petrol,110,101,14.5,2403,118,172.05,66.14,55.12
ROVER,Petrol,109,97,14.5,2370,118,172.05,66.14,55.12
ROVER,Petrol,109,97,14.5,2370,118,172.05,66.14,55.12
ROVER,Diesel,87,132,14.5,2403,112,172.05,66.14,55.12
ROVER,Diesel,87,132,14.5,2403,112,172.05,66.14,55.12
ROVER,Petrol,197,174,14.5,2612,145,166.14,66.14,54.72
ROVER,Petrol,197,174,14.5,2612,145,166.14,66.14,54.72
ROVER,Petrol,120,103,14.5,2392,121,168.11,66.14,53.94
ROVER,Petrol,120,103,14.5,2392,121,168.11,66.14,53.94
ROVER,Petrol,134,136,14.5,2529,127,168.11,66.14,53.94
ROVER,Petrol,134,136,14.5,2529,127,168.11,66.14,53.94
ROVER,Petrol,114,126,17.2,2674,122,182.68,67.72,54.33
ROVER,Petrol,114,126,17.2,2674,122,182.68,67.72,54.33
ROVER,Petrol,130,131,17.2,2756,124,182.68,67.72,54.33
ROVER,Petrol,130,131,17.2,2756,124,182.68,67.72,54.33
ROVER,Petrol,156,151,17.2,2829,134,182.68,67.72,54.33
ROVER,Petrol,156,151,17.2,2829,134,182.68,67.72,54.33
ROVER,Petrol,114,116,17.2,2701,121,182.68,67.72,54.33
ROVER,Petrol,114,116,17.2,2701,121,182.68,67.72,54.33
ROVER,Diesel,104,154,17.2,2866,115,182.68,67.72,54.33
ROVER,Diesel,104,154,17.2,2866,115,182.68,67.72,54.33
ROVER,Petrol,168,165,18,3263,133,192.13,68.11,54.72
ROVER,Petrol,168,165,18,3263,133,192.13,68.11,54.72
ROVER,Petrol,168,165,18,3263,131,192.13,68.11,54.72
ROVER,Petrol,168,165,18,3263,131,192.13,68.11,54.72
ROVER,Petrol,102,93,14.5,2361,109,166.14,66.14,54.72
ROVER,Petrol,102,93,14.5,2361,109,166.14,66.14,54.72
ROVER,Petrol,120,101,14.5,2452,120,166.14,66.14,54.72
ROVER,Petrol,120,101,14.5,2452,120,166.14,66.14,54.72
ROVER,Petrol,167,165,18,3060,133,192.13,68.11,54.72
ROVER,Petrol,167,165,18,3060,133,192.13,68.11,54.72
ROVER,Petrol,178,159,18,2992,140,192.13,68.11,54.72
ROVER,Petrol,178,159,18,2992,140,192.13,68.11,54.72
ROVER,Petrol,134,136,18,2932,126,192.13,68.11,54.72
ROVER,Petrol,134,136,18,2932,126,192.13,68.11,54.72
ROVER,Petrol,173,177,18,2945,131,192.13,68.11,54.72
ROVER,Petrol,173,177,18,2945,131,192.13,68.11,54.72
ROVER,Diesel,116,197,18,3102,118,192.13,68.11,54.72
ROVER,Diesel,116,197,18,3102,118,192.13,68.11,54.72
ROVER,Petrol,62,70,9,1400,92,120.08,56.69,53.15
ROVER,Petrol,62,70,9,1400,92,120.08,56.69,53.15
ROVER,Petrol,52,67,9,1367,89,120.08,56.69,53.15
ROVER,Petrol,52,67,9,1367,89,120.08,56.69,53.15
ROVER,Petrol,110,101,14.5,2366,118,172.05,66.14,55.12
ROVER,Petrol,110,101,14.5,2366,118,172.05,66.14,55.12
ROVER,Petrol,91,89,14.5,2247,105,172.05,66.14,55.12
ROVER,Petrol,91,89,14.5,2247,105,172.05,66.14,55.12
ROVER,Petrol,134,136,14.5,2524,127,172.05,66.14,55.12
ROVER,Petrol,134,136,14.5,2524,127,172.05,66.14,55.12
ROVER,Petrol,102,93,14.5,2247,109,172.05,66.14,55.12
ROVER,Petrol,102,93,14.5,2247,109,172.05,66.14,55.12
ROVER,Petrol,110,101,14.5,2366,118,172.05,66.14,55.12
ROVER,Petrol,110,101,14.5,2366,118,172.05,66.14,55.12
ROVER,Diesel,87,132,14.5,2535,106,172.05,66.14,55.12
ROVER,Diesel,87,132,14.5,2535,106,172.05,66.14,55.12
ROVER,Petrol,120,103,14.5,2447,122,166.14,66.14,55.12
ROVER,Petrol,120,103,14.5,2447,122,166.14,66.14,55.12
ROVER,Petrol,91,89,14.5,2216,105,166.14,66.14,55.12
ROVER,Petrol,91,89,14.5,2216,105,166.14,66.14,55.12
ROVER,Petrol,134,136,14.5,2529,127,166.14,66.14,55.12
ROVER,Petrol,134,136,14.5,2529,127,166.14,66.14,55.12
ROVER,Petrol,74,86,14.5,2163,103,166.14,66.14,55.12
ROVER,Petrol,74,86,14.5,2163,103,166.14,66.14,55.12
ROVER,Petrol,102,93,14.5,2205,109,166.14,66.14,55.12
ROVER,Petrol,102,93,14.5,2205,109,166.14,66.14,55.12
ROVER,Petrol,134,136,14.5,2529,127,166.14,66.14,55.12
ROVER,Petrol,134,136,14.5,2529,127,166.14,66.14,55.12
ROVER,Petrol,101,131,13.2,2469,109,175.98,67.32,60.63
ROVER,Petrol,101,131,13.2,2469,109,175.98,67.32,60.63
ROVER,Petrol,101,131,13.2,2469,109,175.98,67.32,60.63
ROVER,Petrol,101,131,13.2,2469,109,175.98,67.32,60.63
ROVER,Diesel,81,116,13.2,2639,99,175.98,67.32,60.63
ROVER,Diesel,81,116,13.2,2639,99,175.98,67.32,60.63
ROVER,Petrol,110,101,14.5,2447,118,166.14,66.14,55.12
ROVER,Petrol,110,101,14.5,2447,118,166.14,66.14,55.12
ROVER,Petrol,91,89,14.5,2304,105,166.14,66.14,55.12
ROVER,Petrol,91,89,14.5,2304,105,166.14,66.14,55.12
ROVER,Petrol,102,93,14.5,2348,109,166.14,66.14,55.12
ROVER,Petrol,102,93,14.5,2348,109,166.14,66.14,55.12
ROVER,Petrol,74,86,14.5,2207,103,166.14,66.14,55.12
ROVER,Petrol,74,86,14.5,2207,103,166.14,66.14,55.12
ROVER,Diesel,87,132,14.5,2617,106,166.14,66.14,55.12
ROVER,Diesel,87,132,14.5,2617,106,166.14,66.14,55.12
ROVER,Petrol,59,66,9.2,1777,96,138.58,61.42,54.33
ROVER,Petrol,59,66,9.2,1777,96,138.58,61.42,54.33
ROVER,Petrol,89,88,9.2,1894,114,138.58,61.42,54.33
ROVER,Petrol,89,88,9.2,1894,114,138.58,61.42,54.33
ROVER,Petrol,74,86,9.2,1825,106,138.58,61.42,54.33
ROVER,Petrol,74,86,9.2,1825,106,138.58,61.42,54.33
ROVER,Petrol,102,93,9.2,1907,118,138.58,61.42,54.33
ROVER,Petrol,102,93,9.2,1907,118,138.58,61.42,54.33
ROVER,Petrol,75,86,9.2,1825,106,138.58,61.42,54.33
ROVER,Petrol,75,86,9.2,1825,106,138.58,61.42,54.33
ROVER,Petrol,59,66,9.2,1777,96,140.16,61.42,54.33
ROVER,Petrol,59,66,9.2,1777,96,140.16,61.42,54.33
ROVER,Petrol,74,86,9.2,1825,106,140.16,61.42,54.33
ROVER,Petrol,74,86,9.2,1825,106,140.16,61.42,54.33
ROVER,Diesel,37,61,9.2,1808,90,138.58,61.42,54.33
ROVER,Diesel,37,61,9.2,1808,90,138.58,61.42,54.33
ROVER,Petrol,167,165,18,2998,134,184.65,67.72,55.12
ROVER,Petrol,167,165,18,2998,134,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Petrol,118,119,18,2866,120,184.65,67.72,55.12
ROVER,Petrol,118,119,18,2866,120,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Diesel,116,197,18,3142,120,184.65,67.72,55.12
ROVER,Diesel,116,197,18,3142,120,184.65,67.72,55.12
ROVER,Petrol,171,160,18,2906,133,184.65,67.72,55.12
ROVER,Petrol,171,160,18,2906,133,184.65,67.72,55.12
ROVER,Petrol,138,131,18,2798,126,184.65,67.72,55.12
ROVER,Petrol,138,131,18,2798,126,184.65,67.72,55.12
ROVER,Petrol,167,165,18,2976,132,184.65,67.72,55.12
ROVER,Petrol,167,165,18,2976,132,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Petrol,131,131,18,2866,124,184.65,67.72,55.12
ROVER,Petrol,118,119,18,2844,119,184.65,67.72,55.12
ROVER,Petrol,118,119,18,2844,119,184.65,67.72,55.12
ROVER,Petrol,101,101,12.2,2083,108,163.78,63.78,54.33
ROVER,Petrol,101,101,12.2,2083,108,163.78,63.78,54.33
ROVER,Petrol,85,97,12.2,2083,102,163.78,63.78,54.33
ROVER,Petrol,85,97,12.2,2083,102,163.78,63.78,54.33
ROVER,Petrol,70,77,12.2,1918,96,163.78,63.78,54.33
ROVER,Petrol,70,77,12.2,1918,96,163.78,63.78,54.33
ROVER,Petrol,153,197,17.7,2998,124,184.96,69.61,54.53
ROVER,Petrol,153,197,17.7,2998,124,184.96,69.61,54.53
ROVER,Petrol,116,120,17.7,2910,112,184.96,69.61,54.53
ROVER,Petrol,116,120,17.7,2910,112,184.96,69.61,54.53
ROVER,Petrol,136,151,17.7,3212,117,184.96,69.61,54.53
ROVER,Petrol,136,151,17.7,3212,117,184.96,69.61,54.53
ROVER,Petrol,99,120,17.7,2800,104,184.96,69.61,54.53
ROVER,Petrol,99,120,17.7,2800,104,184.96,69.61,54.53
ROVER,Petrol,190,219,17.7,3142,130,184.96,69.61,54.49
ROVER,Petrol,190,219,17.7,3142,130,184.96,69.61,54.49
ROVER,Diesel,90,142,17.7,3252,103,184.96,69.61,54.53
ROVER,Diesel,90,142,17.7,3252,103,184.96,69.61,54.53
