Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
HYUNDAI,Petrol,138,178,13.2,2899,127,170.87,70.67,57.28
HYUNDAI,Petrol,138,178,13.2,2820,129,170.87,70.67,57.09
HYUNDAI,Petrol,138,178,13.2,2820,131,170.87,70.67,57.28
HYUNDAI,Petrol,118,126,13.2,2798,116,170.87,70.67,57.09
HYUNDAI,Petrol,118,126,13.2,2798,118,170.87,70.67,57.28
HYUNDAI,Petrol,99,98,13.2,2743,114,170.87,70.67,57.28
HYUNDAI,Diesel,134,221,13.2,3016,124,170.87,70.67,57.28
HYUNDAI,Diesel,134,206,13.2,2950,124,170.87,70.67,57.28
HYUNDAI,Diesel,109,206,13.2,3016,118,170.87,70.67,57.28
HYUNDAI,Diesel,109,206,13.2,2950,117,170.87,70.67,57.09
HYUNDAI,Diesel,109,206,13.2,2950,118,170.87,70.67,57.28
HYUNDAI,Diesel,94,206,13.2,2950,116,170.87,70.67,57.28
HYUNDAI,Petrol,126,114,13.2,2690,124,179.92,70.87,57.09
HYUNDAI,Diesel,134,191,13.2,2899,118,179.92,70.87,57.09
HYUNDAI,Diesel,134,221,13.2,2965,118,179.92,70.87,57.09
HYUNDAI,Petrol,130,118,16.4,3206,113,176.18,72.83,64.76
HYUNDAI,Petrol,130,118,16.4,3206,113,176.18,72.83,64.76
HYUNDAI,Petrol,130,118,16.4,3206,113,176.18,72.83,64.76
HYUNDAI,Petrol,175,195,16.4,3547,125,176.18,72.83,64.76
HYUNDAI,Diesel,181,295,16.4,3726,125,176.18,72.83,64.76
HYUNDAI,Diesel,134,275,16.4,3664,114,176.18,72.83,64.76
HYUNDAI,Diesel,134,275,16.4,3726,114,176.18,72.83,64.76
HYUNDAI,Diesel,134,275,16.4,3664,114,176.18,72.83,64.76
HYUNDAI,Diesel,134,275,16.4,3536,116,176.18,72.83,64.76
HYUNDAI,Diesel,134,275,16.4,3536,116,176.18,72.83,64.76
HYUNDAI,Diesel,114,206,16.4,3307,109,176.18,72.83,64.76
HYUNDAI,Diesel,114,206,16.4,3307,109,176.18,72.83,64.76
HYUNDAI,Diesel,114,206,16.4,3307,109,176.18,72.83,64.76
HYUNDAI,Petrol,89,101,13.2,2762,104,162.01,69.49,62.99
HYUNDAI,Petrol,123,115,13.2,2767,115,162.01,69.49,62.99
HYUNDAI,Petrol,123,115,13.2,2859,112,162.01,69.49,62.99
HYUNDAI,Diesel,89,177,13.2,2965,104,162.01,69.49,62.99
HYUNDAI,Diesel,76,177,13.2,2965,99,162.01,69.49,62.99
