Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
LEXUS,Petrol,471,398,21.7,4431,168,187.8,75.59,52.95
LEXUS,Petrol,471,398,21.7,4431,168,187.8,75.59,52.95
LEXUS,Petrol,242,258,17.4,3869,143,184.84,72.44,54.92
LEXUS,Petrol,206,186,17.4,3792,143,190.94,72.44,57.28
LEXUS,Petrol,206,186,17.4,3792,143,190.94,72.44,57.28
LEXUS,Petrol,206,186,17.4,3792,143,190.94,72.44,57.28
LEXUS,Petrol,205,185,17.4,3594,140,183.66,71.26,56.3
LEXUS,Petrol,205,185,17.4,3594,140,183.66,71.26,56.3
LEXUS,Petrol,205,185,17.4,3594,140,183.66,71.26,56.3
LEXUS,Petrol,148,137,14.5,3682,112,184.8,70.31,59.29
LEXUS,Petrol,552,354,19.3,3428,202,177.36,74.61,48.03
LEXUS,Petrol,376,363,22.2,4288,155,198.03,73.82,57.68
LEXUS,Petrol,376,363,22.2,4453,155,198.03,73.62,58.07
LEXUS,Petrol,376,363,22.2,4453,155,198.03,73.62,58.07
LEXUS,Petrol,362,345,22.2,4762,155,198.03,73.62,58.07
LEXUS,Petrol,376,363,22.2,4453,155,198.03,73.62,58.07
LEXUS,Petrol,362,345,22.2,4762,155,198.03,73.62,58.07
LEXUS,Petrol,362,345,22.2,4762,155,198.03,73.62,58.07
LEXUS,Petrol,376,363,22.2,4453,155,198.03,73.62,58.07
LEXUS,Petrol,362,345,22.2,4762,155,198.03,73.62,58.07
LEXUS,Petrol,376,363,22.2,4453,155,198.03,73.62,58.07
LEXUS,Petrol,362,345,22.2,4762,155,198.03,73.62,58.07
LEXUS,Petrol,246,228,18.8,3516,149,189.96,71.65,56.3
LEXUS,Petrol,279,307,18.8,3682,155,189.96,71.65,56.3
LEXUS,Petrol,246,228,18.8,3737,149,189.96,71.65,56.3
LEXUS,Petrol,246,228,18.8,3737,149,189.96,71.65,56.3
LEXUS,Petrol,246,228,18.8,3737,149,189.96,71.65,56.3
LEXUS,Petrol,342,339,18.8,3990,155,189.96,71.65,56.3
LEXUS,Hybrid,292,271,17.2,4112,155,190.35,71.65,56.3
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3814,131,182.48,70.87,55.71
LEXUS,Petrol,205,185,17.2,3814,131,182.48,70.87,55.71
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3461,143,180.12,70.87,56.69
LEXUS,Petrol,205,185,17.2,3814,131,182.48,70.87,55.71
LEXUS,Petrol,205,185,17.2,3814,131,182.48,70.87,55.71
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3605,140,180.51,70.87,56.1
LEXUS,Petrol,205,185,17.2,3979,131,182.48,70.87,55.71
LEXUS,Petrol,417,372,16.9,3913,168,183.46,71.46,55.31
LEXUS,Petrol,205,185,17.2,3538,140,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3560,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3560,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3494,134,180.12,70.87,56.69
LEXUS,Diesel,148,250,17.2,3571,127,180.51,70.87,56.69
LEXUS,Diesel,175,295,17.2,3560,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3560,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3605,137,180.51,70.87,56.1
LEXUS,Diesel,175,295,17.2,3571,137,180.51,70.87,56.1
LEXUS,Petrol,201,208,19,4045,124,186.61,72.64,65.94
LEXUS,Petrol,272,252,19,3990,124,186.61,72.64,65.94
LEXUS,Hybrid,208,212,17.2,4354,124,187.2,72.64,65.75
LEXUS,Petrol,211,212,18.5,3340,143,177.17,67.72,56.3
LEXUS,Petrol,153,143,18.5,3097,134,177.17,67.72,56.3
LEXUS,Petrol,282,309,19.8,3836,155,178.54,71.85,53.94
LEXUS,Petrol,282,309,19.8,4001,155,178.54,71.85,53.94
LEXUS,Petrol,277,307,22.2,4034,155,196.85,72.05,57.87
LEXUS,Petrol,278,307,22.2,4001,155,197.64,72.05,57.87
LEXUS,Petrol,198,208,19.3,3891,112,180.31,71.65,65.35
LEXUS,Petrol,153,143,18.5,2998,127,173.23,67.72,55.91
LEXUS,Petrol,153,143,18.5,2987,134,173.23,67.72,55.91
LEXUS,Petrol,211,212,18.5,3252,143,173.23,67.72,55.91
LEXUS,Petrol,219,219,21.1,3814,143,188.98,70.87,56.69
LEXUS,Petrol,279,307,19.8,3671,155,188.98,70.87,56.69
LEXUS,Petrol,216,216,19.8,3616,143,188.98,70.87,56.69
LEXUS,Petrol,260,269,22.5,3682,155,196.85,72.05,56.69
LEXUS,Petrol,280,293,22.5,3869,155,196.85,72.05,56.69
LEXUS,Petrol,209,202,21.1,3693,143,195.28,70.87,55.91
LEXUS,Petrol,242,258,22.5,3960,155,196.85,72.05,56.69
