Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
MAZDA,Petrol,163,154,14.8,3164,125,179.13,72.44,65.94
MAZDA,Petrol,158,153,15.3,3307,117,179.13,72.44,65.94
MAZDA,Petrol,158,153,15.3,3296,123,179.13,72.44,65.94
MAZDA,Petrol,163,154,14.8,3230,119,179.13,72.44,65.94
MAZDA,Diesel,148,280,14.8,3428,124,179.13,72.44,65.94
MAZDA,Diesel,148,280,14.8,3384,127,179.13,72.44,65.94
MAZDA,Diesel,148,280,15.3,3516,124,179.13,72.44,65.94
MAZDA,Diesel,148,280,15.3,3538,122,179.13,72.44,65.94
MAZDA,Diesel,173,309,15.3,3516,129,179.13,72.44,65.94
MAZDA,Diesel,173,309,15.3,3549,128,179.13,72.44,65.94
MAZDA,Petrol,143,154,16.4,3031,129,191.54,72.44,57.09
MAZDA,Petrol,189,188,16.4,3175,139,191.54,72.44,57.09
MAZDA,Diesel,148,280,16.4,3263,131,191.54,72.44,57.09
MAZDA,Diesel,148,280,16.4,3307,127,191.54,72.44,57.09
MAZDA,Diesel,173,309,16.4,3263,139,191.54,72.44,57.09
MAZDA,Diesel,173,309,16.4,3307,134,191.54,72.44,57.09
MAZDA,Petrol,158,147,11.9,2524,121,154.13,68.31,48.43
MAZDA,Petrol,129,110,11.9,2403,127,154.13,68.31,48.43
MAZDA,Petrol,158,147,11.9,2469,134,154.13,68.31,48.43
MAZDA,Petrol,158,147,11.9,2469,134,154.13,68.31,48.43
MAZDA,Petrol,118,154,13.5,2822,121,175.98,70.67,57.09
MAZDA,Petrol,118,154,13.5,2910,121,175.98,70.67,57.09
MAZDA,Petrol,163,154,13.5,2877,131,175.98,70.67,57.09
MAZDA,Petrol,100,110,13.5,2778,113,175.98,70.67,57.09
MAZDA,Diesel,104,199,13.5,2943,115,175.98,70.67,57.09
MAZDA,Diesel,104,199,13.5,2998,112,175.98,70.67,57.09
MAZDA,Diesel,148,280,13.5,3075,131,175.98,70.67,57.09
MAZDA,Diesel,148,280,13.5,3109,125,175.98,70.67,57.09
