Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
TOYOTA,Diesel,148,295,21.1,4387,106,209.84,73.03,71.26
TOYOTA,Diesel,148,295,21.1,4112,109,209.84,73.03,71.26
TOYOTA,Diesel,148,295,21.1,4134,106,209.84,70.87,70.67
TOYOTA,Diesel,148,295,21.1,3913,109,209.84,70.87,70.67
TOYOTA,Diesel,148,295,21.1,4387,106,210.63,73.03,73.03
TOYOTA,Diesel,148,295,21.1,4685,106,210.63,73.03,73.03
TOYOTA,Diesel,148,295,21.1,4663,106,210.63,73.03,73.03
TOYOTA,Petrol,114,136,13.2,2822,121,180.91,69.29,58.46
TOYOTA,Diesel,89,151,13.2,2866,109,180.91,69.29,58.46
TOYOTA,Diesel,109,199,13.2,3075,121,180.91,69.29,58.46
TOYOTA,Petrol,114,136,13.2,2789,124,170.47,69.29,58.07
TOYOTA,Diesel,89,151,13.2,2811,112,170.47,69.29,58.07
TOYOTA,Diesel,109,199,13.2,3020,121,170.47,69.29,58.07
TOYOTA,Petrol,145,132,15.9,3097,124,187.01,71.26,58.27
TOYOTA,Petrol,145,132,15.9,3020,124,187.01,71.26,58.27
TOYOTA,Petrol,145,132,15.9,3097,124,187.01,71.26,58.27
TOYOTA,Diesel,109,199,15.9,3208,115,187.01,71.26,58.27
TOYOTA,Diesel,141,236,15.9,3241,124,187.01,71.26,58.27
TOYOTA,Petrol,98,92,11.1,2436,109,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2480,109,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2480,109,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2436,109,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2436,109,155.51,66.73,59.45
TOYOTA,Petrol,68,70,11.1,2326,96,155.51,66.73,59.45
TOYOTA,Petrol,68,70,11.1,2326,96,155.51,66.73,59.45
TOYOTA,Petrol,68,70,11.1,2326,96,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2480,109,155.51,66.73,59.45
TOYOTA,Petrol,98,92,11.1,2480,109,155.51,66.73,59.45
TOYOTA,Diesel,89,151,11.1,2546,109,155.51,66.73,59.45
TOYOTA,Diesel,89,151,11.1,2546,109,155.51,66.73,59.45
TOYOTA,Diesel,89,151,11.1,2546,109,155.51,66.73,59.45
TOYOTA,Diesel,89,151,11.1,2546,109,155.51,66.73,59.45
TOYOTA,Diesel,89,151,11.1,2546,109,155.51,66.73,59.45
TOYOTA,Petrol,68,70,9.2,2050,99,136.02,63.58,57.48
TOYOTA,Petrol,68,70,9.2,2061,99,136.02,63.58,57.48
