Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
CITROEN,Petrol,81,86,13.2,2326,105,173.98,68.82,57.72
CITROEN,Petrol,114,110,13.2,2566,117,173.98,68.82,57.72
CITROEN,Petrol,114,110,13.2,2612,112,173.98,68.82,57.72
CITROEN,Diesel,98,187,12.7,2568,114,173.98,68.82,57.72
CITROEN,Petrol,129,169,15.1,3025,125,181.18,71.89,64.49
CITROEN,Petrol,129,169,15.1,3069,128,181.18,71.89,64.49
CITROEN,Petrol,163,177,15.1,3075,131,181.18,71.89,64.49
CITROEN,Diesel,98,187,14.5,3075,107,181.18,71.89,64.49
CITROEN,Diesel,118,221,14.5,3135,117,181.18,71.89,64.49
CITROEN,Diesel,118,221,14.5,3161,115,181.18,71.89,64.49
CITROEN,Diesel,148,272,14.5,3318,130,181.18,71.89,64.49
CITROEN,Diesel,148,272,14.5,3419,129,181.18,71.89,64.49
CITROEN,Diesel,148,272,18.2,3924,106,195.24,75.59,74.41
CITROEN,Diesel,175,295,18.2,3920,106,181.46,75.59,75
CITROEN,Diesel,175,295,18.2,3979,106,195.24,75.59,74.41
CITROEN,Diesel,114,221,18.2,3794,99,195.24,75.59,74.41
CITROEN,Petrol,109,151,15.1,2987,116,174.72,71.89,63.39
CITROEN,Petrol,129,169,15.1,2987,125,174.72,71.89,63.39
CITROEN,Petrol,129,169,15.1,3027,128,174.72,71.89,63.39
CITROEN,Petrol,163,177,15.1,3053,131,174.72,71.89,63.39
CITROEN,Diesel,98,187,14.5,3023,107,174.72,71.89,63.39
CITROEN,Diesel,118,221,14.5,3075,117,174.72,71.89,63.39
CITROEN,Diesel,118,221,14.5,3075,115,174.72,71.89,63.39
CITROEN,Diesel,148,272,14.5,3285,130,174.72,71.89,63.39
CITROEN,Diesel,148,272,14.5,3329,129,174.72,71.89,63.39
CITROEN,Petrol,109,151,11.9,2480,117,157.32,68.86,58.03
CITROEN,Petrol,81,87,11.9,2326,104,157.32,68.86,58.03
CITROEN,Petrol,109,151,11.9,2480,117,157.32,68.86,58.03
CITROEN,Petrol,81,87,11.9,2326,104,157.32,68.86,58.03
CITROEN,Petrol,67,70,11.9,2317,102,157.32,68.86,58.03
