Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
DACIA,Petrol,89,103,13.2,2458,104,160.98,68.23,63.58
DACIA,Diesel,89,162,13.2,2568,104,160.98,68.23,63.58
DACIA,Petrol,72,71,13.2,2326,98,177.2,68.23,61.1
DACIA,Petrol,89,103,13.2,2526,109,177.2,68.23,61.1
DACIA,Diesel,74,147,13.2,2568,102,177.2,68.23,61.1
DACIA,Diesel,89,162,13.2,2568,108,177.2,68.23,61.1
DACIA,Diesel,89,162,13.2,2568,107,177.2,68.23,61.1
DACIA,Petrol,72,71,13.2,2310,98,171.57,68.23,59.72
DACIA,Diesel,74,147,13.2,2562,102,171.57,68.23,59.72
DACIA,Diesel,89,162,13.2,2546,108,171.57,68.23,59.72
DACIA,Petrol,72,71,13.2,2302,98,160.2,68.23,59.8
DACIA,Petrol,89,103,13.2,2326,109,160.2,68.23,59.8
DACIA,Petrol,89,103,13.2,2326,109,160.2,68.23,59.8
DACIA,Diesel,74,147,13.2,2557,102,160.2,68.23,59.8
DACIA,Diesel,89,162,13.2,2557,108,160.2,68.23,59.8
DACIA,Diesel,89,162,13.2,2568,107,160.2,68.23,59.8
DACIA,Petrol,81,98,13.2,2754,99,177.99,69.57,66.26
DACIA,Petrol,114,140,13.2,2813,111,177.99,69.57,66.26
DACIA,Petrol,81,98,13.2,2811,99,177.99,69.57,66.14
DACIA,Petrol,114,140,13.2,2822,111,177.99,69.57,66.14
DACIA,Diesel,89,147,13.2,2822,105,177.99,69.57,66.26
DACIA,Diesel,106,177,13.2,2822,109,177.99,69.57,66.26
DACIA,Diesel,89,147,13.2,2822,105,177.99,69.57,66.14
DACIA,Diesel,106,177,13.2,2822,109,177.99,69.57,66.14
DACIA,Petrol,114,140,13.2,2870,109,172.76,69.57,71.42
DACIA,Diesel,74,132,13.2,2870,93,172.76,69.57,71.42
DACIA,Diesel,89,147,13.2,2870,101,172.76,69.57,71.42
DACIA,Diesel,74,132,13.2,2870,94,172.76,69.57,71.42
DACIA,Diesel,89,147,13.2,2870,101,172.76,69.57,71.42
DACIA,Petrol,89,99,13.2,2454,109,176.85,68.23,61.02
