Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
JAGUAR,Petrol,335,331,18.5,3521,162,176.46,75.71,51.5
JAGUAR,Petrol,395,339,18.5,3558,171,176.46,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3735,171,176.46,75.71,51.5
JAGUAR,Petrol,567,516,18.5,3792,195,176.18,75.71,51.5
JAGUAR,Petrol,544,501,18.5,3847,186,176.46,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3558,171,176.46,75.71,51.5
JAGUAR,Petrol,395,339,18.5,3735,171,176.46,75.71,51.5
JAGUAR,Petrol,335,331,18.5,3499,162,176.46,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3536,171,176.46,75.71,51.5
JAGUAR,Petrol,296,295,16.6,3406,155,176.46,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3691,171,176.46,75.71,51.61
JAGUAR,Petrol,544,501,18.5,3814,186,176.46,75.71,51.61
JAGUAR,Petrol,395,339,18.5,3691,171,176.46,75.71,51.61
JAGUAR,Petrol,567,516,18.5,3759,200,176.18,75.71,51.61
JAGUAR,Petrol,335,331,18.5,3455,162,176.46,75.71,51.61
JAGUAR,Petrol,335,331,18.5,3477,162,176.46,75.71,51.61
JAGUAR,Petrol,376,339,18.5,3514,171,176.46,75.71,51.61
JAGUAR,Petrol,395,339,18.5,3514,171,176.46,75.71,51.61
JAGUAR,Petrol,376,339,18.5,3492,171,176.46,75.71,51.61
JAGUAR,Petrol,296,295,16.6,3362,155,176.46,75.71,51.61
JAGUAR,Petrol,376,331,19.5,3880,155,195.04,74.02,57.36
JAGUAR,Petrol,238,250,19.5,3505,154,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3770,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3770,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3770,155,195.04,74.02,57.36
JAGUAR,Petrol,238,250,19.5,3505,154,195.04,74.02,57.36
JAGUAR,Petrol,376,331,19.5,3770,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3880,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3770,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3880,155,195.04,74.02,57.36
JAGUAR,Petrol,238,250,19.5,3505,154,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3880,155,195.04,74.02,57.36
JAGUAR,Petrol,335,331,19.5,3880,155,195.04,74.02,57.36
JAGUAR,Petrol,238,250,19.5,3505,154,195.04,74.02,57.36
JAGUAR,Diesel,296,516,17.4,3858,155,195.04,74.02,57.36
JAGUAR,Diesel,161,280,14.5,3428,141,195.04,74.02,57.36
JAGUAR,Diesel,296,516,17.4,3858,155,195.04,74.02,57.36
JAGUAR,Diesel,296,516,17.4,3858,155,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3516,142,195.04,74.02,57.36
JAGUAR,Diesel,161,280,14.5,3406,142,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3516,142,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3494,143,195.04,74.02,57.36
JAGUAR,Diesel,296,516,17.4,3858,155,195.04,74.02,57.36
JAGUAR,Diesel,161,280,14.5,3406,142,195.04,74.02,57.36
JAGUAR,Diesel,161,280,14.5,3428,141,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3494,143,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3494,143,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3494,143,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3516,142,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3516,142,195.04,74.02,57.36
JAGUAR,Diesel,177,317,17.4,3748,138,195.04,74.02,57.36
JAGUAR,Petrol,247,269,16.6,3770,135,186.26,76.22,65.04
JAGUAR,Diesel,238,368,15.9,3990,135,186.26,76.22,65.04
JAGUAR,Diesel,161,280,15.9,3726,121,186.26,76.22,65.04
JAGUAR,Diesel,177,317,15.9,3792,129,186.26,76.22,65.04
JAGUAR,Petrol,197,206,16.6,3373,147,183.94,72.83,55.75
JAGUAR,Petrol,197,206,16.6,3373,147,183.94,72.83,55.75
JAGUAR,Petrol,197,206,16.6,3373,147,183.94,72.83,55.75
JAGUAR,Petrol,238,250,16.6,3384,155,183.94,72.83,55.75
JAGUAR,Petrol,238,250,16.6,3384,155,183.94,72.83,55.75
JAGUAR,Petrol,238,250,16.6,3384,155,183.94,72.83,55.75
JAGUAR,Petrol,238,250,16.6,3384,155,183.94,72.83,55.75
JAGUAR,Petrol,197,206,16.6,3373,147,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3417,143,183.94,72.83,55.75
JAGUAR,Diesel,161,280,14.8,3250,141,183.94,72.83,55.75
JAGUAR,Diesel,161,280,14.8,3250,141,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3450,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3417,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3417,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3417,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3450,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3450,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3450,143,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3560,140,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3560,140,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3560,140,183.94,72.83,55.75
JAGUAR,Diesel,177,317,14.8,3560,140,183.94,72.83,55.75
JAGUAR,Petrol,335,331,19,3521,162,175.98,75.71,51.54
JAGUAR,Petrol,376,339,19,3514,171,175.98,75.71,51.54
JAGUAR,Petrol,543,501,19,3638,186,175.98,75.71,52.01
JAGUAR,Petrol,543,501,18.5,3814,186,175.98,75.71,51.73
JAGUAR,Petrol,543,501,18.5,3638,186,175.98,75.71,51.73
JAGUAR,Petrol,376,339,18.5,3691,171,175.98,75.71,51.61
JAGUAR,Petrol,376,339,18.5,3492,171,175.98,75.71,51.54
JAGUAR,Petrol,376,339,18.5,3514,171,175.98,75.71,51.54
JAGUAR,Petrol,335,331,18.5,3455,162,175.98,75.71,51.54
JAGUAR,Petrol,335,331,18.5,3477,162,175.98,75.71,51.54
JAGUAR,Petrol,376,339,18.5,3691,171,175.98,75.71,51.61
JAGUAR,Petrol,376,339,18.5,3514,171,175.98,75.71,51.61
JAGUAR,Diesel,197,331,16.9,4021,133,195.51,73.9,58.27
JAGUAR,Diesel,238,368,16.9,4145,149,195.51,73.9,58.27
JAGUAR,Petrol,335,331,19,3521,162,175.98,75.71,51.02
JAGUAR,Petrol,567,501,19,3494,186,177.91,75.71,50.28
JAGUAR,Petrol,543,501,18.5,3847,186,175.98,75.71,51.61
JAGUAR,Petrol,543,501,18.5,3671,186,175.98,75.71,51.61
JAGUAR,Petrol,376,339,18.5,3735,171,175.98,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3536,171,175.98,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3558,171,175.98,75.71,51.5
JAGUAR,Petrol,335,331,18.5,3499,162,175.98,75.71,51.5
JAGUAR,Petrol,335,331,18.5,3521,162,175.98,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3735,171,175.98,75.71,51.5
JAGUAR,Petrol,376,339,18.5,3558,171,175.98,75.71,51.5
JAGUAR,Petrol,380,379,21.7,4034,155,201.65,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4074,155,206.57,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4074,155,206.57,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4034,155,201.65,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4034,155,201.65,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4034,155,201.65,74.57,57.01
JAGUAR,Petrol,503,460,21.7,4336,155,201.65,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4074,155,206.57,74.57,57.01
JAGUAR,Petrol,380,379,21.7,4074,155,206.57,74.57,57.01
JAGUAR,Petrol,503,460,21.7,4387,155,206.57,74.57,57.01
JAGUAR,Petrol,503,460,21.7,4387,155,206.57,74.57,57.01
JAGUAR,Petrol,503,460,21.7,4336,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4162,155,206.57,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4162,155,206.57,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4162,155,206.57,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4162,155,206.57,74.57,57.01
JAGUAR,Diesel,271,442,21.7,4125,155,201.65,74.57,57.01
JAGUAR,Petrol,503,460,18.5,4334,155,195.31,73.9,57.48
JAGUAR,Petrol,380,379,18.5,4090,155,195.31,73.9,57.48
JAGUAR,Petrol,380,379,18.5,4090,155,195.31,73.9,57.48
JAGUAR,Petrol,235,216,18.5,3891,147,195.31,73.9,57.48
JAGUAR,Petrol,235,216,18.5,3891,147,195.31,73.9,57.48
JAGUAR,Petrol,235,216,18.5,3891,147,195.31,73.9,57.48
JAGUAR,Petrol,238,250,16.9,3660,150,195.31,73.9,57.48
JAGUAR,Diesel,238,368,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,208,331,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,208,331,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,271,442,18.5,4178,155,195.31,73.9,57.48
JAGUAR,Diesel,271,442,18.5,4178,155,195.31,73.9,57.48
JAGUAR,Diesel,271,442,18.5,4178,155,195.31,73.9,57.48
JAGUAR,Diesel,238,368,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,238,368,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,208,331,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,208,331,18.5,4178,149,195.31,73.9,57.48
JAGUAR,Diesel,197,331,16.9,3825,140,195.31,73.9,57.48
JAGUAR,Diesel,238,368,16.9,3902,149,195.31,73.9,57.48
JAGUAR,Petrol,294,303,18.8,3516,155,188.62,74.49,52.05
JAGUAR,Petrol,410,413,18.8,3671,155,188.62,74.49,52.05
JAGUAR,Petrol,294,303,18.8,3605,155,188.62,74.49,52.32
JAGUAR,Petrol,410,413,18.8,3781,155,188.62,74.49,52.32
JAGUAR,Petrol,380,379,18.8,3904,155,188.74,74.49,52.32
JAGUAR,Petrol,380,379,18.8,3904,155,188.74,74.49,52.32
JAGUAR,Petrol,503,460,18.8,4134,155,188.74,74.49,52.32
JAGUAR,Petrol,228,209,16.1,3538,144,185.83,70.47,58.27
JAGUAR,Petrol,191,179,16.1,3538,138,185.83,70.47,58.27
JAGUAR,Petrol,155,147,16.1,3329,129,185.83,70.47,58.27
JAGUAR,Diesel,128,243,16.1,3472,123,185.83,70.47,58.27
JAGUAR,Diesel,153,265,16.1,3472,134,185.83,70.47,58.27
JAGUAR,Petrol,235,216,22.5,3325,145,200.39,73.23,57.01
JAGUAR,Petrol,254,247,22.5,3479,150,200.39,73.23,57.01
JAGUAR,Petrol,391,399,22.5,3589,155,200.39,73.23,57.01
JAGUAR,Petrol,294,303,22.5,3479,155,200.39,73.23,57.01
JAGUAR,Petrol,391,399,22.5,3724,155,205.31,73.23,57.28
JAGUAR,Petrol,254,247,22.5,3492,150,205.31,73.23,57.28
JAGUAR,Petrol,294,303,22.5,3492,155,205.31,73.23,57.28
JAGUAR,Diesel,204,320,22.5,3587,140,200.39,73.23,57.01
JAGUAR,Diesel,204,320,22.5,3600,140,205.31,73.23,57.28
JAGUAR,Petrol,193,177,16.4,3428,140,183.94,70.43,54.8
JAGUAR,Petrol,227,205,16.4,3428,146,183.94,70.43,54.8
JAGUAR,Petrol,155,147,16.1,3197,131,183.94,70.43,54.8
JAGUAR,Diesel,129,243,16.4,3311,125,183.94,70.43,54.8
JAGUAR,Diesel,153,265,16.4,3311,137,183.94,70.43,54.8
JAGUAR,Petrol,235,216,18.5,3739,140,191.34,71.65,56.69
JAGUAR,Petrol,272,278,18.5,3790,149,191.34,71.65,56.69
JAGUAR,Petrol,235,216,18.5,3589,145,191.34,71.65,56.69
JAGUAR,Petrol,198,184,18,3571,142,193.11,71.57,56.97
JAGUAR,Petrol,395,399,18.5,3968,155,193.11,71.57,56.97
JAGUAR,Petrol,235,216,18,3571,139,193.11,71.57,56.97
JAGUAR,Diesel,204,320,18,3825,143,193.11,71.57,56.97
JAGUAR,Petrol,365,387,21.4,3913,155,197.64,70.87,51.18
JAGUAR,Petrol,286,289,21.4,3814,149,202.76,70.87,52.36
JAGUAR,Petrol,286,289,21.4,3814,149,197.64,70.87,51.57
JAGUAR,Petrol,237,233,21.4,3770,140,202.76,70.87,52.36
JAGUAR,Petrol,237,233,21.4,3770,140,197.64,70.87,51.57
JAGUAR,Petrol,237,233,21.4,3770,140,197.64,70.87,51.57
JAGUAR,Petrol,286,289,21.4,3814,149,197.64,70.87,51.57
JAGUAR,Petrol,286,289,21.4,3814,149,197.64,70.87,51.57
JAGUAR,Petrol,237,233,21.4,3770,140,202.76,70.87,52.36
JAGUAR,Petrol,286,289,19.8,3759,154,187.4,72.05,51.57
JAGUAR,Petrol,286,289,19.8,3560,156,187.4,72.05,51.18
JAGUAR,Petrol,358,372,19.8,3836,155,187.4,72.05,51.57
JAGUAR,Petrol,358,372,19.8,3616,155,187.4,72.05,51.18
JAGUAR,Petrol,395,407,19.8,4001,155,188.19,72.05,51.57
JAGUAR,Petrol,296,309,19.8,3913,155,188.19,72.05,51.57
JAGUAR,Petrol,395,407,19.8,3825,155,188.19,72.05,51.18
JAGUAR,Petrol,296,309,19.8,3715,155,188.19,72.05,51.18
JAGUAR,Petrol,216,232,21.4,3765,138,197.64,70.87,51.57
JAGUAR,Petrol,216,232,21.4,3810,139,197.64,70.87,51.57
JAGUAR,Petrol,216,232,21.4,3765,138,197.64,70.87,51.57
JAGUAR,Petrol,216,232,21.4,3810,139,197.64,70.87,51.57
