Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,176,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,176,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,176,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,176,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,187,324,19,4493,143,199.45,74.88,58.58
LANCIA,Diesel,236,405,19,4493,143,199.45,74.88,58.58
LANCIA,Diesel,187,324,19,4493,143,199.45,74.88,58.58
LANCIA,Diesel,236,405,19,4493,143,199.45,74.88,58.58
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,161,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Diesel,176,265,20.1,4943,120,205.43,78.66,68.9
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,84,106,10.6,2315,109,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,84,106,10.6,2326,109,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,84,106,10.6,2315,109,151.26,65.98,59.72
LANCIA,Petrol,84,106,10.6,2326,109,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,84,106,10.6,2326,109,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Petrol,68,75,10.6,2293,101,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Diesel,94,147,10.6,2480,114,151.26,65.98,59.72
LANCIA,Petrol,197,236,15.3,3318,143,177.95,70.75,59.02
LANCIA,Petrol,197,236,15.3,3318,143,177.95,70.75,59.02
LANCIA,Petrol,197,236,15.3,3318,143,177.95,70.75,59.02
LANCIA,Petrol,197,236,15.3,3318,143,177.95,70.75,59.02
LANCIA,Petrol,118,151,15.3,3075,121,177.95,70.75,59.02
LANCIA,Petrol,118,151,15.3,3075,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,187,295,15.3,3318,138,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,187,295,15.3,3318,138,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,187,295,15.3,3318,138,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,163,265,15.3,3318,133,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,187,295,15.3,3318,138,177.95,70.75,59.02
LANCIA,Diesel,163,265,15.3,3318,133,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,104,221,15.3,3274,116,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,118,221,15.3,3274,121,177.95,70.75,59.02
LANCIA,Diesel,104,221,15.3,3274,116,177.95,70.75,59.02
LANCIA,Petrol,94,94,12.4,2491,109,156.89,66.85,65.35
LANCIA,Petrol,77,84,12.4,2491,101,156.89,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,77,84,12.4,2712,101,158.86,66.85,65.35
LANCIA,Petrol,77,84,12.4,2712,101,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Petrol,94,94,12.4,2712,109,158.86,66.85,65.35
LANCIA,Diesel,100,191,12.4,2756,111,156.89,66.85,65.35
LANCIA,Diesel,68,132,12.4,2590,99,156.89,66.85,65.35
LANCIA,Diesel,89,147,12.4,2590,108,156.89,66.85,65.35
LANCIA,Diesel,89,147,12.4,2811,108,158.86,66.85,65.35
LANCIA,Diesel,89,147,12.4,2811,108,158.86,66.85,65.35
LANCIA,Diesel,89,147,12.4,2811,108,158.86,66.85,65.35
LANCIA,Diesel,89,147,12.4,2811,108,158.86,66.85,65.35
LANCIA,Diesel,94,147,12.4,2811,108,158.86,66.85,65.35
