Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
PEUGEOT,Petrol,129,169,14,2921,117,175.08,72.48,63.94
PEUGEOT,Petrol,163,177,14,3031,128,175.08,72.48,63.94
PEUGEOT,Petrol,129,169,14,2965,117,175.08,72.48,63.94
PEUGEOT,Petrol,129,169,14,2921,117,175.08,72.48,63.94
PEUGEOT,Petrol,129,169,14,2965,117,175.08,72.48,63.94
PEUGEOT,Diesel,118,221,14,3064,115,175.08,72.48,63.94
PEUGEOT,Diesel,118,221,14,3031,117,175.08,72.48,63.94
PEUGEOT,Diesel,148,272,14,3307,129,175.08,72.48,63.94
PEUGEOT,Diesel,118,221,14,3064,115,175.08,72.48,63.94
PEUGEOT,Diesel,179,295,14,3395,129,175.08,72.48,63.94
PEUGEOT,Diesel,148,272,14,3307,129,175.08,72.48,63.94
PEUGEOT,Diesel,118,221,14,3064,115,175.08,72.48,63.94
PEUGEOT,Diesel,118,221,14,3031,117,175.08,72.48,63.94
PEUGEOT,Diesel,148,272,14,3307,129,175.08,72.48,63.94
PEUGEOT,Petrol,81,87,13.2,2635,104,163.74,68.46,61.81
PEUGEOT,Petrol,109,151,13.2,2734,119,163.74,68.46,61.81
PEUGEOT,Petrol,109,151,13.2,2866,117,163.74,68.46,61.81
PEUGEOT,Diesel,98,187,11.9,2888,112,163.74,68.46,61.81
PEUGEOT,Petrol,129,169,14.8,3053,117,182.72,72.6,65
PEUGEOT,Petrol,129,169,14.8,3069,117,182.72,72.6,65
PEUGEOT,Petrol,163,177,14.8,3175,128,182.72,72.6,65
PEUGEOT,Petrol,163,177,14.8,3175,128,182.72,72.6,65
PEUGEOT,Petrol,129,169,14.8,3053,117,182.72,72.6,65
PEUGEOT,Diesel,179,295,14,3538,129,182.72,72.6,65
PEUGEOT,Diesel,148,272,14.8,3450,128,182.72,72.6,65
PEUGEOT,Diesel,118,221,14.8,3208,114,182.72,72.6,65
PEUGEOT,Diesel,118,221,14.8,3175,117,182.72,72.6,65
PEUGEOT,Diesel,98,187,14.8,3142,108,182.72,72.6,65
PEUGEOT,Diesel,118,221,14.8,3175,117,182.72,72.6,65
PEUGEOT,Diesel,118,221,14.8,3208,114,182.72,72.6,65
PEUGEOT,Diesel,148,272,14.8,3450,128,182.72,72.6,65
PEUGEOT,Petrol,81,87,13.2,2282,109,155.98,68.46,57.48
PEUGEOT,Petrol,67,70,13.2,2282,103,156.1,68.46,57.48
PEUGEOT,Petrol,81,87,13.2,2282,109,156.1,68.46,57.48
PEUGEOT,Petrol,109,151,13.2,2524,118,156.1,68.46,57.48
PEUGEOT,Petrol,205,221,13.2,2723,143,155.98,68.46,57.48
PEUGEOT,Petrol,205,221,13.2,2723,143,155.98,68.46,57.48
PEUGEOT,Petrol,81,87,13.2,2293,111,155.98,68.46,57.48
PEUGEOT,Petrol,161,177,13.2,2679,135,155.98,68.46,57.48
PEUGEOT,Petrol,109,151,13.2,2546,121,155.98,68.46,57.48
PEUGEOT,Petrol,109,151,13.2,2502,118,155.98,68.46,57.48
PEUGEOT,Petrol,67,70,13.2,2282,103,155.98,68.46,57.48
PEUGEOT,Petrol,81,87,13.2,2282,109,155.98,68.46,57.48
PEUGEOT,Petrol,67,70,13.2,2282,103,156.1,68.46,57.48
PEUGEOT,Petrol,81,87,13.2,2282,109,156.42,68.46,57.48
PEUGEOT,Petrol,205,221,13.2,2723,143,156.42,68.46,57.48
