Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
SEAT,Petrol,74,70,10.6,2405,104,159.8,70.08,56.85
SEAT,Petrol,94,129,10.6,2474,113,159.8,70.08,56.85
SEAT,Petrol,114,147,10.6,2513,121,159.8,70.08,56.85
SEAT,Petrol,114,147,10.6,2513,121,159.8,70.08,56.85
SEAT,Petrol,177,184,13.2,3025,139,179.09,71.5,57.24
SEAT,Petrol,177,184,13.2,2987,140,179.09,71.5,57.24
SEAT,Petrol,148,184,13.2,2859,134,179.09,71.5,57.24
SEAT,Petrol,148,184,13.2,2815,134,179.09,71.5,57.24
SEAT,Petrol,123,147,13.2,2771,126,179.09,71.5,57.24
SEAT,Petrol,177,184,13.2,2987,140,179.06,71.5,56.65
SEAT,Petrol,148,184,13.2,2859,134,179.06,71.5,56.65
SEAT,Petrol,148,184,13.2,2815,134,179.06,71.5,56.65
SEAT,Petrol,109,129,13.2,2749,121,179.09,71.5,57.24
SEAT,Petrol,296,280,13.2,3175,155,179.06,71.5,56.34
SEAT,Petrol,296,280,14.5,3232,155,179.06,71.5,56.34
SEAT,Petrol,296,280,13.2,3406,155,179.06,71.5,56.34
SEAT,Diesel,181,280,13.2,3164,140,179.06,71.5,56.65
SEAT,Diesel,181,280,13.2,3120,142,179.06,71.5,56.65
SEAT,Diesel,148,250,13.2,2994,134,179.06,71.5,56.65
SEAT,Diesel,148,250,13.2,3060,131,179.09,71.5,57.24
SEAT,Diesel,148,250,14.5,3250,131,179.09,71.5,57.24
SEAT,Diesel,148,250,13.2,2994,134,179.09,71.5,57.24
SEAT,Diesel,114,184,13.2,2923,122,179.09,71.5,57.24
SEAT,Diesel,148,250,13.2,3060,131,179.06,71.5,56.65
SEAT,Diesel,114,184,13.2,2877,122,179.09,71.5,57.24
SEAT,Petrol,123,147,13.2,2674,126,167.17,71.26,56.34
SEAT,Petrol,177,184,13.2,2881,139,167.17,71.26,56.34
SEAT,Petrol,177,184,13.2,2844,140,167.17,71.26,56.34
SEAT,Petrol,148,184,13.2,2740,134,167.17,71.26,56.34
SEAT,Petrol,148,184,13.2,2696,134,167.2,71.26,56.93
SEAT,Petrol,123,147,13.2,2674,126,167.2,71.26,56.93
SEAT,Petrol,148,184,13.2,2696,134,167.17,71.26,56.34
SEAT,Petrol,296,280,13.2,3075,155,167.17,71.26,56.02
SEAT,Petrol,296,280,13.2,3031,155,167.17,71.26,56.02
SEAT,Diesel,181,280,13.2,3020,140,167.17,71.26,56.34
SEAT,Diesel,181,280,13.2,2976,142,167.17,71.26,56.34
SEAT,Diesel,148,250,13.2,2877,132,167.17,71.26,56.34
SEAT,Diesel,148,250,13.2,2833,134,167.17,71.26,56.34
SEAT,Diesel,148,250,13.2,2833,134,167.2,71.26,56.93
SEAT,Diesel,114,184,13.2,2734,122,167.2,71.26,56.93
SEAT,Petrol,109,129,13.2,2674,121,168.58,71.5,57.44
SEAT,Petrol,123,147,13.2,2718,126,168.54,71.5,56.85
SEAT,Petrol,148,184,13.2,2736,134,168.54,71.5,56.85
SEAT,Petrol,148,184,13.2,2784,134,168.54,71.5,56.85
SEAT,Petrol,148,184,13.2,2736,134,168.58,71.5,57.44
SEAT,Petrol,123,147,13.2,2718,126,168.58,71.5,57.44
SEAT,Petrol,296,280,13.2,3075,155,168.54,71.5,56.5
SEAT,Petrol,296,280,13.2,3133,155,168.54,71.5,56.5
SEAT,Diesel,148,250,13.2,2877,134,168.54,71.5,56.85
SEAT,Diesel,114,184,13.2,2778,122,168.58,71.5,57.44
SEAT,Diesel,114,184,13.2,2822,122,168.58,71.5,57.44
SEAT,Diesel,148,250,13.2,2877,134,168.58,71.5,57.44
SEAT,Diesel,181,280,13.2,3020,142,168.54,71.5,56.85
SEAT,Diesel,89,169,13.2,2778,112,168.58,71.5,57.44
SEAT,Diesel,148,250,13.2,2943,132,168.54,71.5,56.85
SEAT,Petrol,148,184,13.2,2974,125,171.77,72.48,63.03
SEAT,Petrol,114,147,13.2,2822,114,171.77,72.48,63.03
SEAT,Petrol,148,184,13.2,2996,125,171.77,72.48,63.03
SEAT,Petrol,148,184,13.2,3031,123,171.77,72.48,63.03
SEAT,Petrol,148,184,14.5,3219,119,171.77,72.48,63.03
SEAT,Petrol,148,184,14.5,3285,117,171.77,72.48,63.03
SEAT,Petrol,148,184,14.5,3250,119,171.77,72.48,63.03
SEAT,Petrol,148,184,13.2,3007,123,171.77,72.48,63.03
SEAT,Petrol,148,184,14.5,3285,117,171.77,72.48,63.03
SEAT,Diesel,148,250,14.5,3413,122,171.77,72.48,63.03
SEAT,Diesel,148,250,14.5,3413,122,171.77,72.48,63.03
SEAT,Diesel,148,250,13.2,3177,125,171.77,72.48,63.03
SEAT,Diesel,148,250,13.2,3124,126,171.77,72.48,63.03
SEAT,Diesel,114,184,13.2,3031,114,171.77,72.48,63.03
SEAT,Diesel,187,295,14.5,3503,132,171.77,72.48,63.03
SEAT,Petrol,177,206,14.5,3276,137,178.86,71.5,58.31
SEAT,Diesel,148,250,14.5,3289,129,178.86,71.5,58.31
SEAT,Petrol,177,184,13.2,3025,139,178.86,71.5,56.65
SEAT,Petrol,177,184,13.2,2987,140,178.86,71.5,56.65
SEAT,Petrol,138,184,13.2,2811,131,178.86,71.5,56.65
SEAT,Petrol,138,184,13.2,2811,131,178.54,71.5,57.24
SEAT,Petrol,120,147,13.2,2798,126,178.86,71.5,56.65
SEAT,Petrol,85,118,13.2,2718,111,178.54,71.5,57.24
SEAT,Petrol,104,129,13.2,2765,119,178.54,71.5,57.24
SEAT,Petrol,104,129,13.2,2765,119,178.54,71.5,57.24
SEAT,Petrol,104,129,13.2,2822,119,178.54,71.5,57.24
SEAT,Petrol,120,147,13.2,2798,126,178.54,71.5,57.24
SEAT,Petrol,109,129,13.2,2765,119,178.54,71.5,57.24
SEAT,Petrol,109,129,13.2,2822,119,178.54,71.5,57.24
SEAT,Petrol,123,147,13.2,2798,126,178.54,71.5,57.24
SEAT,Petrol,123,147,13.2,2798,126,178.86,71.5,56.65
SEAT,Petrol,148,184,13.2,2811,134,178.54,71.5,57.24
SEAT,Petrol,148,184,13.2,2811,134,178.86,71.5,56.65
SEAT,Petrol,109,129,13.2,2765,119,178.54,71.5,57.24
SEAT,Petrol,261,258,13.2,3075,155,178.54,71.5,56.46
SEAT,Petrol,276,258,13.2,3232,155,178.86,71.5,56.34
SEAT,Diesel,109,184,13.2,2822,124,178.54,71.5,57.24
SEAT,Diesel,89,169,13.2,2923,111,178.54,71.5,57.24
SEAT,Diesel,89,169,13.2,2923,111,178.54,71.5,57.24
SEAT,Diesel,89,169,13.2,2934,119,178.54,71.5,57.24
SEAT,Diesel,104,184,13.2,2934,119,178.54,71.5,57.24
SEAT,Diesel,104,184,13.2,2978,119,178.54,71.5,57.24
SEAT,Diesel,148,236,13.2,2976,134,178.54,71.5,57.24
SEAT,Diesel,148,236,13.2,2976,134,178.86,71.5,56.65
SEAT,Diesel,181,280,13.2,3120,142,178.86,71.5,56.65
SEAT,Diesel,109,184,13.2,2822,124,178.54,71.5,57.24
SEAT,Diesel,148,236,13.2,3250,131,178.54,71.5,57.24
SEAT,Diesel,109,184,13.2,2822,124,178.54,71.5,57.24
SEAT,Diesel,109,184,13.2,2822,124,178.54,71.5,57.24
SEAT,Petrol,138,184,13.2,2670,131,166.46,71.26,56.93
SEAT,Petrol,104,129,13.2,2679,119,166.46,71.26,56.93
SEAT,Petrol,85,118,13.2,2575,111,166.46,71.26,56.93
SEAT,Petrol,138,184,13.2,2670,131,166.77,71.26,56.34
SEAT,Petrol,120,147,13.2,2654,126,166.77,71.26,56.34
SEAT,Petrol,104,129,13.2,2621,119,166.46,71.26,56.93
SEAT,Petrol,85,118,13.2,2575,111,166.46,71.26,56.93
SEAT,Petrol,85,118,13.2,2575,111,166.46,71.26,56.93
