Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
VAUXHALL,Petrol,109,151,11.9,2842,116,165.83,71.85,63.19
VAUXHALL,Petrol,129,169,11.9,2809,128,165.83,71.85,63.19
VAUXHALL,Petrol,109,151,11.9,2745,117,165.83,71.85,63.19
VAUXHALL,Petrol,81,87,11.9,2588,106,165.83,71.85,63.19
VAUXHALL,Diesel,98,187,11.9,2842,112,165.83,71.85,63.19
VAUXHALL,Diesel,98,187,11.9,2842,112,165.83,71.85,63.19
VAUXHALL,Diesel,118,221,11.9,2908,116,165.83,71.85,63.19
VAUXHALL,Petrol,138,184,16.4,3175,131,192.8,73.35,57.28
VAUXHALL,Petrol,138,184,16.4,3210,132,192.8,73.35,57.28
VAUXHALL,Petrol,164,184,16.4,3175,138,192.8,73.35,57.28
VAUXHALL,Petrol,164,184,16.4,3245,135,192.8,73.35,57.28
VAUXHALL,Petrol,256,295,16.4,3635,155,192.8,73.35,57.28
VAUXHALL,Diesel,109,221,16.4,3314,127,192.8,73.35,57.28
VAUXHALL,Diesel,134,236,16.4,3314,131,192.8,73.35,57.28
VAUXHALL,Diesel,134,236,16.4,3355,126,192.8,73.35,57.28
VAUXHALL,Diesel,168,295,16.4,3488,140,192.8,73.35,57.28
VAUXHALL,Petrol,148,169,12.7,2915,134,185.12,73.66,59.45
VAUXHALL,Petrol,123,169,12.7,2915,127,185.12,73.66,59.45
VAUXHALL,Petrol,104,125,12.7,2840,121,185.12,73.66,59.45
VAUXHALL,Petrol,148,169,12.7,2976,131,185.12,73.66,59.45
VAUXHALL,Petrol,197,221,12.7,3071,146,185.12,73.66,59.45
VAUXHALL,Diesel,134,236,12.7,3093,127,185.12,73.66,59.45
VAUXHALL,Diesel,158,258,12.7,3164,137,185.12,73.66,59.45
VAUXHALL,Diesel,134,236,12.7,3142,124,185.12,73.66,59.45
VAUXHALL,Diesel,109,221,12.7,3093,121,185.12,73.66,59.45
VAUXHALL,Petrol,138,147,14,3186,116,168.31,70.12,65.28
VAUXHALL,Petrol,150,177,14,3265,120,168.31,70.12,65.28
VAUXHALL,Petrol,138,147,14,3106,119,168.31,70.12,65.28
VAUXHALL,Petrol,138,147,14,3073,122,168.31,70.12,65.28
VAUXHALL,Diesel,109,221,13.7,3194,112,168.31,70.12,65.28
VAUXHALL,Diesel,134,236,13.7,3223,117,168.31,70.12,65.28
VAUXHALL,Diesel,134,236,13.7,3316,116,168.31,70.12,65.28
VAUXHALL,Diesel,134,236,13.7,3194,118,168.31,70.12,65.28
VAUXHALL,Petrol,197,221,12.7,2976,146,172.05,73.66,58.46
VAUXHALL,Petrol,123,169,12.4,2818,127,172.05,73.66,58.46
VAUXHALL,Petrol,123,180,12.4,2818,127,172.05,73.66,58.46
VAUXHALL,Petrol,104,125,12.4,2784,124,172.05,73.66,58.46
VAUXHALL,Petrol,148,180,12.4,2818,134,172.05,73.66,58.46
VAUXHALL,Petrol,148,169,12.7,2884,131,172.05,73.66,58.46
VAUXHALL,Petrol,104,125,12.4,2784,124,172.05,73.66,58.46
VAUXHALL,Petrol,148,169,12.4,2818,134,172.05,73.66,58.46
VAUXHALL,Petrol,100,95,12.4,2818,115,172.05,73.66,58.46
VAUXHALL,Diesel,109,221,12.4,2976,121,172.05,73.66,58.46
VAUXHALL,Diesel,109,221,12.4,2976,121,172.05,73.66,58.46
VAUXHALL,Diesel,94,206,12.7,2943,115,172.05,73.66,58.46
VAUXHALL,Diesel,134,236,12.4,2976,127,172.05,73.66,58.46
VAUXHALL,Petrol,74,70,8.5,2070,106,144.69,63.15,58.11
VAUXHALL,Petrol,74,70,8.5,2070,106,144.69,63.15,58.11
VAUXHALL,Petrol,74,95,11.9,2515,104,158.31,68.35,58.23
VAUXHALL,Petrol,89,95,11.9,2515,109,158.31,68.35,58.23
VAUXHALL,Petrol,89,95,11.9,2515,109,158.31,68.35,58.23
VAUXHALL,Petrol,114,125,11.9,2564,121,158.31,68.35,58.23
VAUXHALL,Petrol,100,147,11.9,2643,115,158.31,68.35,58.23
VAUXHALL,Diesel,94,140,11.9,2643,113,158.31,68.35,58.23
VAUXHALL,Diesel,74,140,11.9,2643,102,158.31,68.35,58.23
VAUXHALL,Diesel,94,154,11.9,2727,110,158.31,68.35,58.23
VAUXHALL,Petrol,100,95,9.2,2502,115,147.52,67.72,58.78
VAUXHALL,Petrol,114,125,9.2,2549,122,147.52,67.72,58.78
VAUXHALL,Petrol,89,125,9.2,2549,112,147.52,67.72,58.78
VAUXHALL,Petrol,100,95,9.2,2502,115,147.52,67.72,58.78
VAUXHALL,Petrol,86,95,9.2,2502,109,147.52,67.72,58.78
VAUXHALL,Petrol,86,95,9.2,2502,109,147.52,67.72,58.78
VAUXHALL,Petrol,68,84,9.2,2394,103,147.52,67.72,58.78
VAUXHALL,Petrol,68,84,9.2,2394,103,147.52,67.72,58.78
VAUXHALL,Petrol,148,162,9.2,2597,131,147.52,67.72,58.43
VAUXHALL,Petrol,86,95,9.2,2502,109,147.52,67.72,58.78
VAUXHALL,Petrol,74,95,11.9,2564,104,158.31,68.74,58.31
VAUXHALL,Petrol,100,147,11.9,2727,115,158.31,68.74,58.31
VAUXHALL,Petrol,89,95,11.9,2564,109,158.31,68.74,58.31
VAUXHALL,Petrol,114,125,11.9,2643,121,158.31,68.74,58.31
VAUXHALL,Petrol,89,95,11.9,2564,109,158.31,68.74,58.31
VAUXHALL,Diesel,94,140,11.9,2727,113,158.31,68.74,58.31
VAUXHALL,Diesel,94,154,11.9,2776,110,158.31,68.74,58.31
VAUXHALL,Petrol,247,295,18.5,4063,143,193.7,73.07,60.08
VAUXHALL,Petrol,247,295,18.5,4063,146,193.7,73.07,60.08
VAUXHALL,Diesel,161,280,18.5,4063,127,193.7,73.07,60.08
VAUXHALL,Diesel,161,280,18.5,4063,124,193.7,73.07,60.08
VAUXHALL,Diesel,191,295,18.5,4063,131,193.7,73.07,60.08
VAUXHALL,Diesel,168,295,18.5,4063,134,193.7,73.07,60.08
VAUXHALL,Diesel,168,295,18.5,3821,137,193.7,73.07,60.08
VAUXHALL,Diesel,168,295,18.5,4253,134,193.7,73.07,60.08
VAUXHALL,Petrol,68,84,10,2394,103,145.59,67.72,58.43
VAUXHALL,Petrol,100,95,10,2502,115,145.59,67.72,58.43
VAUXHALL,Petrol,86,95,10,2502,109,145.59,67.72,58.43
VAUXHALL,Petrol,68,84,9.2,2394,103,145.59,67.72,58.43
VAUXHALL,Petrol,86,95,9.2,2502,109,145.59,67.72,58.43
VAUXHALL,Petrol,100,95,9.2,2502,115,145.59,67.72,58.43
VAUXHALL,Petrol,86,95,9.2,2502,109,145.59,67.72,58.43
VAUXHALL,Petrol,100,95,9.2,2502,115,145.59,67.72,58.43
VAUXHALL,Petrol,168,206,14.8,3821,138,184.88,72.4,56.81
VAUXHALL,Petrol,118,162,14.8,3750,121,184.88,72.4,56.81
VAUXHALL,Petrol,138,162,14.8,3750,129,184.88,72.4,56.81
VAUXHALL,Petrol,168,206,14.8,3821,136,184.88,72.4,56.81
VAUXHALL,Petrol,138,162,14.8,3750,129,184.88,72.4,56.81
VAUXHALL,Petrol,197,221,14.8,3821,146,184.88,72.4,56.81
VAUXHALL,Diesel,191,295,14.8,4004,143,184.88,72.4,56.81
VAUXHALL,Diesel,163,280,14.8,4004,135,184.88,72.4,56.81
VAUXHALL,Diesel,168,295,14.8,4004,135,184.88,72.4,56.81
VAUXHALL,Petrol,321,320,18.5,4306,155,193.43,73.07,59.57
VAUXHALL,Petrol,247,295,18.5,4063,149,193.43,73.15,59.84
VAUXHALL,Petrol,138,162,18.5,3578,124,193.43,73.15,59.84
VAUXHALL,Petrol,138,162,18.5,3556,124,193.43,73.15,59.84
VAUXHALL,Petrol,321,320,18.5,4277,155,193.43,73.07,59.57
