Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
VOLVO,Petrol,317,295,18.8,4464,143,194.88,76.02,69.88
VOLVO,Petrol,317,295,18.8,4464,143,194.88,76.02,69.88
VOLVO,Diesel,221,346,18.8,4475,137,194.88,76.02,69.88
VOLVO,Diesel,221,346,18.8,4475,137,194.88,76.02,69.88
VOLVO,Diesel,221,346,18.8,4475,137,194.88,76.02,69.88
VOLVO,Petrol,301,324,18.5,4295,131,190.47,73.86,63.15
VOLVO,Petrol,301,324,18.5,4295,131,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4079,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4226,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4257,121,190.47,73.86,63.15
VOLVO,Diesel,212,309,18.5,4224,131,190.47,73.86,63.15
VOLVO,Diesel,212,324,18.5,4257,127,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4032,127,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4032,127,190.47,73.86,63.15
VOLVO,Diesel,212,324,18.5,4257,127,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4079,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4226,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4257,121,190.47,73.86,63.15
VOLVO,Diesel,212,309,18.5,4224,131,190.47,73.86,63.15
VOLVO,Diesel,212,324,18.5,4257,127,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4032,127,190.47,73.86,63.15
VOLVO,Diesel,161,295,18.5,4079,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4226,124,190.47,73.86,63.15
VOLVO,Diesel,161,309,18.5,4257,121,190.47,73.86,63.15
VOLVO,Diesel,212,309,18.5,4224,131,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4257,124,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4200,127,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4257,124,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4200,127,190.47,73.86,63.15
VOLVO,Diesel,217,324,18.5,4178,131,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4257,124,190.47,73.86,63.15
VOLVO,Diesel,179,309,18.5,4200,127,190.47,73.86,63.15
