Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
ACURA,Petrol,243 PS or 240 bhp or 179 kW @ 6000 rpm,350 Nm or 258 lb.ft @ 4500 rpm,68 L 15 UK gallons 18 US gallons,1783 kgOR3931 lbs,- km/h or - Mph,463.5 cm or 182.48 inches,187 cmor 73.62 inches,165.5 cmor 65.16 inches,AWD
ACURA,Petrol,243 PS or 240 bhp or 179 kW @ 6000 rpm,350 Nm or 258 lb.ft @ 4500 rpm,68 L 15 UK gallons 18 US gallons,1698 kgOR3743 lbs,- km/h or - Mph,463.5 cm or 182.48 inches,187 cmor 73.62 inches,165.5 cmor 65.16 inches,FWD
ACURA,Petrol,304 PS or 300 bhp or 224 kW @ 6300 rpm,366.0 Nm or 269 lb.ft @ 6300 rpm,79.5 L 17.4 UK gallons 20.9 US gallons,2007 kgOR4425 lbs,- km/h or - Mph,488.7 cm or 192.4 inches,199.3 cmor 78.46 inches,159.6 cmor 62.83 inches,AWD
ACURA,Petrol,284 PS or 280 bhp or 209 kW @ 6200 rpm,345.0 Nm or 254 lb.ft @ 6200 rpm,70 L 15.4 UK gallons 18.5 US gallons,1688 kgOR3721 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,188 cmor 74.02 inches,145.2 cmor 57.17 inches,FWD
ACURA,Petrol,309 PS or 305 bhp or 227 kW @ 6300 rpm,370.0 Nm or 272 lb.ft @ 6300 rpm,70 L 15.4 UK gallons 18.5 US gallons,1797 kgOR3962 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,188 cmor 74.02 inches,145.2 cmor 57.17 inches,AWD
ACURA,Petrol,309 PS or 305 bhp or 227 kW @ 6300 rpm,370.0 Nm or 272 lb.ft @ 6300 rpm,70 L 15.4 UK gallons 18.5 US gallons,1764 kgOR3889 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,188 cmor 74.02 inches,145.2 cmor 57.17 inches,AWD
ACURA,Petrol,204 PS or 201 bhp or 150 kW @ 7000 rpm,233.0 Nm or 171 lb.ft @ 7000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1549 kgOR3415 lbs,- km/h or - Mph,472.6 cm or 186.06 inches,184 cmor 72.44 inches,144 cmor 56.69 inches,FWD
ACURA,Petrol,204 PS or 201 bhp or 150 kW @ 7000 rpm,231.0 Nm or 170 lb.ft @ 7000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1581 kgOR3486 lbs,- km/h or - Mph,472.6 cm or 186.06 inches,184 cmor 72.44 inches,144 cmor 56.69 inches,FWD
ACURA,Petrol,284 PS or 280 bhp or 209 kW @ 6200 rpm,345.0 Nm or 254 lb.ft @ 6200 rpm,70 L 15.4 UK gallons 18.5 US gallons,1669 kgOR3680 lbs,- km/h or - Mph,472.6 cm or 186.06 inches,184 cmor 72.44 inches,144 cmor 56.69 inches,FWD
ACURA,Petrol,204 PS or 201 bhp or 150 kW @ 7000 rpm,233.0 Nm or 171 lb.ft @ 7000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1542 kgOR3400 lbs,- km/h or - Mph,471.5 cm or 185.63 inches,184 cmor 72.44 inches,144 cmor 56.69 inches,FWD
