Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
AUDI,Petrol,190 PS or 187 bhp or 140 kW @ 4200-6000 rpm,320 Nm or 236 lb.ft @ 1450-4200 rpm,54 L 11.9 UK gallons 14.3 US gallons,1675 kgOR3693 lbs,239 km/h or 149 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,FWD
AUDI,Petrol,190 PS or 187 bhp or 140 kW @ 4200-6000 rpm,320 Nm or 236 lb.ft @ 1450-4200 rpm,54 L 11.9 UK gallons 14.3 US gallons,1705 kgOR3759 lbs,237 km/h or 147 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,FWD
AUDI,Petrol,252 PS or 249 bhp or 185 kW @ 5000-6000 rpm,370 Nm or 272 lb.ft @ 1600-4500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1725 kgOR3803 lbs,250 km/h or 155 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,FWD
AUDI,Petrol,252 PS or 249 bhp or 185 kW @ 5000-6000 rpm,370 Nm or 272 lb.ft @ 1600-4500 rpm,58 L 12.8 UK gallons 15.3 US gallons,1785 kgOR3935 lbs,250 km/h or 155 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,AWD
AUDI,Petrol,354 PS or 349 bhp or 260 kW @ 5400-6400 rpm,500 Nm or 368 lb.ft @ 1370-4500 rpm,58 L 12.8 UK gallons 15.3 US gallons,1915 kgOR4222 lbs,250 km/h or 155 Mph,469.2 cm or 184.72 inches,184.6 cmor 72.68 inches,138.2 cmor 54.41 inches,AWD
AUDI,Diesel,190 PS or 187 bhp or 140 kW @ 3800-4200 rpm,400 Nm or 295 lb.ft @ 1750-3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1765 kgOR3891 lbs,232 km/h or 144 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,FWD
AUDI,Diesel,190 PS or 187 bhp or 140 kW @ 3800-4200 rpm,400 Nm or 295 lb.ft @ 1750-3000 rpm,58 L 12.8 UK gallons 15.3 US gallons,1840 kgOR4057 lbs,233 km/h or 145 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,AWD
AUDI,Diesel,218 PS or 215 bhp or 160 kW @ 4000-5000 rpm,400 Nm or 295 lb.ft @ 1250-3750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1825 kgOR4023 lbs,246 km/h or 153 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,FWD
AUDI,Diesel,218 PS or 215 bhp or 160 kW @ 4000-5000 rpm,400 Nm or 295 lb.ft @ 1250-3750 rpm,58 L 12.8 UK gallons 15.3 US gallons,1895 kgOR4178 lbs,241 km/h or 150 Mph,467.3 cm or 183.98 inches,184.6 cmor 72.68 inches,138.3 cmor 54.45 inches,AWD
AUDI,Petrol,354 PS or 349 bhp or 260 kW @ 5400-6400 rpm,500 Nm or 368 lb.ft @ 1370-4500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1945 kgOR4288 lbs,250 km/h or 155 Mph,467.1 cm or 183.9 inches,189.3 cmor 74.53 inches,163.5 cmor 64.37 inches,AWD
