Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
BENTLEY,Petrol,513 PS or 506 bhp or 377 kW @ 4200 rpm,1020 Nm or 752 lb.ft @ 1750 rpm,96 L 21.1 UK gallons 25.4 US gallons,2760 kgOR6085 lbs,296 km/h or 184 Mph,557.5 cm or 219.49 inches,192.6 cmor 75.83 inches,152.1 cmor 59.88 inches,RWD
BENTLEY,Petrol,513 PS or 506 bhp or 377 kW @ 4000 rpm,1020 Nm or 752 lb.ft @ 1750 rpm,96 L 21.1 UK gallons 25.4 US gallons,2730 kgOR6019 lbs,296 km/h or 184 Mph,582.5 cm or 229.33 inches,192.6 cmor 75.83 inches,154.1 cmor 60.67 inches,RWD
BENTLEY,Petrol,537 PS or 530 bhp or 395 kW @ 4000 rpm,1100 Nm or 811 lb.ft @ 1750 rpm,96 L 21.1 UK gallons 25.4 US gallons,2685 kgOR5919 lbs,305 km/h or 190 Mph,557.5 cm or 219.49 inches,192.6 cmor 75.83 inches,152.1 cmor 59.88 inches,RWD
BENTLEY,Petrol,608 PS or 600 bhp or 447 kW @ 5250-6000 rpm,900 Nm or 663 lb.ft @ 1250-4500 rpm,85 L 18.7 UK gallons 22.5 US gallons,2422 kgOR5340 lbs,301 km/h or 187 Mph,514.1 cm or 202.4 inches,199.8 cmor 78.66 inches,174.2 cmor 68.58 inches,AWD
BENTLEY,Petrol,608 PS or 600 bhp or 447 kW @ 5250-6000 rpm,900 Nm or 663 lb.ft @ 1250-4500 rpm,85 L 18.7 UK gallons 22.5 US gallons,2422 kgOR5340 lbs,301 km/h or 187 Mph,514.1 cm or 202.4 inches,199.8 cmor 78.66 inches,174.2 cmor 68.58 inches,AWD
BENTLEY,Diesel,435 PS or 429 bhp or 320 kW @ 3750-5000 rpm,900 Nm or 663 lb.ft @ 1000-3250 rpm,85 L 18.7 UK gallons 22.5 US gallons,2390 kgOR5269 lbs,270 km/h or 168 Mph,514 cm or 202.36 inches,199.8 cmor 78.66 inches,174.2 cmor 68.58 inches,AWD
BENTLEY,Diesel,435 PS or 429 bhp or 320 kW @ 3750-5000 rpm,900 Nm or 663 lb.ft @ 1000-3250 rpm,85 L 18.7 UK gallons 22.5 US gallons,2538 kgOR5595 lbs,270 km/h or 168 Mph,514 cm or 202.36 inches,199.8 cmor 78.66 inches,174.2 cmor 68.58 inches,AWD
BENTLEY,Petrol,590 PS or 582 bhp or 434 kW @ 6000 rpm,720 Nm or 531 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2395 kgOR5280 lbs,319 km/h or 198 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol,507 PS or 500 bhp or 373 kW @ 6000 rpm,660 Nm or 486 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2370 kgOR5225 lbs,303 km/h or 188 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol,529 PS or 522 bhp or 389 kW @ 6000 rpm,680 Nm or 501 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2370 kgOR5225 lbs,309 km/h or 192 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol,710 PS or 700 bhp or 522 kW @ 6000 rpm,1017 Nm or 750 lb.ft @ 2050-4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,2280 kgOR5027 lbs,336 km/h or 209 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.4 cmor 54.88 inches,AWD
BENTLEY,Petrol,575 PS or 567 bhp or 423 kW @ 6000 rpm,700 Nm or 516 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2395 kgOR5280 lbs,316 km/h or 196 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol,507 PS or 500 bhp or 373 kW @ 6000 rpm,660 Nm or 486 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2545 kgOR5611 lbs,301 km/h or 187 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,140.3 cmor 55.24 inches,AWD
BENTLEY,Petrol,529 PS or 522 bhp or 389 kW @ 6000 rpm,680 Nm or 501 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2545 kgOR5611 lbs,308 km/h or 191 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,140.3 cmor 55.24 inches,AWD
BENTLEY,Petrol,635 PS or 626 bhp or 467 kW @ 6000 rpm,820 Nm or 604 lb.ft @ 2000 rpm,90 L 19.8 UK gallons 23.8 US gallons,2545 kgOR5611 lbs,327 km/h or 203 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.3 cmor 54.84 inches,AWD
BENTLEY,Petrol,710 PS or 700 bhp or 522 kW @ 6000 rpm,1017 Nm or 750 lb.ft @ 2050-4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,2455 kgOR5412 lbs,330 km/h or 205 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.3 cmor 54.84 inches,AWD
BENTLEY,Petrol,625 PS or 617 bhp or 460 kW @ 6000 rpm,800 Nm or 590 lb.ft @ 2000 rpm,90 L 19.8 UK gallons 23.8 US gallons,2574 kgOR5675 lbs,320 km/h or 199 Mph,529.5 cm or 208.46 inches,197.6 cmor 77.8 inches,148.8 cmor 58.58 inches,AWD
BENTLEY,Petrol,507 PS or 500 bhp or 373 kW @ 6000 rpm,660 Nm or 486 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2500 kgOR5512 lbs,295 km/h or 183 Mph,529.9 cm or 208.62 inches,192.4 cmor 75.75 inches,148.8 cmor 58.58 inches,AWD
BENTLEY,Petrol,625 PS or 617 bhp or 460 kW @ 6000 rpm,800 Nm or 590 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2550 kgOR5622 lbs,320 km/h or 199 Mph,529.5 cm or 208.46 inches,197.6 cmor 77.8 inches,148.8 cmor 58.58 inches,AWD
BENTLEY,Petrol or Ethanol,575 PS or 567 bhp or 423 kW @ 6000 rpm,700 Nm or 516 lb.ft @ 1700 rpm,,2495 kgOR5501 lbs,314 km/h or 195 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.3 cmor 55.24 inches,AWD
BENTLEY,Petrol or Ethanol,625 PS or 617 bhp or 460 kW @ 6000 rpm,800 Nm or 590 lb.ft @ 2000 rpm,,2570 kgOR5666 lbs,325 km/h or 202 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.3 cmor 54.84 inches,AWD
BENTLEY,Petrol or Ethanol,635 PS or 626 bhp or 467 kW @ 6000 rpm,820 Nm or 604 lb.ft @ 1700 rpm,,- kgOR- lbs,331 km/h or 206 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,139.3 cmor 54.84 inches,AWD
BENTLEY,Petrol,507 PS or 500 bhp or 373 kW @ 6000 rpm,660 Nm or 486 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2545 kgOR5611 lbs,301 km/h or 187 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.3 cmor 55.24 inches,AWD
BENTLEY,Petrol,529 PS or 522 bhp or 389 kW @ 6000 rpm,680 Nm or 501 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2545 kgOR5611 lbs,308 km/h or 191 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol or Ethanol,575 PS or 567 bhp or 423 kW @ 6000 rpm,700 Nm or 516 lb.ft @ 1700 rpm,,2395 kgOR5280 lbs,318 km/h or 198 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol or Ethanol,635 PS or 626 bhp or 467 kW @ 6000 rpm,820 Nm or 604 lb.ft @ 1700 rpm,,2395 kgOR5280 lbs,331 km/h or 206 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,139.4 cmor 54.88 inches,AWD
BENTLEY,Petrol,507 PS or 500 bhp or 373 kW @ 6000 rpm,660 Nm or 486 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2370 kgOR5225 lbs,303 km/h or 188 Mph,480.6 cm or 189.21 inches,194.3 cmor 76.5 inches,140.4 cmor 55.28 inches,AWD
BENTLEY,Petrol,529 PS or 522 bhp or 389 kW @ 6000 rpm,680 Nm or 501 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2370 kgOR5225 lbs,309 km/h or 192 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.4 cmor 54.88 inches,AWD
BENTLEY,Petrol,579 PS or 571 bhp or 426 kW @ 6000 rpm,700 Nm or 516 lb.ft @ 1700 rpm,90 L 19.8 UK gallons 23.8 US gallons,2270 kgOR5004 lbs,273 km/h or 170 Mph,480.6 cm or 189.21 inches,194.4 cmor 76.54 inches,139.4 cmor 54.88 inches,AWD
