Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,290 Nm or 213 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1775 kgOR3913 lbs,230 km/h or 143 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1925 kgOR4244 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.9 cmor 55.08 inches,AWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1845 kgOR4068 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1880 kgOR4145 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.9 cmor 55.08 inches,AWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1810 kgOR3990 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1785 kgOR3935 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,270 Nm or 199 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1790 kgOR3946 lbs,230 km/h or 143 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1790 kgOR3946 lbs,228 km/h or 142 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Diesel,258 PS or 254 bhp or 190 kW @ 4000 rpm,560 Nm or 413 lb.ft @ 1500-3000 rpm,57 L 12.5 UK gallons 15.1 US gallons,1845 kgOR4068 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Diesel,313 PS or 309 bhp or 230 kW @ 4400 rpm,630 Nm or 464 lb.ft @ 1500-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1925 kgOR4244 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.9 cmor 55.08 inches,AWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1775 kgOR3913 lbs,235 km/h or 146 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,138.4 cmor 54.49 inches,RWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,290 Nm or 213 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1550 kgOR3417 lbs,236 km/h or 147 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1700 kgOR3748 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1685 kgOR3715 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1630 kgOR3594 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,326 PS or 322 bhp or 240 kW @ 5500 rpm,450 Nm or 331 lb.ft @ 1380-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1650 kgOR3638 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1585 kgOR3494 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,460 PS or 454 bhp or 338 kW @ 6250 rpm,600 Nm or 442 lb.ft @ 4000-5380 rpm,60 L 13.2 UK gallons 15.9 US gallons,1655 kgOR3649 lbs,280 km/h or 174 Mph,467.2 cm or 183.94 inches,187 cmor 73.62 inches,139.2 cmor 54.8 inches,RWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,270 Nm or 199 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1570 kgOR3461 lbs,236 km/h or 147 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,270 Nm or 199 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1635 kgOR3605 lbs,233 km/h or 145 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,270 Nm or 199 lb.ft @ 1350-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1645 kgOR3627 lbs,231 km/h or 144 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1565 kgOR3450 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1550 kgOR3417 lbs,240 km/h or 149 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1615 kgOR3560 lbs,236 km/h or 147 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1635 kgOR3605 lbs,230 km/h or 143 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Diesel,258 PS or 254 bhp or 190 kW @ 4000 rpm,560 Nm or 413 lb.ft @ 1500-3000 rpm,57 L 12.5 UK gallons 15.1 US gallons,1615 kgOR3560 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Diesel,258 PS or 254 bhp or 190 kW @ 4000 rpm,560 Nm or 413 lb.ft @ 1500-3000 rpm,57 L 12.5 UK gallons 15.1 US gallons,1690 kgOR3726 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Diesel,313 PS or 309 bhp or 230 kW @ 4400 rpm,630 Nm or 464 lb.ft @ 1500-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1700 kgOR3748 lbs,250 km/h or 155 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,139.2 cmor 54.8 inches,AWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1575 kgOR3472 lbs,232 km/h or 144 Mph,464 cm or 182.68 inches,182.5 cmor 71.85 inches,137.7 cmor 54.21 inches,RWD
BMW,Petrol,136 PS or 134 bhp or 100 kW @ 4400 rpm,220 Nm or 162 lb.ft @ 1250-4300 rpm,52 L 11.4 UK gallons 13.7 US gallons,1575 kgOR3472 lbs,207 km/h or 129 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Petrol,340 PS or 335 bhp or 250 kW @ 5500 rpm,500 Nm or 368 lb.ft @ 1520-4500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1760 kgOR3880 lbs,250 km/h or 155 Mph,445.4 cm or 175.35 inches,177.4 cmor 69.84 inches,140.3 cmor 55.24 inches,AWD
BMW,Petrol,340 PS or 335 bhp or 250 kW @ 5500 rpm,500 Nm or 368 lb.ft @ 1520-4500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1710 kgOR3770 lbs,250 km/h or 155 Mph,445.4 cm or 175.35 inches,177.4 cmor 69.84 inches,140.3 cmor 55.24 inches,RWD
BMW,Petrol,340 PS or 335 bhp or 250 kW @ 5500 rpm,500 Nm or 368 lb.ft @ 1520-4500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1695 kgOR3737 lbs,250 km/h or 155 Mph,445.4 cm or 175.35 inches,177.4 cmor 69.84 inches,140.3 cmor 55.24 inches,RWD
BMW,Petrol,252 PS or 249 bhp or 185 kW @ 5200 rpm,350 Nm or 258 lb.ft @ 1450-4800 rpm,52 L 11.4 UK gallons 13.7 US gallons,1650 kgOR3638 lbs,250 km/h or 155 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Petrol,184 PS or 181 bhp or 135 kW @ 5000 rpm,270 Nm or 199 lb.ft @ 1350-4600 rpm,52 L 11.4 UK gallons 13.7 US gallons,1615 kgOR3560 lbs,226 km/h or 140 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Petrol,136 PS or 134 bhp or 100 kW @ 4400 rpm,220 Nm or 162 lb.ft @ 1250-4300 rpm,52 L 11.4 UK gallons 13.7 US gallons,1595 kgOR3516 lbs,205 km/h or 127 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1500-3000 rpm,52 L 11.4 UK gallons 13.7 US gallons,1600 kgOR3527 lbs,208 km/h or 129 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1500-3000 rpm,52 L 11.4 UK gallons 13.7 US gallons,1615 kgOR3560 lbs,205 km/h or 127 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1615 kgOR3560 lbs,225 km/h or 140 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1635 kgOR3605 lbs,225 km/h or 140 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Diesel,224 PS or 221 bhp or 165 kW @ 4400 rpm,450 Nm or 331 lb.ft @ 1500-3000 rpm,52 L 11.4 UK gallons 13.7 US gallons,1655 kgOR3649 lbs,235 km/h or 146 Mph,443.2 cm or 174.49 inches,177.4 cmor 69.84 inches,141.3 cmor 55.63 inches,RWD
BMW,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,465 Nm or 342 lb.ft @ 1400-5560 rpm,52 L 11.4 UK gallons 13.7 US gallons,1570 kgOR3461 lbs,250 km/h or 155 Mph,446.8 cm or 175.91 inches,185.4 cmor 72.99 inches,141 cmor 55.51 inches,RWD
BMW,Petrol,340 PS or 335 bhp or 250 kW @ 5500 rpm,500 Nm or 368 lb.ft @ 1520-4500 rpm,52 L 11.4 UK gallons 13.7 US gallons,1615 kgOR3560 lbs,250 km/h or 155 Mph,445.4 cm or 175.35 inches,177.4 cmor 69.84 inches,140.8 cmor 55.43 inches,AWD
