Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,61 L 13.4 UK gallons 16.1 US gallons,- kgOR- lbs,- km/h or - Mph,466.3 cm or 183.58 inches,184.1 cmor 72.48 inches,139.2 cmor 54.8 inches,RWD
CADILLAC,Petrol,325 PS or 321 bhp or 239 kW @ 6800 rpm,373 Nm or 275 lb.ft @ 4800 rpm,61 L 13.4 UK gallons 16.1 US gallons,- kgOR- lbs,- km/h or - Mph,466.3 cm or 183.58 inches,184.1 cmor 72.48 inches,139.2 cmor 54.8 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,63 L 13.9 UK gallons 16.6 US gallons,1602 kgOR3532 lbs,240 km/h or 149 Mph,463.3 cm or 182.4 inches,184.1 cmor 72.48 inches,139.9 cmor 55.08 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,63 L 13.9 UK gallons 16.6 US gallons,1602 kgOR3532 lbs,240 km/h or 149 Mph,463.3 cm or 182.4 inches,184.1 cmor 72.48 inches,139.9 cmor 55.08 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,63 L 13.9 UK gallons 16.6 US gallons,1602 kgOR3532 lbs,240 km/h or 149 Mph,463.3 cm or 182.4 inches,184.1 cmor 72.48 inches,139.9 cmor 55.08 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,63 L 13.9 UK gallons 16.6 US gallons,1674 kgOR3691 lbs,230 km/h or 143 Mph,463.3 cm or 182.4 inches,184.1 cmor 72.48 inches,139.9 cmor 55.08 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,63 L 13.9 UK gallons 16.6 US gallons,1674 kgOR3691 lbs,230 km/h or 143 Mph,463.3 cm or 182.4 inches,184.1 cmor 72.48 inches,139.9 cmor 55.08 inches,AWD
CADILLAC,Petrol,461 PS or 455 bhp or 339 kW @ 5750 rpm,603 Nm or 444 lb.ft @ 3500 rpm,63 L 13.9 UK gallons 16.6 US gallons,- kgOR- lbs,304 km/h or 189 Mph,469.1 cm or 184.69 inches,184.1 cmor 72.48 inches,138.4 cmor 54.49 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1711 kgOR3772 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1711 kgOR3772 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1711 kgOR3772 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1711 kgOR3772 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1640 kgOR3616 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1640 kgOR3616 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1700-5500 rpm,72 L 15.8 UK gallons 19 US gallons,1640 kgOR3616 lbs,- km/h or - Mph,496.6 cm or 195.51 inches,183.3 cmor 72.17 inches,145.4 cmor 57.24 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1709 kgOR3768 lbs,240 km/h or 149 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1709 kgOR3768 lbs,240 km/h or 149 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1709 kgOR3768 lbs,240 km/h or 149 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1782 kgOR3929 lbs,230 km/h or 143 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1782 kgOR3929 lbs,230 km/h or 143 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1782 kgOR3929 lbs,230 km/h or 143 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,AWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1782 kgOR3929 lbs,230 km/h or 143 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,AWD
CADILLAC,Petrol,649 PS or 640 bhp or 477 kW @ 6400 rpm,855 Nm or 630 lb.ft @ 3600 rpm,72 L 15.8 UK gallons 19 US gallons,- kgOR- lbs,320 km/h or 199 Mph,502.1 cm or 197.68 inches,183.4 cmor 72.2 inches,- cmor - inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 3000-4600 rpm,72 L 15.8 UK gallons 19 US gallons,1709 kgOR3768 lbs,240 km/h or 149 Mph,496.6 cm or 195.51 inches,183.4 cmor 72.2 inches,143.8 cmor 56.61 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,353 Nm or 260 lb.ft @ 1700-5500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1559 kgOR3437 lbs,240 km/h or 149 Mph,464.4 cm or 182.83 inches,180.5 cmor 71.06 inches,142.7 cmor 56.18 inches,RWD
CADILLAC,Petrol,276 PS or 272 bhp or 203 kW @ 5500 rpm,353 Nm or 260 lb.ft @ 1700-5500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1617 kgOR3565 lbs,230 km/h or 143 Mph,464.4 cm or 182.83 inches,180.5 cmor 71.06 inches,142.7 cmor 56.18 inches,AWD
