Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
CHEVROLET,Petrol,455 PS or 449 bhp or 335 kW @ -- rpm,610 Nm or 449 lb.ft @ -- rpm,,- kgOR- lbs,- km/h or - Mph,449.5 cm or 176.97 inches,187.7 cmor 73.9 inches,123.5 cmor 48.62 inches,RWD
CHEVROLET,Petrol,455 PS or 449 bhp or 335 kW @ -- rpm,610 Nm or 449 lb.ft @ -- rpm,,- kgOR- lbs,- km/h or - Mph,449.5 cm or 176.97 inches,187.7 cmor 73.9 inches,123.5 cmor 48.62 inches,RWD
CHEVROLET,Petrol,466 PS or 460 bhp or 343 kW @ 6000 rpm,630 Nm or 464 lb.ft @ 4600 rpm,70 L 15.4 UK gallons 18.5 US gallons,- kgOR- lbs,- km/h or - Mph,449.3 cm or 176.89 inches,187.7 cmor 73.9 inches,123.5 cmor 48.62 inches,RWD
CHEVROLET,Petrol,634 PS or 625 bhp or 466 kW @ -- rpm,- Nm or - lb.ft @ -- rpm,70 L 15.4 UK gallons 18.5 US gallons,- kgOR- lbs,- km/h or - Mph,449.2 cm or 176.85 inches,192.9 cmor 75.94 inches,123.5 cmor 48.62 inches,RWD
CHEVROLET,Petrol,634 PS or 625 bhp or 466 kW @ -- rpm,- Nm or - lb.ft @ -- rpm,70 L 15.4 UK gallons 18.5 US gallons,- kgOR- lbs,- km/h or - Mph,449.2 cm or 176.85 inches,192.9 cmor 75.94 inches,123.5 cmor 48.62 inches,RWD
CHEVROLET,Petrol,432 PS or 426 bhp or 318 kW @ 5900 rpm,569 Nm or 419 lb.ft @ 4600 rpm,72 L 15.8 UK gallons 19 US gallons,1844 kgOR4065 lbs,250 km/h or 155 Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,136 cmor 53.54 inches,RWD
CHEVROLET,Petrol,405 PS or 399 bhp or 298 kW @ 5900 rpm,556 Nm or 410 lb.ft @ 4300 rpm,72 L 15.8 UK gallons 19 US gallons,1870 kgOR4123 lbs,250 km/h or 155 Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,136 cmor 53.54 inches,RWD
CHEVROLET,Petrol,432 PS or 426 bhp or 318 kW @ 5900 rpm,569 Nm or 419 lb.ft @ 4600 rpm,72 L 15.8 UK gallons 19 US gallons,1965 kgOR4332 lbs,250 km/h or 155 Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,137.9 cmor 54.29 inches,RWD
CHEVROLET,Petrol,405 PS or 399 bhp or 298 kW @ 5900 rpm,556 Nm or 410 lb.ft @ 4300 rpm,72 L 15.8 UK gallons 19 US gallons,1995 kgOR4398 lbs,250 km/h or 155 Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,137.9 cmor 54.29 inches,RWD
CHEVROLET,Petrol,315 PS or 311 bhp or 232 kW @ 6400 rpm,370 Nm or 272 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1766 kgOR3893 lbs,- km/h or - Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,136 cmor 53.54 inches,RWD
CHEVROLET,Petrol,315 PS or 311 bhp or 232 kW @ 6400 rpm,370 Nm or 272 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1887 kgOR4160 lbs,- km/h or - Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,137.9 cmor 54.29 inches,RWD
CHEVROLET,Petrol,315 PS or 311 bhp or 232 kW @ 6400 rpm,370 Nm or 272 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1762 kgOR3885 lbs,- km/h or - Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,136 cmor 53.54 inches,RWD
CHEVROLET,Petrol,315 PS or 311 bhp or 232 kW @ 6400 rpm,370 Nm or 272 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1883 kgOR4151 lbs,- km/h or - Mph,483.7 cm or 190.43 inches,191.7 cmor 75.47 inches,137.9 cmor 54.29 inches,RWD
CHEVROLET,Petrol,77 PS or 76 bhp or 57 kW @ 6400 rpm,93.0 Nm or 68 lb.ft @ 6400 rpm,54 L 11.9 UK gallons 14.3 US gallons,905 kgOR1995 lbs,165 km/h or 103 Mph,415.2 cm or 163.46 inches,160.8 cmor 63.31 inches,143.6 cmor 56.54 inches,FWD
CHEVROLET,Petrol,167 PS or 165 bhp or 123 kW @ 5800 rpm,225 Nm or 165 lb.ft @ 4600 rpm,73 L 16.1 UK gallons 19.3 US gallons,1595 kgOR3516 lbs,204 km/h or 127 Mph,486.5 cm or 191.54 inches,185.5 cmor 73.03 inches,146.5 cmor 57.68 inches,FWD
CHEVROLET,Petrol,167 PS or 165 bhp or 123 kW @ 5800 rpm,225 Nm or 165 lb.ft @ 4600 rpm,73 L 16.1 UK gallons 19.3 US gallons,1614 kgOR3558 lbs,206 km/h or 128 Mph,486.5 cm or 191.54 inches,185.5 cmor 73.03 inches,146.5 cmor 57.68 inches,FWD
CHEVROLET,Diesel,160 PS or 158 bhp or 118 kW @ 4000 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,73 L 16.1 UK gallons 19.3 US gallons,- kgOR- lbs,206 km/h or 128 Mph,486.5 cm or 191.54 inches,185.5 cmor 73.03 inches,146.5 cmor 57.68 inches,FWD
CHEVROLET,Diesel,160 PS or 158 bhp or 118 kW @ 4000 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,73 L 16.1 UK gallons 19.3 US gallons,- kgOR- lbs,206 km/h or 128 Mph,486.5 cm or 191.54 inches,185.5 cmor 73.03 inches,146.5 cmor 57.68 inches,FWD
CHEVROLET,Diesel,160 PS or 158 bhp or 118 kW @ 4000 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,73 L 16.1 UK gallons 19.3 US gallons,- kgOR- lbs,204 km/h or 127 Mph,486.5 cm or 191.54 inches,185.5 cmor 73.03 inches,146.5 cmor 57.68 inches,FWD
CHEVROLET,Petrol,77 PS or 76 bhp or 57 kW @ 6400 rpm,93.0 Nm or 68 lb.ft @ 6400 rpm,54 L 11.9 UK gallons 14.3 US gallons,921 kgOR2030 lbs,162 km/h or 101 Mph,412.7 cm or 162.48 inches,164.5 cmor 64.76 inches,146.8 cmor 57.8 inches,FWD
CHEVROLET,Petrol,95 PS or 94 bhp or 70 kW @ 6000 rpm,129.0 Nm or 95 lb.ft @ 6000 rpm,54 L 11.9 UK gallons 14.3 US gallons,905 kgOR1995 lbs,178 km/h or 111 Mph,412.7 cm or 162.48 inches,164.5 cmor 64.76 inches,146.3 cmor 57.6 inches,FWD
CHEVROLET,Petrol,69 PS or 68 bhp or 51 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1145 kgOR2524 lbs,162 km/h or 101 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1200 kgOR2646 lbs,175 km/h or 109 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1185 kgOR2612 lbs,175 km/h or 109 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,86 PS or 85 bhp or 63 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1160 kgOR2557 lbs,171 km/h or 106 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1158 kgOR2553 lbs,177 km/h or 110 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,86 PS or 85 bhp or 63 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1135 kgOR2502 lbs,183 km/h or 114 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,116 PS or 114 bhp or 85 kW @ 6000 rpm,155 Nm or 114 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1258 kgOR2773 lbs,186 km/h or 116 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,116 PS or 114 bhp or 85 kW @ 6000 rpm,155 Nm or 114 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1243 kgOR2740 lbs,186 km/h or 116 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,116 PS or 114 bhp or 85 kW @ 6000 rpm,155 Nm or 114 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1237 kgOR2727 lbs,189 km/h or 117 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,116 PS or 114 bhp or 85 kW @ 6000 rpm,155 Nm or 114 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1222 kgOR2694 lbs,189 km/h or 117 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1200 kgOR2646 lbs,175 km/h or 109 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,69 PS or 68 bhp or 51 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1160 kgOR2557 lbs,162 km/h or 101 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,86 PS or 85 bhp or 63 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1145 kgOR2524 lbs,171 km/h or 106 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,86 PS or 85 bhp or 63 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1160 kgOR2557 lbs,171 km/h or 106 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,86 PS or 85 bhp or 63 kW @ 5600 rpm,115 Nm or 84 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1135 kgOR2502 lbs,183 km/h or 114 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1158 kgOR2553 lbs,177 km/h or 110 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1173 kgOR2586 lbs,177 km/h or 110 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,130 Nm or 95 lb.ft @ 4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1185 kgOR2612 lbs,175 km/h or 109 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Diesel,75 PS or 74 bhp or 55 kW @ 4000 rpm,190 Nm or 140 lb.ft @ 1750 rpm,46 L 10.1 UK gallons 12.2 US gallons,1247 kgOR2749 lbs,163 km/h or 101 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Diesel,95 PS or 94 bhp or 70 kW @ 4000 rpm,210 Nm or 154 lb.ft @ 1750 rpm,46 L 10.1 UK gallons 12.2 US gallons,1260 kgOR2778 lbs,174 km/h or 108 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Diesel,95 PS or 94 bhp or 70 kW @ 4000 rpm,210 Nm or 154 lb.ft @ 1750 rpm,46 L 10.1 UK gallons 12.2 US gallons,1260 kgOR2778 lbs,174 km/h or 108 Mph,403.9 cm or 159.02 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Diesel,75 PS or 74 bhp or 55 kW @ 4000 rpm,190 Nm or 140 lb.ft @ 1750 rpm,46 L 10.1 UK gallons 12.2 US gallons,1262 kgOR2782 lbs,163 km/h or 101 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Diesel,95 PS or 94 bhp or 70 kW @ 4000 rpm,210 Nm or 154 lb.ft @ 1750 rpm,46 L 10.1 UK gallons 12.2 US gallons,1275 kgOR2811 lbs,174 km/h or 108 Mph,439.9 cm or 173.19 inches,173.5 cmor 68.31 inches,151.7 cmor 59.72 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,64 L 14.1 UK gallons 16.9 US gallons,1528 kgOR3369 lbs,185 km/h or 115 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,64 L 14.1 UK gallons 16.9 US gallons,1528 kgOR3369 lbs,185 km/h or 115 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,64 L 14.1 UK gallons 16.9 US gallons,1528 kgOR3369 lbs,185 km/h or 115 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,64 L 14.1 UK gallons 16.9 US gallons,1539 kgOR3393 lbs,185 km/h or 115 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 2000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1655 kgOR3649 lbs,195 km/h or 121 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 2000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1659 kgOR3657 lbs,195 km/h or 121 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 3800 rpm,315 Nm or 232 lb.ft @ 2000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1655 kgOR3649 lbs,180 km/h or 112 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 3800 rpm,315 Nm or 232 lb.ft @ 2000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1655 kgOR3649 lbs,180 km/h or 112 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 3800 rpm,315 Nm or 232 lb.ft @ 2000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1655 kgOR3649 lbs,180 km/h or 112 Mph,465.2 cm or 183.15 inches,183.6 cmor 72.28 inches,163.3 cmor 64.29 inches,FWD
CHEVROLET,Petrol,77 PS or 76 bhp or 57 kW @ 6400 rpm,93.0 Nm or 68 lb.ft @ 6400 rpm,54 L 11.9 UK gallons 14.3 US gallons,860 kgOR1896 lbs,- km/h or - Mph,378.8 cm or 149.13 inches,162.6 cmor 64.02 inches,140.8 cmor 55.43 inches,FWD
CHEVROLET,Petrol,77 PS or 76 bhp or 57 kW @ 6400 rpm,93.0 Nm or 68 lb.ft @ 6400 rpm,54 L 11.9 UK gallons 14.3 US gallons,890 kgOR1962 lbs,- km/h or - Mph,378.8 cm or 149.13 inches,162.6 cmor 64.02 inches,140.8 cmor 55.43 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1390 kgOR3064 lbs,190 km/h or 118 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Petrol,113 PS or 111 bhp or 83 kW @ 6400 rpm,153 Nm or 112 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1360 kgOR2998 lbs,185 km/h or 115 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Petrol,113 PS or 111 bhp or 83 kW @ 6400 rpm,153 Nm or 112 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1360 kgOR2998 lbs,185 km/h or 115 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Petrol,113 PS or 111 bhp or 83 kW @ 6400 rpm,153 Nm or 112 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1360 kgOR2998 lbs,185 km/h or 115 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6200 rpm,176 Nm or 129 lb.ft @ 3800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1365 kgOR3009 lbs,200 km/h or 124 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,125 PS or 123 bhp or 92 kW @ -- rpm,-- Nm or 0 lb.ft @ -- rpm,60 L 13.2 UK gallons 15.9 US gallons,-- kgOR0 lbs,196 km/h or 122 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 2000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1530 kgOR3373 lbs,205 km/h or 127 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,125 PS or 123 bhp or 92 kW @ -- rpm,-- Nm or 0 lb.ft @ -- rpm,60 L 13.2 UK gallons 15.9 US gallons,-- kgOR0 lbs,196 km/h or 122 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1500 kgOR3307 lbs,200 km/h or 124 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1500 kgOR3307 lbs,200 km/h or 124 Mph,459.7 cm or 180.98 inches,178.8 cmor 70.39 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-2500 rpm,,1504 kgOR3316 lbs,200 km/h or 124 Mph,451 cm or 177.56 inches,179.7 cmor 70.75 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-2500 rpm,,1504 kgOR3316 lbs,200 km/h or 124 Mph,451 cm or 177.56 inches,179.7 cmor 70.75 inches,147.7 cmor 58.15 inches,FWD
CHEVROLET,Petrol,82 PS or 81 bhp or 60 kW @ 6400 rpm,111 Nm or 81 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,164 km/h or 102 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,82 PS or 81 bhp or 60 kW @ 6400 rpm,111 Nm or 81 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,164 km/h or 102 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,82 PS or 81 bhp or 60 kW @ 6400 rpm,111 Nm or 81 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,164 km/h or 102 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,82 PS or 81 bhp or 60 kW @ 6400 rpm,111 Nm or 81 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,164 km/h or 102 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,68 PS or 67 bhp or 50 kW @ 6400 rpm,93 Nm or 68 lb.ft @ 4800 rpm,35 L 7.7 UK gallons 9.2 US gallons,939 kgOR2070 lbs,154 km/h or 96 Mph,364 cm or 143.31 inches,159.7 cmor 62.87 inches,152.2 cmor 59.92 inches,FWD
CHEVROLET,Petrol,170 PS or 168 bhp or 125 kW @ 6200 rpm,222 Nm or 163 lb.ft @ 4800 rpm,61 L 13.4 UK gallons 16.1 US gallons,1530 kgOR3373 lbs,180 km/h or 112 Mph,447.5 cm or 176.18 inches,175.5 cmor 69.09 inches,158.8 cmor 62.52 inches,FWD
CHEVROLET,Petrol,170 PS or 168 bhp or 125 kW @ 6200 rpm,222 Nm or 163 lb.ft @ 4800 rpm,61 L 13.4 UK gallons 16.1 US gallons,1530 kgOR3373 lbs,180 km/h or 112 Mph,447.5 cm or 176.18 inches,175.5 cmor 69.09 inches,158.8 cmor 62.52 inches,FWD
CHEVROLET,Petrol,156 PS or 154 bhp or 115 kW @ 5800 rpm,237 Nm or 174 lb.ft @ 4000 rpm,63 L 13.9 UK gallons 16.6 US gallons,1500 kgOR3307 lbs,209 km/h or 130 Mph,480 cm or 188.98 inches,181 cmor 71.26 inches,145 cmor 57.09 inches,FWD
CHEVROLET,Petrol,141 PS or 139 bhp or 104 kW @ 6400 rpm,195 Nm or 143 lb.ft @ 3800 rpm,65 L 14.3 UK gallons 17.2 US gallons,1460 kgOR3219 lbs,207 km/h or 129 Mph,480 cm or 188.98 inches,181 cmor 71.26 inches,145 cmor 57.09 inches,FWD
CHEVROLET,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 2000 rpm,65 L 14.3 UK gallons 17.2 US gallons,1535 kgOR3384 lbs,200 km/h or 124 Mph,480 cm or 188.98 inches,181 cmor 71.26 inches,145 cmor 57.09 inches,FWD
CHEVROLET,Petrol,230 PS or 227 bhp or 169 kW @ 6600 rpm,297 Nm or 219 lb.ft @ 3200 rpm,65 L 14.3 UK gallons 17.2 US gallons,1805 kgOR3979 lbs,204 km/h or 127 Mph,464 cm or 182.68 inches,185 cmor 72.83 inches,172 cmor 67.72 inches,AWD
