Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
CHRYSLER,Petrol,175 PS or 173 bhp or 129 kW @ 6000 rpm,225.0 Nm or 165 lb.ft @ 6000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1733 kgOR3821 lbs,- km/h or - Mph,494.8 cm or 194.8 inches,184.2 cmor 72.52 inches,146.8 cmor 57.8 inches,FWD
CHRYSLER,Petrol,287 PS or 283 bhp or 211 kW @ 6400 rpm,353.0 Nm or 260 lb.ft @ 6400 rpm,64 L 14.1 UK gallons 16.9 US gallons,1804 kgOR3977 lbs,- km/h or - Mph,494.8 cm or 194.8 inches,184.2 cmor 72.52 inches,146.8 cmor 57.8 inches,FWD
CHRYSLER,Petrol,287 PS or 283 bhp or 211 kW @ 6400 rpm,353.0 Nm or 260 lb.ft @ 6400 rpm,64 L 14.1 UK gallons 16.9 US gallons,1614 kgOR3558 lbs,- km/h or - Mph,486.9 cm or 191.69 inches,184.2 cmor 72.52 inches,148.3 cmor 58.39 inches,FWD
CHRYSLER,Petrol,175 PS or 173 bhp or 129 kW @ 6000 rpm,225.0 Nm or 165 lb.ft @ 6000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1537 kgOR3389 lbs,- km/h or - Mph,486.9 cm or 191.69 inches,184.2 cmor 72.52 inches,148.3 cmor 58.39 inches,FWD
CHRYSLER,Petrol,175 PS or 173 bhp or 129 kW @ 6000 rpm,225.0 Nm or 165 lb.ft @ 6000 rpm,64 L 14.1 UK gallons 16.9 US gallons,- kgOR- lbs,- km/h or - Mph,486.9 cm or 191.69 inches,184.2 cmor 72.52 inches,148.3 cmor 58.39 inches,FWD
CHRYSLER,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1600-3000 rpm,76 L 16.7 UK gallons 20.1 US gallons,2100 kgOR4630 lbs,185 km/h or 115 Mph,514.3 cm or 202.48 inches,195.4 cmor 76.93 inches,175 cmor 68.9 inches,FWD
CHRYSLER,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1600-3000 rpm,76 L 16.7 UK gallons 20.1 US gallons,2100 kgOR4630 lbs,185 km/h or 115 Mph,514.3 cm or 202.48 inches,195.4 cmor 76.93 inches,175 cmor 68.9 inches,FWD
CHRYSLER,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1600-3000 rpm,76 L 16.7 UK gallons 20.1 US gallons,2100 kgOR4630 lbs,185 km/h or 115 Mph,514.3 cm or 202.48 inches,195.4 cmor 76.93 inches,175 cmor 68.9 inches,FWD
CHRYSLER,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750 rpm,64 L 14.1 UK gallons 16.9 US gallons,1635 kgOR3605 lbs,203 km/h or 126 Mph,485 cm or 190.94 inches,184.3 cmor 72.56 inches,149.7 cmor 58.94 inches,FWD
CHRYSLER,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750 rpm,64 L 14.1 UK gallons 16.9 US gallons,1635 kgOR3605 lbs,203 km/h or 126 Mph,485 cm or 190.94 inches,184.3 cmor 72.56 inches,149.7 cmor 58.94 inches,FWD
CHRYSLER,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750 rpm,64 L 14.1 UK gallons 16.9 US gallons,1850 kgOR4079 lbs,195 km/h or 121 Mph,493 cm or 194.09 inches,184.3 cmor 72.56 inches,148.2 cmor 58.35 inches,FWD
CHRYSLER,Diesel,150 PS or 148 bhp or 110 kW @ 4200 rpm,300 Nm or 221 lb.ft @ 1600-3000 rpm,,1575 kgOR3472 lbs,183 km/h or 114 Mph,428.8 cm or 168.82 inches,170.4 cmor 67.09 inches,160.1 cmor 63.03 inches,FWD
CHRYSLER,Diesel,150 PS or 148 bhp or 110 kW @ 4200 rpm,300 Nm or 221 lb.ft @ 1600-3000 rpm,,1575 kgOR3472 lbs,183 km/h or 114 Mph,428.8 cm or 168.82 inches,170.4 cmor 67.09 inches,160.1 cmor 63.03 inches,FWD
CHRYSLER,Petrol,218 PS or 215 bhp or 160 kW @ 5700 rpm,310 Nm or 228 lb.ft @ 3000-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1424 kgOR3139 lbs,242 km/h or 150 Mph,405.9 cm or 159.8 inches,176.6 cmor 69.53 inches,129.6 cmor 51.02 inches,RWD
CHRYSLER,Petrol,218 PS or 215 bhp or 160 kW @ 5700 rpm,310 Nm or 228 lb.ft @ 3000-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1424 kgOR3139 lbs,242 km/h or 150 Mph,405.9 cm or 159.8 inches,176.6 cmor 69.53 inches,129.6 cmor 51.02 inches,RWD
CHRYSLER,Petrol,218 PS or 215 bhp or 160 kW @ 5700 rpm,310 Nm or 228 lb.ft @ 3000-4600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1440 kgOR3175 lbs,242 km/h or 150 Mph,405.9 cm or 159.8 inches,176.6 cmor 69.53 inches,129.6 cmor 51.02 inches,RWD
CHRYSLER,Petrol,334 PS or 329 bhp or 246 kW @ 6100 rpm,420 Nm or 309 lb.ft @ 3500-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1509 kgOR3327 lbs,254 km/h or 158 Mph,405.9 cm or 159.8 inches,176.6 cmor 69.53 inches,129.6 cmor 51.02 inches,RWD
