Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
CITROEN,Petrol or LPG,116 PS or 114 bhp or 85 kW @ 6050 rpm,150 Nm or 110 lb.ft @ 4000 rpm,,1224 kgOR2698 lbs,188 km/h or 117 Mph,441.9 cm or 173.98 inches,174.8 cmor 68.82 inches,146.6 cmor 57.72 inches,FWD
CITROEN,Petrol,82 PS or 81 bhp or 60 kW @ 5750 rpm,117 Nm or 86 lb.ft @ 2750 rpm,50 L 11 UK gallons 13.2 US gallons,1055 kgOR2326 lbs,169 km/h or 105 Mph,441.9 cm or 173.98 inches,174.8 cmor 68.82 inches,146.6 cmor 57.72 inches,FWD
CITROEN,Petrol,116 PS or 114 bhp or 85 kW @ 6050 rpm,150 Nm or 110 lb.ft @ 4000 rpm,50 L 11 UK gallons 13.2 US gallons,1164 kgOR2566 lbs,188 km/h or 117 Mph,441.9 cm or 173.98 inches,174.8 cmor 68.82 inches,146.6 cmor 57.72 inches,FWD
CITROEN,Petrol,116 PS or 114 bhp or 85 kW @ 6050 rpm,150 Nm or 110 lb.ft @ 4000 rpm,50 L 11 UK gallons 13.2 US gallons,1185 kgOR2612 lbs,180 km/h or 112 Mph,441.9 cm or 173.98 inches,174.8 cmor 68.82 inches,146.6 cmor 57.72 inches,FWD
CITROEN,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,1165 kgOR2568 lbs,183 km/h or 114 Mph,441.9 cm or 173.98 inches,174.8 cmor 68.82 inches,146.6 cmor 57.72 inches,FWD
CITROEN,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 1500 rpm,57 L 12.5 UK gallons 15.1 US gallons,1355 kgOR2987 lbs,187 km/h or 116 Mph,443.8 cm or 174.72 inches,182.6 cmor 71.89 inches,161 cmor 63.39 inches,FWD
CITROEN,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,57 L 12.5 UK gallons 15.1 US gallons,1355 kgOR2987 lbs,201 km/h or 125 Mph,443.8 cm or 174.72 inches,182.6 cmor 71.89 inches,161 cmor 63.39 inches,FWD
CITROEN,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,57 L 12.5 UK gallons 15.1 US gallons,1373 kgOR3027 lbs,206 km/h or 128 Mph,443.8 cm or 174.72 inches,182.6 cmor 71.89 inches,161 cmor 63.39 inches,FWD
CITROEN,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1400 rpm,57 L 12.5 UK gallons 15.1 US gallons,1385 kgOR3053 lbs,210 km/h or 131 Mph,443.8 cm or 174.72 inches,182.6 cmor 71.89 inches,161 cmor 63.39 inches,FWD
CITROEN,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,55 L 12.1 UK gallons 14.5 US gallons,1371 kgOR3023 lbs,172 km/h or 107 Mph,443.8 cm or 174.72 inches,182.6 cmor 71.89 inches,161 cmor 63.39 inches,FWD
