Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
DACIA,Petrol,90 PS or 89 bhp or 66 kW @ 5000 rpm,140 Nm or 103 lb.ft @ 2250 rpm,50 L 11 UK gallons 13.2 US gallons,1090 kgOR2403 lbs,170 km/h or 106 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,- cmor - inches,FWD
DACIA,Diesel,90 PS or 89 bhp or 66 kW @ 4000 rpm,220 Nm or 162 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1178 kgOR2597 lbs,170 km/h or 106 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,- cmor - inches,FWD
DACIA,Petrol,90 PS or 89 bhp or 66 kW @ 5000 rpm,140 Nm or 103 lb.ft @ 2250 rpm,50 L 11 UK gallons 13.2 US gallons,1115 kgOR2458 lbs,168 km/h or 104 Mph,408.9 cm or 160.98 inches,173.3 cmor 68.23 inches,161.5 cmor 63.58 inches,FWD
DACIA,Diesel,90 PS or 89 bhp or 66 kW @ 4000 rpm,220 Nm or 162 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1165 kgOR2568 lbs,167 km/h or 104 Mph,408.9 cm or 160.98 inches,173.3 cmor 68.23 inches,161.5 cmor 63.58 inches,FWD
DACIA,Petrol or LPG,90 PS or 89 bhp or 66 kW @ 5000 rpm,140 Nm or 103 lb.ft @ 2250 rpm,,1165 kgOR2568 lbs,175 km/h or 109 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
DACIA,Petrol,73 PS or 72 bhp or 54 kW @ 6300 rpm,97 Nm or 71 lb.ft @ 3500 rpm,50 L 11 UK gallons 13.2 US gallons,1055 kgOR2326 lbs,158 km/h or 98 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
DACIA,Petrol,90 PS or 89 bhp or 66 kW @ 5000 rpm,140 Nm or 103 lb.ft @ 2250 rpm,50 L 11 UK gallons 13.2 US gallons,1146 kgOR2526 lbs,175 km/h or 109 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
DACIA,Diesel,75 PS or 74 bhp or 55 kW @ 4000 rpm,200 Nm or 147 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1165 kgOR2568 lbs,164 km/h or 102 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
DACIA,Diesel,90 PS or 89 bhp or 66 kW @ 4000 rpm,220 Nm or 162 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1165 kgOR2568 lbs,173 km/h or 108 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
DACIA,Diesel,90 PS or 89 bhp or 66 kW @ 4000 rpm,220 Nm or 162 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1165 kgOR2568 lbs,172 km/h or 107 Mph,450.1 cm or 177.2 inches,173.3 cmor 68.23 inches,155.2 cmor 61.1 inches,FWD
