Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
DODGE,Petrol,375 PS or 370 bhp or 276 kW @ 5250 rpm,536.0 Nm or 395 lb.ft @ 5250 rpm,72.2 L 15.8 UK gallons 19 US gallons,2018 kgOR4449 lbs,- km/h or - Mph,507.7 cm or 199.88 inches,190.5 cmor 75 inches,148.3 cmor 58.39 inches,AWD
DODGE,Petrol,296 PS or 292 bhp or 218 kW @ 6500 rpm,353.0 Nm or 260 lb.ft @ 6500 rpm,72.2 L 15.8 UK gallons 19 US gallons,1797 kgOR3962 lbs,- km/h or - Mph,507.7 cm or 199.88 inches,190.5 cmor 75 inches,148.3 cmor 58.39 inches,RWD
DODGE,Petrol,375 PS or 370 bhp or 276 kW @ 5250 rpm,536.0 Nm or 395 lb.ft @ 5250 rpm,72.2 L 15.8 UK gallons 19 US gallons,1929 kgOR4253 lbs,- km/h or - Mph,507.7 cm or 199.88 inches,190.5 cmor 75 inches,148.3 cmor 58.39 inches,RWD
DODGE,Petrol,175 PS or 173 bhp or 129 kW @ 6000 rpm,225 Nm or 165 lb.ft @ 4400 rpm,78 L 17.2 UK gallons 20.6 US gallons,- kgOR- lbs,190 km/h or 118 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Petrol,175 PS or 173 bhp or 129 kW @ 6000 rpm,225 Nm or 165 lb.ft @ 4400 rpm,78 L 17.2 UK gallons 20.6 US gallons,- kgOR- lbs,190 km/h or 118 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Petrol,188 PS or 185 bhp or 138 kW @ 6500 rpm,256 Nm or 188 lb.ft @ 4000 rpm,78 L 17.2 UK gallons 20.6 US gallons,- kgOR- lbs,182 km/h or 113 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750-2500 rpm,78 L 17.2 UK gallons 20.6 US gallons,1860 kgOR4101 lbs,190 km/h or 118 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750-2500 rpm,78 L 17.2 UK gallons 20.6 US gallons,1895 kgOR4178 lbs,190 km/h or 118 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750-2500 rpm,78 L 17.2 UK gallons 20.6 US gallons,1895 kgOR4178 lbs,190 km/h or 118 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750-2500 rpm,78 L 17.2 UK gallons 20.6 US gallons,1905 kgOR4200 lbs,182 km/h or 113 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,310 Nm or 228 lb.ft @ 1750-2500 rpm,78 L 17.2 UK gallons 20.6 US gallons,1905 kgOR4200 lbs,182 km/h or 113 Mph,488.8 cm or 192.44 inches,187.8 cmor 73.94 inches,169.1 cmor 66.57 inches,FWD
DODGE,Petrol,213 PS or 210 bhp or 157 kW @ 5200 rpm,319 Nm or 235 lb.ft @ 4000 rpm,74 L 16.3 UK gallons 19.5 US gallons,- kgOR- lbs,- km/h or - Mph,458.4 cm or 180.47 inches,185.6 cmor 73.07 inches,177.3 cmor 69.8 inches,AWD
DODGE,Petrol,260 PS or 256 bhp or 191 kW @ 6000 rpm,360 Nm or 265 lb.ft @ 4000 rpm,74 L 16.3 UK gallons 19.5 US gallons,1950 kgOR4299 lbs,202 km/h or 126 Mph,458.4 cm or 180.47 inches,185.6 cmor 73.07 inches,177.3 cmor 69.8 inches,AWD
DODGE,Diesel,177 PS or 175 bhp or 130 kW @ 3800 rpm,410 Nm or 302 lb.ft @ 2000-2800 rpm,70 L 15.4 UK gallons 18.5 US gallons,1930 kgOR4255 lbs,180 km/h or 112 Mph,458.4 cm or 180.47 inches,185.6 cmor 73.07 inches,177.3 cmor 69.8 inches,AWD
DODGE,Diesel,177 PS or 175 bhp or 130 kW @ 3800 rpm,460 Nm or 339 lb.ft @ 2000 rpm,70 L 15.4 UK gallons 18.5 US gallons,2015 kgOR4442 lbs,182 km/h or 113 Mph,458.4 cm or 180.47 inches,185.6 cmor 73.07 inches,177.3 cmor 69.8 inches,AWD
DODGE,Diesel,177 PS or 175 bhp or 130 kW @ 3800 rpm,410 Nm or 302 lb.ft @ 2000-2800 rpm,70 L 15.4 UK gallons 18.5 US gallons,1930 kgOR4255 lbs,180 km/h or 112 Mph,458.4 cm or 180.47 inches,185.6 cmor 73.07 inches,177.3 cmor 69.8 inches,AWD
