Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
FERRARI,Petrol,800 PS or 789 bhp or 588 kW @ 8500 rpm,718 Nm or 529 lb.ft @ 7000 rpm,,1525 kgOR3362 lbs,340+ km/h or 211 Mph,466.7 cm or 183.74 inches,197.1 cmor 77.6 inches,127.6 cmor 50.24 inches,RWD
FERRARI,Petrol,690 PS or 681 bhp or 507 kW @ 8000 rpm,697 Nm or 514 lb.ft @ 5750 rpm,91 L 20 UK gallons 24 US gallons,1790 kgOR3946 lbs,335 km/h or 208 Mph,492.2 cm or 193.78 inches,198 cmor 77.95 inches,138.3 cmor 54.45 inches,AWD
FERRARI,Petrol,670 PS or 661 bhp or 493 kW @ 8000 rpm,760 Nm or 560 lb.ft @ 3000 rpm,78 L 17.2 UK gallons 20.6 US gallons,1475 kgOR3252 lbs,>330 km/h or 0 Mph,456.8 cm or 179.84 inches,195.2 cmor 76.85 inches,121.3 cmor 47.76 inches,RWD
FERRARI,Petrol,669 PS or 660 bhp or 492 kW @ 8000 rpm,760 Nm or 560 lb.ft @ 3000 rpm,78 L 17.2 UK gallons 20.6 US gallons,- kgOR- lbs,325 km/h or 202 Mph,456.8 cm or 179.84 inches,195.2 cmor 76.85 inches,121.1 cmor 47.68 inches,RWD
FERRARI,Petrol,780 PS or 769 bhp or 574 kW @ 8500 rpm,705 Nm or 519 lb.ft @ 6750 rpm,92 L 20.2 UK gallons 24.3 US gallons,1595 kgOR3516 lbs,340 km/h or 211 Mph,465.6 cm or 183.31 inches,196.1 cmor 77.2 inches,127.3 cmor 50.12 inches,RWD
FERRARI,Petrol,741 PS or 731 bhp or 545 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 6000 rpm,92 L 20.2 UK gallons 24.3 US gallons,- kgOR- lbs,340 km/h or 211 Mph,461.8 cm or 181.81 inches,194.2 cmor 76.46 inches,127.3 cmor 50.12 inches,RWD
FERRARI,Petrol,605 PS or 597 bhp or 445 kW @ 9000 rpm,540 Nm or 398 lb.ft @ 6000 rpm,86 L 18.9 UK gallons 22.7 US gallons,1520 kgOR3351 lbs,- km/h or - Mph,457.1 cm or 179.96 inches,195.1 cmor 76.81 inches,- cmor - inches,RWD
FERRARI,Petrol,560 PS or 552 bhp or 412 kW @ 7500 rpm,755 Nm or 556 lb.ft @ 4750 rpm,,1625 kgOR3583 lbs,316 km/h or 196 Mph,457 cm or 179.92 inches,191 cmor 75.2 inches,132.2 cmor 52.05 inches,RWD
FERRARI,Petrol,800 PS or 789 bhp or 588 kW @ 9000 rpm,700 Nm or 516 lb.ft @ 6750 rpm,,- kgOR- lbs,>350 km/h or 0 Mph,470.2 cm or 185.12 inches,199.2 cmor 78.43 inches,111.6 cmor 43.94 inches,RWD
FERRARI,Petrol,660 PS or 651 bhp or 485 kW @ 8000 rpm,683.0 Nm or 503 lb.ft @ 6000 rpm,91 L 20 UK gallons 24 US gallons,1790 kgOR3946 lbs,335 km/h or 208 Mph,490.7 cm or 193.19 inches,195.3 cmor 76.89 inches,137.9 cmor 54.29 inches,AWD
FERRARI,Petrol,670 PS or 661 bhp or 493 kW @ 8250 rpm,620.0 Nm or 457 lb.ft @ 6500 rpm,105 L 23.1 UK gallons 27.7 US gallons,1705 kgOR3759 lbs,325 km/h or 202 Mph,470 cm or 185.04 inches,196.2 cmor 77.24 inches,130 cmor 51.18 inches,RWD
FERRARI,Petrol,570 PS or 562 bhp or 419 kW @ 9000 rpm,540.0 Nm or 398 lb.ft @ 6000 rpm,86 L 18.9 UK gallons 22.7 US gallons,1485 kgOR3274 lbs,325 km/h or 202 Mph,452.7 cm or 178.23 inches,193.7 cmor 76.26 inches,121.3 cmor 47.76 inches,RWD
FERRARI,Petrol,605 PS or 597 bhp or 445 kW @ 9000 rpm,540.0 Nm or 398 lb.ft @ 6000 rpm,86 L 18.9 UK gallons 22.7 US gallons,1290 kgOR2844 lbs,- km/h or - Mph,452.7 cm or 178.23 inches,193.7 cmor 76.26 inches,121.3 cmor 47.76 inches,RWD
FERRARI,Petrol,605 PS or 597 bhp or 445 kW @ 9000 rpm,540 Nm or 398 lb.ft @ 6000 rpm,86 L 18.9 UK gallons 22.7 US gallons,1520 kgOR3351 lbs,- km/h or - Mph,457.1 cm or 179.96 inches,195.1 cmor 76.81 inches,- cmor - inches,RWD
FERRARI,Petrol,460 PS or 454 bhp or 338 kW @ 7750 rpm,485.0 Nm or 357 lb.ft @ 5000 rpm,78 L 17.2 UK gallons 20.6 US gallons,1735 kgOR3825 lbs,310 km/h or 193 Mph,456.3 cm or 179.65 inches,190.2 cmor 74.88 inches,130.8 cmor 51.5 inches,RWD
FERRARI,Petrol,620 PS or 612 bhp or 456 kW @ 7600 rpm,608 Nm or 448 lb.ft @ 5600 rpm,105 L 23.1 UK gallons 27.7 US gallons,1610 kgOR3549 lbs,330 km/h or 205 Mph,466.5 cm or 183.66 inches,196.2 cmor 77.24 inches,133.6 cmor 52.6 inches,RWD
FERRARI,Petrol,620 PS or 612 bhp or 456 kW @ 7600 rpm,608 Nm or 448 lb.ft @ 5600 rpm,105 L 23.1 UK gallons 27.7 US gallons,1610 kgOR3549 lbs,330 km/h or 205 Mph,466.5 cm or 183.66 inches,196.2 cmor 77.24 inches,133.6 cmor 52.6 inches,RWD
FERRARI,Petrol,670 PS or 661 bhp or 493 kW @ 8250 rpm,620.0 Nm or 457 lb.ft @ 6500 rpm,105 L 23.1 UK gallons 27.7 US gallons,1605 kgOR3538 lbs,335 km/h or 208 Mph,471 cm or 185.43 inches,196.2 cmor 77.24 inches,132.6 cmor 52.2 inches,RWD
FERRARI,Petrol,539 PS or 532 bhp or 396 kW @ 7250 rpm,588.0 Nm or 433 lb.ft @ 7250 rpm,,- kgOR- lbs,- km/h or - Mph,481 cm or 189.37 inches,195 cmor 76.77 inches,134.7 cmor 53.03 inches,RWD
FERRARI,Petrol,515 PS or 508 bhp or 379 kW @ 7250 rpm,589 Nm or 434 lb.ft @ 5250 rpm,105 L 23.1 UK gallons 27.7 US gallons,1730 kgOR3814 lbs,325 km/h or 202 Mph,455 cm or 179.13 inches,194 cmor 76.38 inches,128 cmor 50.39 inches,RWD
FERRARI,Petrol,515 PS or 508 bhp or 379 kW @ 7250 rpm,589 Nm or 434 lb.ft @ 5250 rpm,105 L 23.1 UK gallons 27.7 US gallons,1730 kgOR3814 lbs,325 km/h or 202 Mph,455 cm or 179.13 inches,194 cmor 76.38 inches,128 cmor 50.39 inches,RWD
FERRARI,Petrol,540 PS or 533 bhp or 397 kW @ 7250 rpm,588 Nm or 433 lb.ft @ 5250 rpm,110 L 24.2 UK gallons 29.1 US gallons,1840 kgOR4057 lbs,315 km/h or 196 Mph,490.2 cm or 192.99 inches,195.7 cmor 77.05 inches,134.4 cmor 52.91 inches,RWD
FERRARI,Petrol,540 PS or 533 bhp or 397 kW @ 7250 rpm,588 Nm or 433 lb.ft @ 5250 rpm,110 L 24.2 UK gallons 29.1 US gallons,1840 kgOR4057 lbs,315 km/h or 196 Mph,490.2 cm or 192.99 inches,195.7 cmor 77.05 inches,134.4 cmor 52.91 inches,RWD
FERRARI,Petrol,490 PS or 483 bhp or 360 kW @ 8500 rpm,465 Nm or 342 lb.ft @ 5250 rpm,95 L 20.9 UK gallons 25.1 US gallons,1450 kgOR3197 lbs,315 km/h or 196 Mph,451.2 cm or 177.64 inches,192.3 cmor 75.71 inches,121.4 cmor 47.8 inches,RWD
FERRARI,Petrol,490 PS or 483 bhp or 360 kW @ 8500 rpm,465 Nm or 342 lb.ft @ 5250 rpm,95 L 20.9 UK gallons 25.1 US gallons,1450 kgOR3197 lbs,315 km/h or 196 Mph,451.2 cm or 177.64 inches,192.3 cmor 75.71 inches,121.4 cmor 47.8 inches,RWD
FERRARI,Petrol,490 PS or 483 bhp or 360 kW @ 8500 rpm,465 Nm or 342 lb.ft @ 5250 rpm,95 L 20.9 UK gallons 25.1 US gallons,1520 kgOR3351 lbs,311 km/h or 193 Mph,451.2 cm or 177.64 inches,192.3 cmor 75.71 inches,123.4 cmor 48.58 inches,RWD
FERRARI,Petrol,490 PS or 483 bhp or 360 kW @ 8500 rpm,465 Nm or 342 lb.ft @ 5250 rpm,95 L 20.9 UK gallons 25.1 US gallons,1520 kgOR3351 lbs,311 km/h or 193 Mph,451.2 cm or 177.64 inches,192.3 cmor 75.71 inches,123.4 cmor 48.58 inches,RWD
FERRARI,Petrol,510 PS or 503 bhp or 375 kW @ 8500 rpm,470.0 Nm or 346 lb.ft @ 5250 rpm,95 L 20.9 UK gallons 25.1 US gallons,1440 kgOR3175 lbs,315 km/h or 196 Mph,451.2 cm or 177.64 inches,192.3 cmor 75.71 inches,121.6 cmor 47.87 inches,RWD
FERRARI,Petrol,660 PS or 651 bhp or 485 kW @ 7800 rpm,657 Nm or 484 lb.ft @ 5500 rpm,110 L 24.2 UK gallons 29.1 US gallons,1365 kgOR3009 lbs,350 km/h or 218 Mph,470.2 cm or 185.12 inches,203.5 cmor 80.12 inches,114.7 cmor 45.16 inches,RWD
FERRARI,Petrol,515 PS or 508 bhp or 379 kW @ 7250 rpm,589 Nm or 434 lb.ft @ 5250 rpm,105 L 23.1 UK gallons 27.7 US gallons,1730 kgOR3814 lbs,325 km/h or 202 Mph,455 cm or 179.13 inches,194 cmor 76.38 inches,128 cmor 50.39 inches,RWD
FERRARI,Petrol,515 PS or 508 bhp or 379 kW @ 7250 rpm,589 Nm or 434 lb.ft @ 5250 rpm,105 L 23.1 UK gallons 27.7 US gallons,1730 kgOR3814 lbs,325 km/h or 202 Mph,455 cm or 179.13 inches,194 cmor 76.38 inches,128 cmor 50.39 inches,RWD
FERRARI,Petrol,515 PS or 508 bhp or 379 kW @ 7250 rpm,589.0 Nm or 434 lb.ft @ 5250 rpm,,- kgOR- lbs,- km/h or - Mph,433 cm or 170.47 inches,189 cmor 74.41 inches,- cmor - inches,RWD
FERRARI,Petrol,400 PS or 395 bhp or 294 kW @ 8500 rpm,372 Nm or 274 lb.ft @ 4750 rpm,82 L 18 UK gallons 21.7 US gallons,1460 kgOR3219 lbs,290 km/h or 180 Mph,448 cm or 176.38 inches,192 cmor 75.59 inches,121 cmor 47.64 inches,RWD
FERRARI,Petrol,400 PS or 395 bhp or 294 kW @ 8500 rpm,372 Nm or 274 lb.ft @ 4750 rpm,82 L 18 UK gallons 21.7 US gallons,1460 kgOR3219 lbs,290 km/h or 180 Mph,448 cm or 176.38 inches,192 cmor 75.59 inches,121 cmor 47.64 inches,RWD
FERRARI,Petrol,486 PS or 479 bhp or 357 kW @ 7000 rpm,568.0 Nm or 418 lb.ft @ 5000 rpm,114 L 25.1 UK gallons 30.1 US gallons,1690 kgOR3726 lbs,300 km/h or 186 Mph,455 cm or 179.13 inches,193.5 cmor 76.18 inches,125.8 cmor 49.53 inches,RWD
FERRARI,Petrol,400 PS or 395 bhp or 294 kW @ 8500 rpm,372 Nm or 274 lb.ft @ 4750 rpm,82 L 18 UK gallons 21.7 US gallons,1400 kgOR3086 lbs,295 km/h or 183 Mph,448 cm or 176.38 inches,192 cmor 75.59 inches,121 cmor 47.64 inches,RWD
FERRARI,Petrol,400 PS or 395 bhp or 294 kW @ 8500 rpm,372 Nm or 274 lb.ft @ 4750 rpm,82 L 18 UK gallons 21.7 US gallons,1400 kgOR3086 lbs,295 km/h or 183 Mph,448 cm or 176.38 inches,192 cmor 75.59 inches,121 cmor 47.64 inches,RWD
FERRARI,Petrol,425 PS or 419 bhp or 313 kW @ 8500 rpm,373 Nm or 275 lb.ft @ 4750 rpm,95 L 20.9 UK gallons 25.1 US gallons,1280 kgOR2822 lbs,300 km/h or 186 Mph,447.7 cm or 176.26 inches,192.2 cmor 75.67 inches,119.9 cmor 47.2 inches,RWD
FERRARI,Petrol,486 PS or 479 bhp or 357 kW @ 7000 rpm,568 Nm or 418 lb.ft @ 5000 rpm,114 L 25.1 UK gallons 30.1 US gallons,1690 kgOR3726 lbs,320 km/h or 199 Mph,455 cm or 179.13 inches,194 cmor 76.38 inches,128 cmor 50.39 inches,RWD
FERRARI,Petrol,380 PS or 375 bhp or 279 kW @ 8250 rpm,363 Nm or 267 lb.ft @ 6000 rpm,88 L 19.4 UK gallons 23.2 US gallons,1350 kgOR2976 lbs,295 km/h or 183 Mph,425 cm or 167.32 inches,194 cmor 76.38 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,520 PS or 513 bhp or 382 kW @ 8500 rpm,471 Nm or 347 lb.ft @ 6500 rpm,105 L 23.1 UK gallons 27.7 US gallons,1230 kgOR2712 lbs,325 km/h or 202 Mph,448 cm or 176.38 inches,198 cmor 77.95 inches,112 cmor 44.09 inches,RWD
FERRARI,Petrol,750 PS or 740 bhp or 552 kW @ 10500 rpm,529 Nm or 390 lb.ft @ 7500 rpm,,907 kgOR2000 lbs,376 km/h or 234 Mph,457.8 cm or 180.24 inches,198.6 cmor 78.19 inches,109.2 cmor 42.99 inches,RWD
FERRARI,Petrol,380 PS or 375 bhp or 279 kW @ 8250 rpm,363 Nm or 267 lb.ft @ 6000 rpm,,1350 kgOR2976 lbs,295 km/h or 183 Mph,425 cm or 167.32 inches,190 cmor 74.8 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,442 PS or 436 bhp or 325 kW @ 6250 rpm,549 Nm or 404 lb.ft @ 4500 rpm,,1690 kgOR3726 lbs,300 km/h or 186 Mph,473 cm or 186.22 inches,192 cmor 75.59 inches,130 cmor 51.18 inches,RWD
FERRARI,Petrol,442 PS or 436 bhp or 325 kW @ 6250 rpm,550 Nm or 405 lb.ft @ 4500 rpm,110 L 24.2 UK gallons 29.1 US gallons,1690 kgOR3726 lbs,310 km/h or 193 Mph,476 cm or 187.4 inches,192 cmor 75.59 inches,130 cmor 51.18 inches,RWD
FERRARI,Petrol,428 PS or 422 bhp or 315 kW @ 6750 rpm,491 Nm or 362 lb.ft @ 5500 rpm,,1473 kgOR3247 lbs,314 km/h or 195 Mph,448 cm or 176.38 inches,198 cmor 77.95 inches,114 cmor 44.88 inches,RWD
FERRARI,Petrol,440 PS or 434 bhp or 324 kW @ 6750 rpm,500 Nm or 368 lb.ft @ 5500 rpm,,1455 kgOR3208 lbs,315 km/h or 196 Mph,448 cm or 176.38 inches,198 cmor 77.95 inches,114 cmor 44.88 inches,RWD
FERRARI,Petrol,300 PS or 296 bhp or 221 kW @ 7200 rpm,323 Nm or 238 lb.ft @ 4200 rpm,,1393 kgOR3071 lbs,275 km/h or 171 Mph,423 cm or 166.54 inches,189 cmor 74.41 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,300 PS or 296 bhp or 221 kW @ 7200 rpm,323 Nm or 238 lb.ft @ 4200 rpm,,1403 kgOR3093 lbs,275 km/h or 171 Mph,423 cm or 166.54 inches,189 cmor 74.41 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,320 PS or 316 bhp or 235 kW @ 7200 rpm,323 Nm or 238 lb.ft @ 5000 rpm,,1470 kgOR3241 lbs,280 km/h or 174 Mph,423 cm or 166.54 inches,189 cmor 74.41 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,320 PS or 316 bhp or 235 kW @ 7200 rpm,323 Nm or 238 lb.ft @ 5000 rpm,,1480 kgOR3263 lbs,280 km/h or 174 Mph,423 cm or 166.54 inches,189 cmor 74.41 inches,117 cmor 46.06 inches,RWD
FERRARI,Petrol,320 PS or 316 bhp or 235 kW @ 7200 rpm,323 Nm or 238 lb.ft @ 5000 rpm,,1485 kgOR3274 lbs,280 km/h or 174 Mph,423 cm or 166.54 inches,189 cmor 74.41 inches,117 cmor 46.06 inches,RWD
