Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
FIAT,Petrol,77 PS or 76 bhp or 57 kW @ 6000 rpm,115 Nm or 84 lb.ft @ 3000 rpm,45 L 9.9 UK gallons 11.9 US gallons,1330 kgOR2932 lbs,155 km/h or 96 Mph,395.7 cm or 155.79 inches,171.6 cmor 67.56 inches,173.5 cmor 68.31 inches,FWD
FIAT,Diesel,80 PS or 79 bhp or 59 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,45 L 9.9 UK gallons 11.9 US gallons,1350 kgOR2976 lbs,161 km/h or 100 Mph,395.7 cm or 155.79 inches,171.6 cmor 67.56 inches,173.5 cmor 68.31 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,45 L 9.9 UK gallons 11.9 US gallons,1350 kgOR2976 lbs,167 km/h or 104 Mph,395.7 cm or 155.79 inches,171.6 cmor 67.56 inches,173.5 cmor 68.31 inches,FWD
FIAT,Diesel,80 PS or 79 bhp or 59 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,45 L 9.9 UK gallons 11.9 US gallons,1350 kgOR2976 lbs,161 km/h or 100 Mph,397.1 cm or 156.34 inches,171.6 cmor 67.56 inches,181 cmor 71.26 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,45 L 9.9 UK gallons 11.9 US gallons,1350 kgOR2976 lbs,167 km/h or 104 Mph,397.1 cm or 156.34 inches,171.6 cmor 67.56 inches,181 cmor 71.26 inches,FWD
FIAT,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,179 km/h or 111 Mph,528.5 cm or 208.07 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,177 km/h or 110 Mph,528.5 cm or 208.07 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,179 km/h or 111 Mph,527.5 cm or 207.68 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,179 km/h or 111 Mph,528.5 cm or 208.07 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,154 PS or 152 bhp or 113 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1500-2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,169 km/h or 105 Mph,527.5 cm or 207.68 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,154 PS or 152 bhp or 113 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1500-2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,169 km/h or 105 Mph,528.5 cm or 208.07 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,177 km/h or 110 Mph,528.5 cm or 208.07 inches,178.5 cmor 70.28 inches,177.5 cmor 69.88 inches,AWD
FIAT,Petrol or LPG,120 PS or 118 bhp or 88 kW @ 5000 rpm,215 Nm or 158 lb.ft @ 2500 rpm,,1460 kgOR3219 lbs,200 km/h or 124 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Petrol,95 PS or 94 bhp or 70 kW @ 6000 rpm,127 Nm or 93 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1345 kgOR2965 lbs,185 km/h or 115 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1470 kgOR3241 lbs,200 km/h or 124 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1445 kgOR3186 lbs,200 km/h or 124 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,50 L 11 UK gallons 13.2 US gallons,1440 kgOR3175 lbs,180 km/h or 112 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1445 kgOR3186 lbs,200 km/h or 124 Mph,436.8 cm or 171.97 inches,179.2 cmor 70.55 inches,149.5 cmor 58.86 inches,FWD
FIAT,Petrol or LPG,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,,1055 kgOR2326 lbs,164 km/h or 102 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Petrol or CNG,80 PS or 79 bhp or 59 kW @ 5500 rpm,140 Nm or 103 lb.ft @ 2500 rpm,,1155 kgOR2546 lbs,168 km/h or 104 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,37 L 8.1 UK gallons 9.8 US gallons,1015 kgOR2238 lbs,164 km/h or 102 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Petrol,86 PS or 85 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,37 L 8.1 UK gallons 9.8 US gallons,1050 kgOR2315 lbs,177 km/h or 110 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Petrol,86 PS or 85 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,35 L 7.7 UK gallons 9.2 US gallons,1125 kgOR2480 lbs,166 km/h or 103 Mph,368.6 cm or 145.12 inches,167.2 cmor 65.83 inches,160.5 cmor 63.19 inches,AWD
FIAT,Petrol,86 PS or 85 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,37 L 8.1 UK gallons 9.8 US gallons,1050 kgOR2315 lbs,177 km/h or 110 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,37 L 8.1 UK gallons 9.8 US gallons,1120 kgOR2469 lbs,182 km/h or 113 Mph,365.3 cm or 143.82 inches,164.3 cmor 64.69 inches,155.1 cmor 61.06 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,35 L 7.7 UK gallons 9.2 US gallons,1200 kgOR2646 lbs,167 km/h or 104 Mph,368.6 cm or 145.12 inches,167.2 cmor 65.83 inches,160.5 cmor 63.19 inches,AWD
FIAT,Petrol or LPG,120 PS or 118 bhp or 88 kW @ 5000 rpm,215 Nm or 158 lb.ft @ 2500 rpm,,1470 kgOR3241 lbs,200 km/h or 124 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
FIAT,Petrol,95 PS or 94 bhp or 70 kW @ 6000 rpm,127 Nm or 93 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1355 kgOR2987 lbs,185 km/h or 115 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1470 kgOR3241 lbs,200 km/h or 124 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1500 kgOR3307 lbs,200 km/h or 124 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
FIAT,Diesel,95 PS or 94 bhp or 70 kW @ 3750 rpm,200 Nm or 147 lb.ft @ 1500 rpm,50 L 11 UK gallons 13.2 US gallons,1450 kgOR3197 lbs,180 km/h or 112 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
FIAT,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,50 L 11 UK gallons 13.2 US gallons,1470 kgOR3241 lbs,200 km/h or 124 Mph,457.1 cm or 179.96 inches,179.2 cmor 70.55 inches,151.4 cmor 59.61 inches,FWD
