Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
HONDA,Petrol,182 PS or 180 bhp or 134 kW @ 5500 rpm,240 Nm or 177 lb.ft @ 1900-5000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1354 kgOR2985 lbs,- km/h or - Mph,463 cm or 182.28 inches,180 cmor 70.87 inches,141.5 cmor 55.71 inches,FWD
HONDA,Petrol,182 PS or 180 bhp or 134 kW @ 6000 rpm,220 Nm or 162 lb.ft @ 1700-5500 rpm,46 L 10.1 UK gallons 12.2 US gallons,1382 kgOR3047 lbs,- km/h or - Mph,463 cm or 182.28 inches,180 cmor 70.87 inches,141.5 cmor 55.71 inches,FWD
HONDA,Petrol,129 PS or 127 bhp or 95 kW @ 5500 rpm,200 Nm or 147 lb.ft @ 2250 rpm,46 L 10.1 UK gallons 12.2 US gallons,1350 kgOR2976 lbs,203 km/h or 126 Mph,451.8 cm or 177.87 inches,179.9 cmor 70.83 inches,143.4 cmor 56.46 inches,FWD
HONDA,Petrol,129 PS or 127 bhp or 95 kW @ 5500 rpm,180 Nm or 132 lb.ft @ 1700-4500 rpm,46 L 10.1 UK gallons 12.2 US gallons,1359 kgOR2996 lbs,200 km/h or 124 Mph,451.8 cm or 177.87 inches,179.9 cmor 70.83 inches,143.4 cmor 56.46 inches,FWD
HONDA,Petrol,182 PS or 180 bhp or 134 kW @ 5500 rpm,240 Nm or 177 lb.ft @ 1900-5000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1382 kgOR3047 lbs,220 km/h or 137 Mph,451.8 cm or 177.87 inches,179.9 cmor 70.83 inches,143.4 cmor 56.46 inches,FWD
HONDA,Petrol,182 PS or 180 bhp or 134 kW @ 6000 rpm,220 Nm or 162 lb.ft @ 1700-5500 rpm,46 L 10.1 UK gallons 12.2 US gallons,1409 kgOR3106 lbs,200 km/h or 124 Mph,451.8 cm or 177.87 inches,179.9 cmor 70.83 inches,143.4 cmor 56.46 inches,FWD
HONDA,Petrol,310 PS or 306 bhp or 228 kW @ 6500 rpm,400 Nm or 295 lb.ft @ 2500-4500 rpm,50 L 11 UK gallons 13.2 US gallons,1382 kgOR3047 lbs,270 km/h or 168 Mph,439 cm or 172.83 inches,187.8 cmor 73.94 inches,146.6 cmor 57.72 inches,FWD
HONDA,Petrol,141 PS or 139 bhp or 104 kW @ 6500 rpm,174 Nm or 128 lb.ft @ 4300 rpm,50 L 11 UK gallons 13.2 US gallons,1372 kgOR3025 lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,177 cmor 69.69 inches,147 cmor 57.87 inches,FWD
HONDA,Petrol,141 PS or 139 bhp or 104 kW @ 6500 rpm,174 Nm or 128 lb.ft @ 4300 rpm,50 L 11 UK gallons 13.2 US gallons,1372 kgOR3025 lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,177 cmor 69.69 inches,147 cmor 57.87 inches,FWD
HONDA,Petrol,141 PS or 139 bhp or 104 kW @ 6500 rpm,174 Nm or 128 lb.ft @ 4300 rpm,50 L 11 UK gallons 13.2 US gallons,1346 kgOR2967 lbs,215 km/h or 134 Mph,437 cm or 172.05 inches,177 cmor 69.69 inches,147 cmor 57.87 inches,FWD
