Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
HYUNDAI,Petrol,140 PS or 138 bhp or 103 kW @ 6000 rpm,242 Nm or 178 lb.ft @ 1500 rpm,50 L 11 UK gallons 13.2 US gallons,1315 kgOR2899 lbs,205 km/h or 127 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Petrol,140 PS or 138 bhp or 103 kW @ 6000 rpm,242 Nm or 178 lb.ft @ 1500 rpm,50 L 11 UK gallons 13.2 US gallons,1279 kgOR2820 lbs,208 km/h or 129 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Petrol,140 PS or 138 bhp or 103 kW @ 6000 rpm,242 Nm or 178 lb.ft @ 1500 rpm,50 L 11 UK gallons 13.2 US gallons,1279 kgOR2820 lbs,210 km/h or 131 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,172 Nm or 126 lb.ft @ 1500-4000 rpm,50 L 11 UK gallons 13.2 US gallons,1269 kgOR2798 lbs,187 km/h or 116 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,172 Nm or 126 lb.ft @ 1500-4000 rpm,50 L 11 UK gallons 13.2 US gallons,1269 kgOR2798 lbs,190 km/h or 118 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Petrol,100 PS or 99 bhp or 74 kW @ 6000 rpm,134 Nm or 98 lb.ft @ 4000 rpm,50 L 11 UK gallons 13.2 US gallons,1244 kgOR2743 lbs,183 km/h or 114 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Diesel,136 PS or 134 bhp or 100 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 1750-2500 rpm,50 L 11 UK gallons 13.2 US gallons,1368 kgOR3016 lbs,200 km/h or 124 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Diesel,136 PS or 134 bhp or 100 kW @ 4000 rpm,280 Nm or 206 lb.ft @ 1500-3000 rpm,50 L 11 UK gallons 13.2 US gallons,1338 kgOR2950 lbs,200 km/h or 124 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,280 Nm or 206 lb.ft @ 1500-2500 rpm,50 L 11 UK gallons 13.2 US gallons,1368 kgOR3016 lbs,190 km/h or 118 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,280 Nm or 206 lb.ft @ 1500-2500 rpm,50 L 11 UK gallons 13.2 US gallons,1338 kgOR2950 lbs,188 km/h or 117 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,280 Nm or 206 lb.ft @ 1500-2500 rpm,50 L 11 UK gallons 13.2 US gallons,1338 kgOR2950 lbs,190 km/h or 118 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Diesel,95 PS or 94 bhp or 70 kW @ 4000 rpm,280 Nm or 206 lb.ft @ 1500-2000 rpm,50 L 11 UK gallons 13.2 US gallons,1338 kgOR2950 lbs,186 km/h or 116 Mph,434 cm or 170.87 inches,179.5 cmor 70.67 inches,145.5 cmor 57.28 inches,FWD
HYUNDAI,Petrol,128 PS or 126 bhp or 94 kW @ 6300 rpm,155 Nm or 114 lb.ft @ 4850 rpm,50 L 11 UK gallons 13.2 US gallons,1220 kgOR2690 lbs,200 km/h or 124 Mph,457 cm or 179.92 inches,180 cmor 70.87 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Diesel,136 PS or 134 bhp or 100 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1315 kgOR2899 lbs,190 km/h or 118 Mph,457 cm or 179.92 inches,180 cmor 70.87 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Diesel,136 PS or 134 bhp or 100 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 1750-2500 rpm,50 L 11 UK gallons 13.2 US gallons,1345 kgOR2965 lbs,190 km/h or 118 Mph,457 cm or 179.92 inches,180 cmor 70.87 inches,145 cmor 57.09 inches,FWD
HYUNDAI,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,134 Nm or 98 lb.ft @ 3500 rpm,53 L 11.7 UK gallons 14 US gallons,1247 kgOR2749 lbs,183 km/h or 114 Mph,430 cm or 169.29 inches,178 cmor 70.08 inches,147 cmor 57.87 inches,FWD
HYUNDAI,Petrol,120 PS or 118 bhp or 88 kW @ 6300 rpm,156 Nm or 115 lb.ft @ 4850 rpm,53 L 11.7 UK gallons 14 US gallons,- kgOR- lbs,192 km/h or 119 Mph,430 cm or 169.29 inches,178 cmor 70.08 inches,147 cmor 57.87 inches,FWD
HYUNDAI,Petrol,120 PS or 118 bhp or 88 kW @ 6300 rpm,156 Nm or 115 lb.ft @ 4850 rpm,53 L 11.7 UK gallons 14 US gallons,- kgOR- lbs,192 km/h or 119 Mph,430 cm or 169.29 inches,178 cmor 70.08 inches,147 cmor 57.87 inches,FWD
HYUNDAI,Petrol,135 PS or 133 bhp or 99 kW @ 6300 rpm,164 Nm or 120 lb.ft @ 4850 rpm,53 L 11.7 UK gallons 14 US gallons,- kgOR- lbs,195 km/h or 121 Mph,430 cm or 169.29 inches,178 cmor 70.08 inches,147 cmor 57.87 inches,FWD
