Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
JAGUAR,Petrol,381 PS or 376 bhp or 280 kW @ 6500 rpm,460 Nm or 339 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1674 kgOR3691 lbs,275 km/h or 171 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,AWD
JAGUAR,Petrol,551 PS or 544 bhp or 405 kW @ 6500 rpm,680 Nm or 501 lb.ft @ 3500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1730 kgOR3814 lbs,300 km/h or 186 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,AWD
JAGUAR,Petrol,400 PS or 395 bhp or 294 kW @ 6500 rpm,460 Nm or 339 lb.ft @ 3500-5500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1674 kgOR3691 lbs,275 km/h or 171 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,AWD
JAGUAR,Petrol,575 PS or 567 bhp or 423 kW @ 6500 rpm,700 Nm or 516 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1705 kgOR3759 lbs,322 km/h or 200 Mph,447.5 cm or 176.18 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,AWD
JAGUAR,Petrol,340 PS or 335 bhp or 250 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1567 kgOR3455 lbs,260 km/h or 162 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
JAGUAR,Petrol,340 PS or 335 bhp or 250 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1577 kgOR3477 lbs,260 km/h or 162 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
JAGUAR,Petrol,381 PS or 376 bhp or 280 kW @ 6500 rpm,460 Nm or 339 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1594 kgOR3514 lbs,275 km/h or 171 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
JAGUAR,Petrol,400 PS or 395 bhp or 294 kW @ 6500 rpm,460 Nm or 339 lb.ft @ 3500-5500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1594 kgOR3514 lbs,275 km/h or 171 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
JAGUAR,Petrol,381 PS or 376 bhp or 280 kW @ 6500 rpm,460 Nm or 339 lb.ft @ 3500-5000 rpm,70 L 15.4 UK gallons 18.5 US gallons,1584 kgOR3492 lbs,275 km/h or 171 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
JAGUAR,Petrol,300 PS or 296 bhp or 221 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 1500-4500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1525 kgOR3362 lbs,249 km/h or 155 Mph,448.2 cm or 176.46 inches,192.3 cmor 75.71 inches,131.1 cmor 51.61 inches,RWD
