Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,192 km/h or 119 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,162.9 cmor 64.13 inches,FWD
JEEP,Petrol,170 PS or 168 bhp or 125 kW @ 5500 rpm,250 Nm or 184 lb.ft @ 2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,204 km/h or 127 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,164.7 cmor 64.84 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,196 km/h or 122 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,162.9 cmor 64.13 inches,FWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 4000 rpm,350 Nm or 258 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,196 km/h or 122 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,164.7 cmor 64.84 inches,AWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,196 km/h or 122 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,164.7 cmor 64.84 inches,AWD
JEEP,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,196 km/h or 122 Mph,439.4 cm or 172.99 inches,181.9 cmor 71.61 inches,164.7 cmor 64.84 inches,AWD
JEEP,Diesel,170 PS or 168 bhp or 125 kW @ 4000 rpm,380 Nm or 280 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1706 kgOR3761 lbs,196 km/h or 122 Mph,439.8 cm or 173.15 inches,181.9 cmor 71.61 inches,166 cmor 65.35 inches,AWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5000 rpm,230 Nm or 169 lb.ft @ 1750-3250 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,1395 kgOR3075 lbs,194 km/h or 121 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,152 Nm or 112 lb.ft @ 4500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,170 km/h or 106 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,152 Nm or 112 lb.ft @ 4500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,170 km/h or 106 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,181 km/h or 112 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,169.7 cmor 66.81 inches,FWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,181 km/h or 112 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,169.7 cmor 66.81 inches,FWD
JEEP,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,152 Nm or 112 lb.ft @ 4500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Petrol,170 PS or 168 bhp or 125 kW @ 5500 rpm,250 Nm or 184 lb.ft @ 2500-4000 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Petrol,170 PS or 168 bhp or 125 kW @ 5500 rpm,250 Nm or 184 lb.ft @ 2500-4000 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Petrol,170 PS or 168 bhp or 125 kW @ 5500 rpm,250 Nm or 184 lb.ft @ 2500-4000 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5000 rpm,230 Nm or 169 lb.ft @ 1750-3250 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Petrol,140 PS or 138 bhp or 103 kW @ 5000 rpm,230 Nm or 169 lb.ft @ 1750-3250 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,152 Nm or 112 lb.ft @ 4500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,169.7 cmor 66.81 inches,FWD
JEEP,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,FWD
JEEP,Diesel,140 PS or 138 bhp or 103 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1500 rpm,48 L 10.6 UK gallons 12.7 US gallons,1505 kgOR3318 lbs,182 km/h or 113 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,1465 kgOR3230 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,1465 kgOR3230 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,350 Nm or 258 lb.ft @ 1750-2500 rpm,48 L 10.6 UK gallons 12.7 US gallons,- kgOR- lbs,- km/h or - Mph,423.2 cm or 166.61 inches,180.4 cmor 71.02 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,48 L 10.6 UK gallons 12.7 US gallons,1465 kgOR3230 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,- cmor - inches,169.7 cmor 66.81 inches,FWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1250 rpm,48 L 10.6 UK gallons 12.7 US gallons,1505 kgOR3318 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1250 rpm,48 L 10.6 UK gallons 12.7 US gallons,1505 kgOR3318 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,168.9 cmor 66.5 inches,AWD
JEEP,Diesel,120 PS or 118 bhp or 88 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1250 rpm,48 L 10.6 UK gallons 12.7 US gallons,1505 kgOR3318 lbs,178 km/h or 111 Mph,425.5 cm or 167.52 inches,180.5 cmor 71.06 inches,168.9 cmor 66.5 inches,AWD
