Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
KIA,Petrol,255 PS or 252 bhp or 188 kW @ 6200 rpm,353 Nm or 260 lb.ft @ 1400-4000 rpm,,- kgOR- lbs,- km/h or - Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,AWD
KIA,Petrol,365 PS or 360 bhp or 268 kW @ 6000 rpm,510 Nm or 376 lb.ft @ 1300-4500 rpm,,- kgOR- lbs,- km/h or - Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,AWD
KIA,Petrol,365 PS or 360 bhp or 268 kW @ 6000 rpm,510 Nm or 376 lb.ft @ 1300-4500 rpm,,- kgOR- lbs,269 km/h or 167 Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,RWD
KIA,Petrol,255 PS or 252 bhp or 188 kW @ 6200 rpm,353 Nm or 260 lb.ft @ 1400-4000 rpm,,- kgOR- lbs,- km/h or - Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,RWD
KIA,Diesel,200 PS or 197 bhp or 147 kW @ 3800 rpm,441 Nm or 325 lb.ft @ 1750-2750 rpm,,- kgOR- lbs,225 km/h or 140 Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,RWD
KIA,Diesel,200 PS or 197 bhp or 147 kW @ 3800 rpm,441 Nm or 325 lb.ft @ 1750-2750 rpm,,- kgOR- lbs,- km/h or - Mph,483 cm or 190.16 inches,187 cmor 73.62 inches,140 cmor 55.12 inches,AWD
KIA,Petrol,84 PS or 83 bhp or 62 kW @ 6000 rpm,122 Nm or 89 lb.ft @ 4000 rpm,35 L 7.7 UK gallons 9.2 US gallons,983 kgOR2167 lbs,161 km/h or 100 Mph,359.5 cm or 141.54 inches,159.5 cmor 62.8 inches,148.5 cmor 58.46 inches,FWD
KIA,Petrol,67 PS or 66 bhp or 49 kW @ 5500 rpm,96 Nm or 70 lb.ft @ 3500 rpm,35 L 7.7 UK gallons 9.2 US gallons,953 kgOR2101 lbs,161 km/h or 100 Mph,359.5 cm or 141.54 inches,159.5 cmor 62.8 inches,148.5 cmor 58.46 inches,FWD
KIA,Petrol,84 PS or 83 bhp or 62 kW @ 6000 rpm,122 Nm or 89 lb.ft @ 4000 rpm,35 L 7.7 UK gallons 9.2 US gallons,976 kgOR2152 lbs,173 km/h or 108 Mph,359.5 cm or 141.54 inches,159.5 cmor 62.8 inches,148.5 cmor 58.46 inches,FWD
KIA,Petrol,101 PS or 100 bhp or 74 kW @ 4500 rpm,172 Nm or 126 lb.ft @ 1500-4000 rpm,35 L 7.7 UK gallons 9.2 US gallons,953 kgOR2101 lbs,180 km/h or 112 Mph,359.5 cm or 141.54 inches,159.5 cmor 62.8 inches,148.5 cmor 58.46 inches,FWD
