Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
LAMBORGHINI,Petrol,560 PS or 552 bhp or 412 kW @ 8000 rpm,540 Nm or 398 lb.ft @ 6500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1573 kgOR3468 lbs,325 km/h or 202 Mph,434.5 cm or 171.06 inches,- cmor - inches,- cmor - inches,AWD
LAMBORGHINI,Petrol,610 PS or 602 bhp or 449 kW @ 8250 rpm,560 Nm or 413 lb.ft @ 6500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1551 kgOR3419 lbs,325 km/h or 202 Mph,445.9 cm or 175.55 inches,192.4 cmor 75.75 inches,116.5 cmor 45.87 inches,AWD
LAMBORGHINI,Petrol,579 PS or 571 bhp or 426 kW @ 8000 rpm,540 Nm or 398 lb.ft @ 6500 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,320 km/h or 199 Mph,445.9 cm or 175.55 inches,192.4 cmor 75.75 inches,116.5 cmor 45.87 inches,RWD
LAMBORGHINI,Petrol,610 PS or 602 bhp or 449 kW @ 8250 rpm,560 Nm or 413 lb.ft @ 6500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1551 kgOR3419 lbs,325 km/h or 202 Mph,445.9 cm or 175.55 inches,192.4 cmor 75.75 inches,116.5 cmor 45.87 inches,AWD
LAMBORGHINI,Petrol,579 PS or 571 bhp or 426 kW @ 8000 rpm,540 Nm or 398 lb.ft @ 6500 rpm,83 L 18.3 UK gallons 21.9 US gallons,- kgOR- lbs,319 km/h or 198 Mph,445.9 cm or 175.55 inches,192.4 cmor 75.75 inches,118 cmor 46.46 inches,RWD
LAMBORGHINI,Petrol,640 PS or 631 bhp or 471 kW @ 8000 rpm,600 Nm or 442 lb.ft @ 6500 rpm,83 L 18.3 UK gallons 21.9 US gallons,- kgOR- lbs,325 km/h or 202 Mph,450.6 cm or 177.4 inches,192.4 cmor 75.75 inches,116.5 cmor 45.87 inches,AWD
LAMBORGHINI,Petrol,751 PS or 741 bhp or 552 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,,1450 kgOR3197 lbs,355 km/h or 221 Mph,478 cm or 188.19 inches,- cmor - inches,- cmor - inches,AWD
LAMBORGHINI,Petrol,700 PS or 690 bhp or 515 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,,- kgOR- lbs,- km/h or - Mph,478 cm or 188.19 inches,- cmor - inches,- cmor - inches,AWD
LAMBORGHINI,Petrol,700 PS or 690 bhp or 515 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1575 kgOR3472 lbs,350 km/h or 218 Mph,478 cm or 188.19 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,700 PS or 690 bhp or 515 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1795 kgOR3957 lbs,350 km/h or 218 Mph,478 cm or 188.19 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,721 PS or 711 bhp or 530 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1745 kgOR3847 lbs,350 km/h or 218 Mph,478 cm or 188.19 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,721 PS or 711 bhp or 530 kW @ 8250 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1795 kgOR3957 lbs,350 km/h or 218 Mph,478 cm or 188.19 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,751 PS or 741 bhp or 552 kW @ 8400 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1525 kgOR3362 lbs,350 km/h or 218 Mph,483.5 cm or 190.35 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,751 PS or 741 bhp or 552 kW @ 8400 rpm,690 Nm or 508 lb.ft @ 5500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1745 kgOR3847 lbs,350 km/h or 218 Mph,483.5 cm or 190.35 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,740 PS or 730 bhp or 544 kW @ 8400 rpm,690 Nm or 508 lb.ft @ 5500 rpm,85 L 18.7 UK gallons 22.5 US gallons,1740 kgOR3836 lbs,350 km/h or 218 Mph,479.7 cm or 188.86 inches,203 cmor 79.92 inches,113.6 cmor 44.72 inches,AWD
LAMBORGHINI,Petrol,659 PS or 650 bhp or 485 kW @ 8000 rpm,660.0 Nm or 486 lb.ft @ 6000 rpm,,1665 kgOR3671 lbs,340 km/h or 211 Mph,470 cm or 185.04 inches,205.8 cmor 81.02 inches,113.5 cmor 44.69 inches,AWD
LAMBORGHINI,Petrol,670 PS or 661 bhp or 493 kW @ 8000 rpm,660.0 Nm or 486 lb.ft @ 6000 rpm,100 L 22 UK gallons 26.4 US gallons,1690 kgOR3726 lbs,305 km/h or 190 Mph,470 cm or 185.04 inches,205.8 cmor 81.02 inches,113.4 cmor 44.65 inches,AWD
LAMBORGHINI,Petrol,551 PS or 544 bhp or 405 kW @ 8000 rpm,540 Nm or 398 lb.ft @ 6500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1516 kgOR3342 lbs,320 km/h or 199 Mph,434.5 cm or 171.06 inches,190 cmor 74.8 inches,116.5 cmor 45.87 inches,RWD
