Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
LANCIA,Petrol,287 PS or 283 bhp or 211 kW @ 6600 rpm,344 Nm or 253 lb.ft @ 4400 rpm,,2097 kgOR4623 lbs,209 km/h or 130 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,178 PS or 176 bhp or 131 kW @ 3600 rpm,360 Nm or 265 lb.ft @ 1400-3400 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,163 PS or 161 bhp or 120 kW @ 3800 rpm,360 Nm or 265 lb.ft @ 1800 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,178 PS or 176 bhp or 131 kW @ 3600 rpm,360 Nm or 265 lb.ft @ 1400-3400 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,178 PS or 176 bhp or 131 kW @ 3600 rpm,360 Nm or 265 lb.ft @ 1400-3400 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,178 PS or 176 bhp or 131 kW @ 3600 rpm,360 Nm or 265 lb.ft @ 1400-3400 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Diesel,178 PS or 176 bhp or 131 kW @ 3600 rpm,360 Nm or 265 lb.ft @ 1400-3400 rpm,76 L 16.7 UK gallons 20.1 US gallons,2242 kgOR4943 lbs,193 km/h or 120 Mph,521.8 cm or 205.43 inches,199.8 cmor 78.66 inches,175 cmor 68.9 inches,FWD
LANCIA,Petrol,286 PS or 282 bhp or 210 kW @ 6350 rpm,340 Nm or 250 lb.ft @ 4650 rpm,,1876 kgOR4136 lbs,240 km/h or 149 Mph,506.6 cm or 199.45 inches,190.2 cmor 74.88 inches,148.8 cmor 58.58 inches,RWD
LANCIA,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,440 Nm or 324 lb.ft @ 1600 rpm,72 L 15.8 UK gallons 19 US gallons,2038 kgOR4493 lbs,230 km/h or 143 Mph,506.6 cm or 199.45 inches,190.2 cmor 74.88 inches,148.8 cmor 58.58 inches,RWD
LANCIA,Diesel,239 PS or 236 bhp or 176 kW @ 4000 rpm,550 Nm or 405 lb.ft @ 1800 rpm,72 L 15.8 UK gallons 19 US gallons,2038 kgOR4493 lbs,230 km/h or 143 Mph,506.6 cm or 199.45 inches,190.2 cmor 74.88 inches,148.8 cmor 58.58 inches,RWD
LANCIA,Diesel,190 PS or 187 bhp or 140 kW @ 4000 rpm,440 Nm or 324 lb.ft @ 1600 rpm,72 L 15.8 UK gallons 19 US gallons,2038 kgOR4493 lbs,230 km/h or 143 Mph,506.6 cm or 199.45 inches,190.2 cmor 74.88 inches,148.8 cmor 58.58 inches,RWD
LANCIA,Diesel,239 PS or 236 bhp or 176 kW @ 4000 rpm,550 Nm or 405 lb.ft @ 1800 rpm,72 L 15.8 UK gallons 19 US gallons,2038 kgOR4493 lbs,230 km/h or 143 Mph,506.6 cm or 199.45 inches,190.2 cmor 74.88 inches,148.8 cmor 58.58 inches,RWD
LANCIA,Petrol or LPG,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol or LPG,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,40 L 8.8 UK gallons 10.6 US gallons,1050 kgOR2315 lbs,176 km/h or 109 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,40 L 8.8 UK gallons 10.6 US gallons,1055 kgOR2326 lbs,176 km/h or 109 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,40 L 8.8 UK gallons 10.6 US gallons,1050 kgOR2315 lbs,176 km/h or 109 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,40 L 8.8 UK gallons 10.6 US gallons,1055 kgOR2326 lbs,176 km/h or 109 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,145 Nm or 106 lb.ft @ 1900 rpm,40 L 8.8 UK gallons 10.6 US gallons,1055 kgOR2326 lbs,176 km/h or 109 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Petrol,69 PS or 68 bhp or 51 kW @ 5500 rpm,102 Nm or 75 lb.ft @ 3000 rpm,40 L 8.8 UK gallons 10.6 US gallons,1040 kgOR2293 lbs,163 km/h or 101 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
LANCIA,Diesel,95 PS or 94 bhp or 70 kW @ 4000 rpm,200 Nm or 147 lb.ft @ 1500 rpm,40 L 8.8 UK gallons 10.6 US gallons,1125 kgOR2480 lbs,183 km/h or 114 Mph,384.2 cm or 151.26 inches,167.6 cmor 65.98 inches,151.7 cmor 59.72 inches,FWD
