Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
LEXUS,Petrol,473 PS or 467 bhp or 348 kW @ 7100 rpm,527 Nm or 388 lb.ft @ 4800 rpm,,- kgOR- lbs,- km/h or - Mph,476 cm or 187.4 inches,192 cmor 75.59 inches,134.5 cmor 52.95 inches,RWD
LEXUS,Petrol,477 PS or 471 bhp or 351 kW @ 7100 rpm,540 Nm or 398 lb.ft @ 4800 rpm,82 L 18 UK gallons 21.7 US gallons,2010 kgOR4431 lbs,270 km/h or 168 Mph,477 cm or 187.8 inches,192 cmor 75.59 inches,134.5 cmor 52.95 inches,RWD
LEXUS,Petrol,477 PS or 471 bhp or 351 kW @ 7100 rpm,540 Nm or 398 lb.ft @ 4800 rpm,82 L 18 UK gallons 21.7 US gallons,2010 kgOR4431 lbs,270 km/h or 168 Mph,477 cm or 187.8 inches,192 cmor 75.59 inches,134.5 cmor 52.95 inches,RWD
LEXUS,Petrol,313 PS or 309 bhp or 230 kW @ -- rpm,- Nm or - lb.ft @ - rpm,65 L 14.3 UK gallons 17.2 US gallons,2100 kgOR4630 lbs,200 km/h or 124 Mph,489 cm or 192.52 inches,189.5 cmor 74.61 inches,168.5 cmor 66.34 inches,AWD
LEXUS,Petrol,313 PS or 309 bhp or 230 kW @ -- rpm,- Nm or - lb.ft @ - rpm,65 L 14.3 UK gallons 17.2 US gallons,2100 kgOR4630 lbs,200 km/h or 124 Mph,489 cm or 192.52 inches,189.5 cmor 74.61 inches,168.5 cmor 66.34 inches,AWD
LEXUS,Petrol,313 PS or 309 bhp or 230 kW @ -- rpm,- Nm or - lb.ft @ - rpm,65 L 14.3 UK gallons 17.2 US gallons,2100 kgOR4630 lbs,200 km/h or 124 Mph,489 cm or 192.52 inches,189.5 cmor 74.61 inches,168.5 cmor 66.34 inches,AWD
LEXUS,Petrol,313 PS or 309 bhp or 230 kW @ -- rpm,- Nm or - lb.ft @ - rpm,65 L 14.3 UK gallons 17.2 US gallons,2100 kgOR4630 lbs,200 km/h or 124 Mph,489 cm or 192.52 inches,189.5 cmor 74.61 inches,168.5 cmor 66.34 inches,AWD
LEXUS,Petrol,223 PS or 220 bhp or 164 kW @ -- rpm,- Nm or - lb.ft @ - rpm,66 L 14.5 UK gallons 17.4 US gallons,- kgOR- lbs,190 km/h or 118 Mph,488 cm or 192.13 inches,184 cmor 72.44 inches,145.5 cmor 57.28 inches,RWD
LEXUS,Petrol,223 PS or 220 bhp or 164 kW @ -- rpm,- Nm or - lb.ft @ - rpm,66 L 14.5 UK gallons 17.4 US gallons,- kgOR- lbs,190 km/h or 118 Mph,488 cm or 192.13 inches,184 cmor 72.44 inches,145.5 cmor 57.28 inches,RWD
LEXUS,Petrol,223 PS or 220 bhp or 164 kW @ -- rpm,- Nm or - lb.ft @ - rpm,66 L 14.5 UK gallons 17.4 US gallons,- kgOR- lbs,190 km/h or 118 Mph,488 cm or 192.13 inches,184 cmor 72.44 inches,145.5 cmor 57.28 inches,RWD
