Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
MASERATI,Petrol,349 PS or 344 bhp or 257 kW @ 5750 rpm,500 Nm or 368 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,251 km/h or 156 Mph,500.3 cm or 196.97 inches,196.8 cmor 77.48 inches,167.9 cmor 66.1 inches,AWD
MASERATI,Petrol,430 PS or 424 bhp or 316 kW @ 5750 rpm,580 Nm or 427 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,264 km/h or 164 Mph,500.3 cm or 196.97 inches,196.8 cmor 77.48 inches,167.9 cmor 66.1 inches,AWD
MASERATI,Petrol,411 PS or 405 bhp or 302 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,286 km/h or 178 Mph,526.4 cm or 207.24 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,AWD
MASERATI,Petrol,411 PS or 405 bhp or 302 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,286 km/h or 178 Mph,526.4 cm or 207.24 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,530 PS or 523 bhp or 390 kW @ 6800 rpm,710 Nm or 523 lb.ft @ 2250-3500 rpm,80 L 17.6 UK gallons 21.1 US gallons,- kgOR- lbs,310 km/h or 193 Mph,526.4 cm or 207.24 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Diesel,275 PS or 271 bhp or 202 kW @ 4000 rpm,600 Nm or 442 lb.ft @ 2000-2600 rpm,70 L 15.4 UK gallons 18.5 US gallons,- kgOR- lbs,252 km/h or 157 Mph,526.4 cm or 207.24 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,330 PS or 326 bhp or 243 kW @ 4500 rpm,500 Nm or 368 lb.ft @ 1750-4500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1885 kgOR4156 lbs,263 km/h or 163 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Petrol,409 PS or 403 bhp or 301 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1885 kgOR4156 lbs,285 km/h or 177 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Petrol,409 PS or 403 bhp or 301 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1945 kgOR4288 lbs,284 km/h or 177 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,AWD
MASERATI,Petrol,411 PS or 405 bhp or 302 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1945 kgOR4288 lbs,284 km/h or 177 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,AWD
MASERATI,Petrol,411 PS or 405 bhp or 302 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1885 kgOR4156 lbs,285 km/h or 177 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Petrol,330 PS or 326 bhp or 243 kW @ 4500 rpm,500 Nm or 368 lb.ft @ 1750-4500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1885 kgOR4156 lbs,263 km/h or 163 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Diesel,275 PS or 271 bhp or 202 kW @ 4000 rpm,600 Nm or 442 lb.ft @ 2000-2600 rpm,70 L 15.4 UK gallons 18.5 US gallons,1910 kgOR4211 lbs,250 km/h or 155 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Diesel,250 PS or 247 bhp or 184 kW @ 4000 rpm,600 Nm or 442 lb.ft @ 2000-2600 rpm,70 L 15.4 UK gallons 18.5 US gallons,1950 kgOR4299 lbs,240 km/h or 149 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Diesel,275 PS or 271 bhp or 202 kW @ 4000 rpm,600 Nm or 442 lb.ft @ 2000-2600 rpm,70 L 15.4 UK gallons 18.5 US gallons,1950 kgOR4299 lbs,250 km/h or 155 Mph,497.1 cm or 195.71 inches,194.5 cmor 76.57 inches,146.1 cmor 57.52 inches,RWD
MASERATI,Petrol,530 PS or 523 bhp or 390 kW @ 6800 rpm,710 Nm or 523 lb.ft @ 2250-3500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1975 kgOR4354 lbs,307 km/h or 191 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,409 PS or 403 bhp or 301 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1500-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1935 kgOR4266 lbs,285 km/h or 177 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,409 PS or 403 bhp or 301 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1500-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,2005 kgOR4420 lbs,285 km/h or 177 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,AWD
MASERATI,Petrol,409 PS or 403 bhp or 301 kW @ 5500 rpm,550 Nm or 405 lb.ft @ 1750-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1935 kgOR4266 lbs,285 km/h or 177 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,530 PS or 523 bhp or 390 kW @ 6800 rpm,710 Nm or 523 lb.ft @ 2250-3500 rpm,80 L 17.6 UK gallons 21.1 US gallons,1975 kgOR4354 lbs,307 km/h or 191 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Diesel,275 PS or 271 bhp or 202 kW @ 4000 rpm,600 Nm or 442 lb.ft @ 2000-2600 rpm,70 L 15.4 UK gallons 18.5 US gallons,1960 kgOR4321 lbs,250 km/h or 155 Mph,526.2 cm or 207.17 inches,194.8 cmor 76.69 inches,148.1 cmor 58.31 inches,RWD
MASERATI,Petrol,405 PS or 399 bhp or 298 kW @ 7100 rpm,460 Nm or 339 lb.ft @ 4750 rpm,86 L 18.9 UK gallons 22.7 US gallons,1955 kgOR4310 lbs,285 km/h or 177 Mph,488.1 cm or 192.17 inches,184.7 cmor 72.72 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,86 L 18.9 UK gallons 22.7 US gallons,1955 kgOR4310 lbs,295 km/h or 183 Mph,488.1 cm or 192.17 inches,191.5 cmor 75.39 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,86 L 18.9 UK gallons 22.7 US gallons,1955 kgOR4310 lbs,295 km/h or 183 Mph,488.1 cm or 192.17 inches,191.5 cmor 75.39 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,449 PS or 443 bhp or 330 kW @ 7000 rpm,510 Nm or 376 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,1770 kgOR3902 lbs,301 km/h or 187 Mph,493.3 cm or 194.21 inches,191.5 cmor 75.39 inches,134.3 cmor 52.87 inches,RWD
MASERATI,Petrol,460 PS or 454 bhp or 338 kW @ 7000 rpm,520 Nm or 383 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,1800 kgOR3968 lbs,303 km/h or 188 Mph,493.3 cm or 194.21 inches,190.3 cmor 74.92 inches,134.3 cmor 52.87 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,75 L 16.5 UK gallons 19.8 US gallons,2055 kgOR4530 lbs,283 km/h or 176 Mph,488.1 cm or 192.17 inches,184.7 cmor 72.72 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,75 L 16.5 UK gallons 19.8 US gallons,2055 kgOR4530 lbs,283 km/h or 176 Mph,488.1 cm or 192.17 inches,184.7 cmor 72.72 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,449 PS or 443 bhp or 330 kW @ 7000 rpm,510 Nm or 376 lb.ft @ 4750 rpm,75 L 16.5 UK gallons 19.8 US gallons,2055 kgOR4530 lbs,285 km/h or 177 Mph,488.1 cm or 192.17 inches,191.5 cmor 75.39 inches,135.3 cmor 53.27 inches,RWD
MASERATI,Petrol,401 PS or 396 bhp or 295 kW @ 7000 rpm,452 Nm or 333 lb.ft @ 4500 rpm,88 L 19.4 UK gallons 23.2 US gallons,1755 kgOR3869 lbs,290 km/h or 180 Mph,452.3 cm or 178.07 inches,182.2 cmor 71.73 inches,129.5 cmor 50.98 inches,RWD
MASERATI,Petrol,401 PS or 396 bhp or 295 kW @ 7000 rpm,452 Nm or 333 lb.ft @ 4500 rpm,88 L 19.4 UK gallons 23.2 US gallons,1805 kgOR3979 lbs,285 km/h or 177 Mph,430.3 cm or 169.41 inches,182.2 cmor 71.73 inches,130.5 cmor 51.38 inches,RWD
MASERATI,Petrol,401 PS or 396 bhp or 295 kW @ 7000 rpm,460 Nm or 339 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,270 km/h or 168 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,431 PS or 425 bhp or 317 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,280 km/h or 174 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,285 km/h or 177 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,142.3 cmor 56.02 inches,RWD
MASERATI,Petrol,400 PS or 395 bhp or 294 kW @ 7000 rpm,451 Nm or 332 lb.ft @ 4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1860 kgOR4101 lbs,275 km/h or 171 Mph,505.2 cm or 198.9 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,400 PS or 395 bhp or 294 kW @ 7000 rpm,451 Nm or 332 lb.ft @ 4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1860 kgOR4101 lbs,275 km/h or 171 Mph,505.2 cm or 198.9 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,400 PS or 395 bhp or 294 kW @ 7000 rpm,451 Nm or 332 lb.ft @ 4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1860 kgOR4101 lbs,275 km/h or 171 Mph,505.2 cm or 198.9 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,285 km/h or 177 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,142.3 cmor 56.02 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,285 km/h or 177 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,142.3 cmor 56.02 inches,RWD
MASERATI,Petrol,431 PS or 425 bhp or 317 kW @ 7000 rpm,490 Nm or 361 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,280 km/h or 174 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,401 PS or 396 bhp or 295 kW @ 7000 rpm,460 Nm or 339 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,270 km/h or 168 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,405 PS or 399 bhp or 298 kW @ 7100 rpm,460 Nm or 339 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,270 km/h or 168 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
MASERATI,Petrol,439 PS or 433 bhp or 323 kW @ 7000 rpm,510 Nm or 376 lb.ft @ 4750 rpm,90 L 19.8 UK gallons 23.8 US gallons,2065 kgOR4553 lbs,285 km/h or 177 Mph,509.7 cm or 200.67 inches,189.5 cmor 74.61 inches,143.8 cmor 56.61 inches,RWD
