Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
MCLAREN,Petrol,675 PS or 666 bhp or 496 kW @ 7100 rpm,700 Nm or 516 lb.ft @ 5500-6500 rpm,,1443 kgOR3181 lbs,326 km/h or 203 Mph,454.6 cm or 178.98 inches,- cmor - inches,119.2 cmor 46.93 inches,RWD
MCLAREN,Petrol,570 PS or 562 bhp or 419 kW @ 7500 rpm,600 Nm or 442 lb.ft @ 5000-6500 rpm,,- kgOR- lbs,328 km/h or 204 Mph,453 cm or 178.35 inches,- cmor - inches,120.1 cmor 47.28 inches,RWD
MCLAREN,Petrol,675 PS or 666 bhp or 496 kW @ 7100 rpm,700 Nm or 516 lb.ft @ 5000-6500 rpm,,1230 kgOR2712 lbs,330 km/h or 205 Mph,454.6 cm or 178.98 inches,209.5 cmor 82.48 inches,118.8 cmor 46.77 inches,RWD
MCLAREN,Petrol,570 PS or 562 bhp or 419 kW @ 7400 rpm,600 Nm or 442 lb.ft @ 5000-6500 rpm,,- kgOR- lbs,328 km/h or 204 Mph,453 cm or 178.35 inches,- cmor - inches,120.2 cmor 47.32 inches,RWD
MCLAREN,Petrol,540 PS or 533 bhp or 397 kW @ 7500 rpm,540 Nm or 398 lb.ft @ 3500-6500 rpm,,- kgOR- lbs,320 km/h or 199 Mph,453 cm or 178.35 inches,- cmor - inches,120.2 cmor 47.32 inches,RWD
MCLAREN,Petrol,650 PS or 641 bhp or 478 kW @ 7250 rpm,678 Nm or 500 lb.ft @ 6000 rpm,,- kgOR- lbs,329 km/h or 204 Mph,451.2 cm or 177.64 inches,- cmor - inches,120.3 cmor 47.36 inches,RWD
MCLAREN,Petrol,600 PS or 592 bhp or 441 kW @ 7500 rpm,600.0 Nm or 442 lb.ft @ 3000 rpm,,1434 kgOR3161 lbs,330 km/h or 205 Mph,450.7 cm or 177.44 inches,190.8 cmor 75.12 inches,119.9 cmor 47.2 inches,RWD
MCLAREN,Petrol,627 PS or 618 bhp or 461 kW @ 7500 rpm,617.0 Nm or 455 lb.ft @ 7500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1138 kgOR2509 lbs,387 km/h or 241 Mph,428.8 cm or 168.82 inches,182 cmor 71.65 inches,114 cmor 44.88 inches,RWD
MCLAREN,Petrol,680 PS or 671 bhp or 500 kW @ 7800 rpm,705.0 Nm or 519 lb.ft @ 7800 rpm,90 L 19.8 UK gallons 23.8 US gallons,1062 kgOR2341 lbs,354 km/h or 220 Mph,436.5 cm or 171.85 inches,182 cmor 71.65 inches,112 cmor 44.09 inches,RWD
MCLAREN,Petrol,627 PS or 618 bhp or 461 kW @ 7500 rpm,651.0 Nm or 480 lb.ft @ 7500 rpm,90 L 19.8 UK gallons 23.8 US gallons,1220 kgOR2690 lbs,- km/h or - Mph,492.8 cm or 194.02 inches,194 cmor 76.38 inches,120 cmor 47.24 inches,RWD
MCLAREN,Petrol,375 PS or 370 bhp or 276 kW @ 5800 rpm,502.0 Nm or 370 lb.ft @ 5800 rpm,,- kgOR- lbs,266 km/h or 165 Mph,393.7 cm or 155 inches,172.7 cmor 67.99 inches,104.1 cmor 40.98 inches,RWD
