Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
MINI,Petrol,136 PS or 134 bhp or 100 kW @ 4500-6000 rpm,220 Nm or 162 lb.ft @ 1250 rpm,51 L 11.2 UK gallons 13.5 US gallons,1440 kgOR3175 lbs,202 km/h or 126 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,FWD
MINI,Petrol,136 PS or 134 bhp or 100 kW @ 4500-6000 rpm,220 Nm or 162 lb.ft @ 1250 rpm,51 L 11.2 UK gallons 13.5 US gallons,1465 kgOR3230 lbs,200 km/h or 124 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,FWD
MINI,Petrol,136 PS or 134 bhp or 100 kW @ 4500-6000 rpm,220 Nm or 162 lb.ft @ 1250 rpm,51 L 11.2 UK gallons 13.5 US gallons,1530 kgOR3373 lbs,197 km/h or 122 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
MINI,Petrol,136 PS or 134 bhp or 100 kW @ 4500-6000 rpm,220 Nm or 162 lb.ft @ 1250 rpm,51 L 11.2 UK gallons 13.5 US gallons,1545 kgOR3406 lbs,197 km/h or 122 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
MINI,Petrol,192 PS or 189 bhp or 141 kW @ 5000-6000 rpm,280 Nm or 206 lb.ft @ 1250-4600 rpm,51 L 11.2 UK gallons 13.5 US gallons,1505 kgOR3318 lbs,225 km/h or 140 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,FWD
MINI,Petrol,192 PS or 189 bhp or 141 kW @ 5000-6000 rpm,280 Nm or 206 lb.ft @ 1250-4600 rpm,51 L 11.2 UK gallons 13.5 US gallons,1535 kgOR3384 lbs,225 km/h or 140 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,FWD
MINI,Petrol,192 PS or 189 bhp or 141 kW @ 5000-6000 rpm,280 Nm or 206 lb.ft @ 1250-4600 rpm,51 L 11.2 UK gallons 13.5 US gallons,1585 kgOR3494 lbs,222 km/h or 138 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
MINI,Petrol,192 PS or 189 bhp or 141 kW @ 5000-6000 rpm,280 Nm or 206 lb.ft @ 1250-4600 rpm,51 L 11.2 UK gallons 13.5 US gallons,1605 kgOR3538 lbs,222 km/h or 138 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
MINI,Petrol,231 PS or 228 bhp or 170 kW @ 5000-6000 rpm,350 Nm or 258 lb.ft @ 1250-4500 rpm,51 L 11.2 UK gallons 13.5 US gallons,1615 kgOR3560 lbs,234 km/h or 145 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
MINI,Petrol,231 PS or 228 bhp or 170 kW @ 5000-6000 rpm,350 Nm or 258 lb.ft @ 1250-4500 rpm,51 L 11.2 UK gallons 13.5 US gallons,1630 kgOR3594 lbs,234 km/h or 145 Mph,429.9 cm or 169.25 inches,182.2 cmor 71.73 inches,155.7 cmor 61.3 inches,AWD
