Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
MITSUBISHI,Petrol,117 PS or 115 bhp or 86 kW @ 6000 rpm,154 Nm or 113 lb.ft @ 4000 rpm,63 L 13.9 UK gallons 16.6 US gallons,1335 kgOR2943 lbs,183 km/h or 114 Mph,435.5 cm or 171.46 inches,177 cmor 69.69 inches,164 cmor 64.57 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,360 Nm or 265 lb.ft @ 1500-2750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,190 km/h or 118 Mph,435.5 cm or 171.46 inches,181 cmor 71.26 inches,164 cmor 64.57 inches,AWD
MITSUBISHI,Diesel,114 PS or 112 bhp or 84 kW @ 3600 rpm,270 Nm or 199 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1520 kgOR3351 lbs,182 km/h or 113 Mph,435.5 cm or 171.46 inches,181 cmor 71.26 inches,164 cmor 64.57 inches,AWD
MITSUBISHI,Diesel,114 PS or 112 bhp or 84 kW @ 3600 rpm,270 Nm or 199 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1430 kgOR3153 lbs,182 km/h or 113 Mph,435.5 cm or 171.46 inches,177 cmor 69.69 inches,164 cmor 64.57 inches,FWD
MITSUBISHI,Petrol,150 PS or 148 bhp or 110 kW @ 6000 rpm,195 Nm or 143 lb.ft @ 4200 rpm,63 L 13.9 UK gallons 16.6 US gallons,1430 kgOR3153 lbs,192 km/h or 119 Mph,469.5 cm or 184.84 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1615 kgOR3560 lbs,200 km/h or 124 Mph,469.5 cm or 184.84 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1675 kgOR3693 lbs,200 km/h or 124 Mph,469.5 cm or 184.84 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,360 Nm or 265 lb.ft @ 1500-2750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1685 kgOR3715 lbs,190 km/h or 118 Mph,469.5 cm or 184.84 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,154 PS or 152 bhp or 113 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1500-2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,174 km/h or 108 Mph,520.5 cm or 204.92 inches,181.5 cmor 71.46 inches,178 cmor 70.08 inches,AWD
MITSUBISHI,Diesel,181 PS or 179 bhp or 133 kW @ 3500 rpm,430 Nm or 317 lb.ft @ 2500 rpm,75 L 16.5 UK gallons 19.8 US gallons,- kgOR- lbs,177 km/h or 110 Mph,520.5 cm or 204.92 inches,181.5 cmor 71.46 inches,178 cmor 70.08 inches,AWD
MITSUBISHI,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,88 Nm or 64 lb.ft @ 5000 rpm,,- kgOR- lbs,172 km/h or 107 Mph,371 cm or 146.06 inches,166.5 cmor 65.55 inches,149 cmor 58.66 inches,FWD
MITSUBISHI,Petrol,80 PS or 79 bhp or 59 kW @ 6000 rpm,106 Nm or 78 lb.ft @ 4000 rpm,,- kgOR- lbs,180 km/h or 112 Mph,371 cm or 146.06 inches,166.5 cmor 65.55 inches,149 cmor 58.66 inches,FWD
MITSUBISHI,Petrol,80 PS or 79 bhp or 59 kW @ 6000 rpm,106 Nm or 78 lb.ft @ 4000 rpm,,- kgOR- lbs,173 km/h or 108 Mph,371 cm or 146.06 inches,166.5 cmor 65.55 inches,149 cmor 58.66 inches,FWD
MITSUBISHI,Petrol,80 PS or 79 bhp or 59 kW @ 6000 rpm,106 Nm or 78 lb.ft @ 4000 rpm,35 L 7.7 UK gallons 9.2 US gallons,920 kgOR2028 lbs,180 km/h or 112 Mph,379.5 cm or 149.41 inches,166.5 cmor 65.55 inches,150.5 cmor 59.25 inches,FWD
MITSUBISHI,Petrol,121 PS or 119 bhp or 89 kW @ -- rpm,- Nm or - lb.ft @ - rpm,45 L 9.9 UK gallons 11.9 US gallons,1885 kgOR4156 lbs,170 km/h or 106 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,- kgOR- lbs,200 km/h or 124 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,- kgOR- lbs,200 km/h or 124 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,- kgOR- lbs,190 km/h or 118 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,- kgOR- lbs,190 km/h or 118 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1605 kgOR3538 lbs,200 km/h or 124 Mph,465.5 cm or 183.27 inches,180 cmor 70.87 inches,168 cmor 66.14 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1670 kgOR3682 lbs,200 km/h or 124 Mph,465.5 cm or 183.27 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,190 km/h or 118 Mph,465.5 cm or 183.27 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,380 Nm or 280 lb.ft @ 1750-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,190 km/h or 118 Mph,465.5 cm or 183.27 inches,181 cmor 71.26 inches,168 cmor 66.14 inches,AWD
MITSUBISHI,Petrol,117 PS or 115 bhp or 86 kW @ 6000 rpm,154 Nm or 113 lb.ft @ 4000 rpm,63 L 13.9 UK gallons 16.6 US gallons,1365 kgOR3009 lbs,183 km/h or 114 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-3000 rpm,63 L 13.9 UK gallons 16.6 US gallons,1535 kgOR3384 lbs,200 km/h or 124 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-3000 rpm,63 L 13.9 UK gallons 16.6 US gallons,1535 kgOR3384 lbs,200 km/h or 124 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,FWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-3000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1600 kgOR3527 lbs,198 km/h or 123 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,AWD
MITSUBISHI,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,300 Nm or 221 lb.ft @ 2000-3000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1600 kgOR3527 lbs,198 km/h or 123 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,AWD
MITSUBISHI,Diesel,116 PS or 114 bhp or 85 kW @ 3750 rpm,270 Nm or 199 lb.ft @ 2000-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1535 kgOR3384 lbs,188 km/h or 117 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,FWD
MITSUBISHI,Diesel,116 PS or 114 bhp or 85 kW @ 3750 rpm,270 Nm or 199 lb.ft @ 2000-2500 rpm,63 L 13.9 UK gallons 16.6 US gallons,1535 kgOR3384 lbs,188 km/h or 117 Mph,429.5 cm or 169.09 inches,177 cmor 69.69 inches,161.5 cmor 63.58 inches,FWD
