Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
NISSAN,Petrol,73 PS or 72 bhp or 54 kW @ 6300 rpm,95 Nm or 70 lb.ft @ 3500 rpm,41 L 9 UK gallons 10.8 US gallons,1052 kgOR2319 lbs,161 km/h or 100 Mph,399.9 cm or 157.44 inches,174.3 cmor 68.62 inches,145.5 cmor 57.28 inches,FWD
NISSAN,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,140 Nm or 103 lb.ft @ 2250 rpm,41 L 9 UK gallons 10.8 US gallons,- kgOR- lbs,175 km/h or 109 Mph,399.9 cm or 157.44 inches,174.3 cmor 68.62 inches,145.5 cmor 57.28 inches,FWD
NISSAN,Diesel,90 PS or 89 bhp or 66 kW @ 4000 rpm,220 Nm or 162 lb.ft @ 2000 rpm,41 L 9 UK gallons 10.8 US gallons,- kgOR- lbs,179 km/h or 111 Mph,399.9 cm or 157.44 inches,174.3 cmor 68.62 inches,145.5 cmor 57.28 inches,FWD
NISSAN,Petrol,328 PS or 324 bhp or 241 kW @ 7000 rpm,363 Nm or 267 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1605 kgOR3538 lbs,250 km/h or 155 Mph,425 cm or 167.32 inches,184.5 cmor 72.64 inches,132.5 cmor 52.17 inches,RWD
NISSAN,Petrol,328 PS or 324 bhp or 241 kW @ 7000 rpm,363 Nm or 267 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1630 kgOR3594 lbs,250 km/h or 155 Mph,425 cm or 167.32 inches,184.5 cmor 72.64 inches,132.5 cmor 52.17 inches,RWD
NISSAN,Petrol,328 PS or 324 bhp or 241 kW @ 7000 rpm,363 Nm or 267 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1571 kgOR3463 lbs,250 km/h or 155 Mph,425 cm or 167.32 inches,184.5 cmor 72.64 inches,131.5 cmor 51.77 inches,RWD
NISSAN,Petrol,328 PS or 324 bhp or 241 kW @ 7000 rpm,363 Nm or 267 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1571 kgOR3463 lbs,250 km/h or 155 Mph,425 cm or 167.32 inches,184.5 cmor 72.64 inches,131.5 cmor 51.77 inches,RWD
NISSAN,Petrol,328 PS or 324 bhp or 241 kW @ 7000 rpm,363 Nm or 267 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1583 kgOR3490 lbs,250 km/h or 155 Mph,425 cm or 167.32 inches,184.5 cmor 72.64 inches,131.5 cmor 51.77 inches,RWD
NISSAN,Petrol,344 PS or 339 bhp or 253 kW @ 7400 rpm,371 Nm or 273 lb.ft @ 5200 rpm,72 L 15.8 UK gallons 19 US gallons,1610 kgOR3549 lbs,250 km/h or 155 Mph,433 cm or 170.47 inches,187 cmor 73.62 inches,131.5 cmor 51.77 inches,RWD
NISSAN,Diesel,190 PS or 187 bhp or 140 kW @ 3750 rpm,450 Nm or 331 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2038 kgOR4493 lbs,184 km/h or 114 Mph,530 cm or 208.66 inches,185 cmor 72.83 inches,181 cmor 71.26 inches,AWD
NISSAN,Diesel,190 PS or 187 bhp or 140 kW @ 3750 rpm,450 Nm or 331 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2033 kgOR4482 lbs,180 km/h or 112 Mph,530 cm or 208.66 inches,185 cmor 72.83 inches,181 cmor 71.26 inches,AWD
NISSAN,Diesel,163 PS or 161 bhp or 120 kW @ 3750 rpm,403 Nm or 297 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2031 kgOR4478 lbs,172 km/h or 107 Mph,522.5 cm or 205.71 inches,179 cmor 70.47 inches,178 cmor 70.08 inches,AWD
NISSAN,Diesel,163 PS or 161 bhp or 120 kW @ 3750 rpm,403 Nm or 297 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2023 kgOR4460 lbs,172 km/h or 107 Mph,533 cm or 209.84 inches,185 cmor 72.83 inches,181 cmor 71.26 inches,AWD
NISSAN,Petrol,116 PS or 114 bhp or 85 kW @ 4500 rpm,190 Nm or 140 lb.ft @ 2000 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Petrol,116 PS or 114 bhp or 85 kW @ 4500 rpm,190 Nm or 140 lb.ft @ 2000 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Petrol,116 PS or 114 bhp or 85 kW @ 4500 rpm,190 Nm or 140 lb.ft @ 2000 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Petrol,116 PS or 114 bhp or 85 kW @ 4500 rpm,190 Nm or 140 lb.ft @ 2000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1280 kgOR2822 lbs,190 km/h or 118 Mph,438.7 cm or 172.72 inches,176.8 cmor 69.61 inches,152 cmor 59.84 inches,FWD
NISSAN,Petrol,116 PS or 114 bhp or 85 kW @ 4500 rpm,190 Nm or 140 lb.ft @ 2000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1280 kgOR2822 lbs,190 km/h or 118 Mph,438.7 cm or 172.72 inches,176.8 cmor 69.61 inches,152 cmor 59.84 inches,FWD
NISSAN,Petrol,190 PS or 187 bhp or 140 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,46 L 10.1 UK gallons 12.2 US gallons,1390 kgOR3064 lbs,217 km/h or 135 Mph,438.7 cm or 172.72 inches,176.8 cmor 69.61 inches,152 cmor 59.84 inches,FWD
NISSAN,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750-2500 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750-2500 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750-2500 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750-2500 rpm,,- kgOR- lbs,- km/h or - Mph,438.5 cm or 172.64 inches,- cmor - inches,- cmor - inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Petrol,163 PS or 161 bhp or 120 kW @ 5600 rpm,240 Nm or 177 lb.ft @ 2000-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1505 kgOR3318 lbs,200 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1655 kgOR3649 lbs,186 km/h or 116 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,186 km/h or 116 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,186 km/h or 116 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1575 kgOR3472 lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1655 kgOR3649 lbs,186 km/h or 116 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1655 kgOR3649 lbs,186 km/h or 116 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,180 km/h or 112 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1575 kgOR3472 lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1575 kgOR3472 lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1575 kgOR3472 lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,188 km/h or 117 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,180 km/h or 112 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,180 km/h or 112 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,180 km/h or 112 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,180 km/h or 112 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,177 PS or 175 bhp or 130 kW @ 3750 rpm,380 Nm or 280 lb.ft @ 2000 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,199 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,204 km/h or 127 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,177 PS or 175 bhp or 130 kW @ 3750 rpm,380 Nm or 280 lb.ft @ 2000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1740 kgOR3836 lbs,196 km/h or 122 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
NISSAN,Diesel,177 PS or 175 bhp or 130 kW @ 3750 rpm,380 Nm or 280 lb.ft @ 2000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1670 kgOR3682 lbs,199 km/h or 124 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,FWD
NISSAN,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,204 km/h or 127 Mph,464.3 cm or 182.8 inches,182 cmor 71.65 inches,169.5 cmor 66.73 inches,AWD
