Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
OPEL,Petrol,82 PS or 81 bhp or 60 kW @ 5750 rpm,118 Nm or 87 lb.ft @ 2750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1174 kgOR2588 lbs,170 km/h or 106 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 1500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1245 kgOR2745 lbs,188 km/h or 117 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 1500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1289 kgOR2842 lbs,187 km/h or 116 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1274 kgOR2809 lbs,206 km/h or 128 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1289 kgOR2842 lbs,180 km/h or 112 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1289 kgOR2842 lbs,180 km/h or 112 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,54 L 11.9 UK gallons 14.3 US gallons,1319 kgOR2908 lbs,187 km/h or 116 Mph,421.2 cm or 165.83 inches,182.5 cmor 71.85 inches,160.5 cmor 63.19 inches,FWD
OPEL,Petrol,140 PS or 138 bhp or 103 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4100 rpm,62 L 13.6 UK gallons 16.4 US gallons,1440 kgOR3175 lbs,210 km/h or 131 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Petrol,140 PS or 138 bhp or 103 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4100 rpm,62 L 13.6 UK gallons 16.4 US gallons,1456 kgOR3210 lbs,213 km/h or 132 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Petrol,166 PS or 164 bhp or 122 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1440 kgOR3175 lbs,222 km/h or 138 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Petrol,166 PS or 164 bhp or 122 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1472 kgOR3245 lbs,218 km/h or 135 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Petrol,260 PS or 256 bhp or 191 kW @ -- rpm,400 Nm or 295 lb.ft @ 2500-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1649 kgOR3635 lbs,250 km/h or 155 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,AWD
OPEL,Diesel,110 PS or 109 bhp or 81 kW @ -- rpm,300 Nm or 221 lb.ft @ 2000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1503 kgOR3314 lbs,205 km/h or 127 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Diesel,136 PS or 134 bhp or 100 kW @ 3500-4000 rpm,320 Nm or 236 lb.ft @ 2000-2250 rpm,62 L 13.6 UK gallons 16.4 US gallons,1503 kgOR3314 lbs,211 km/h or 131 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Diesel,136 PS or 134 bhp or 100 kW @ 3500-4000 rpm,320 Nm or 236 lb.ft @ 2000-2250 rpm,62 L 13.6 UK gallons 16.4 US gallons,1522 kgOR3355 lbs,203 km/h or 126 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1582 kgOR3488 lbs,226 km/h or 140 Mph,489.7 cm or 192.8 inches,186.3 cmor 73.35 inches,145.5 cmor 57.28 inches,FWD
OPEL,Petrol,140 PS or 138 bhp or 103 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4100 rpm,62 L 13.6 UK gallons 16.4 US gallons,1487 kgOR3278 lbs,207 km/h or 129 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,FWD
OPEL,Petrol,140 PS or 138 bhp or 103 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4100 rpm,62 L 13.6 UK gallons 16.4 US gallons,1487 kgOR3278 lbs,210 km/h or 131 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,FWD
OPEL,Petrol,166 PS or 164 bhp or 122 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1487 kgOR3278 lbs,218 km/h or 135 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,FWD
OPEL,Petrol,166 PS or 164 bhp or 122 kW @ -- rpm,250 Nm or 184 lb.ft @ 2000-4500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1522 kgOR3355 lbs,214 km/h or 133 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,FWD
OPEL,Petrol,260 PS or 256 bhp or 191 kW @ -- rpm,400 Nm or 295 lb.ft @ 2500-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1683 kgOR3710 lbs,245 km/h or 152 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,AWD
OPEL,Diesel,170 PS or 168 bhp or 125 kW @ 3750 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,62 L 13.6 UK gallons 16.4 US gallons,1633 kgOR3600 lbs,223 km/h or 139 Mph,498.6 cm or 196.3 inches,186.3 cmor 73.35 inches,150 cmor 59.06 inches,FWD
OPEL,Petrol or LPG,140 PS or 138 bhp or 103 kW @ 4900-6000 rpm,200 Nm or 147 lb.ft @ 1850-4900 rpm,,1679 kgOR3702 lbs,195 km/h or 121 Mph,466.6 cm or 183.7 inches,192.8 cmor 75.91 inches,166 cmor 65.35 inches,FWD
OPEL,Petrol or LPG,140 PS or 138 bhp or 103 kW @ 4900-6000 rpm,200 Nm or 147 lb.ft @ 1850-4900 rpm,,1706 kgOR3761 lbs,195 km/h or 121 Mph,466.6 cm or 183.7 inches,192.8 cmor 75.91 inches,166 cmor 65.35 inches,FWD
OPEL,Petrol or CNG,150 PS or 148 bhp or 110 kW @ 5000 rpm,210 Nm or 154 lb.ft @ 2300-5000 rpm,,1743 kgOR3843 lbs,200 km/h or 124 Mph,466.6 cm or 183.7 inches,192.8 cmor 75.91 inches,166 cmor 65.35 inches,FWD
